MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nシトリニカ\nMerrin! Ich wollte dir sagen, an deiner Seite zu\nkämpfen ist einfach aufregend. Du bist\nwirklich... lässig!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nAber vielen Dank für das Gespräch, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nEs war schön, mit dir zu reden! Viel Glück bei\ndeinem Training.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nWhoa! Sieh dir das an! Eine gefährdete\nBrodianische Singschwalbe! Sie sieht man\nwirklich sehr selten.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nWarte! Wo fliegst du denn hin, du hübsches\nDing, du? Was für eine wunderschöne Kreatur...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nIst das ein Elusianischer Albatros?! Ich wusste\ngar nicht, dass sie durch dieses Gebiet ziehen!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nUnd wo ziehst du wohl hin, hm?!\nBitte, nimm mich mit!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\nÄhm... Merrin? Was machst du?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nIch... äh... nichts...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nWas, äh, was machst DU? Moment, hast du\nmich eben beobachtet?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nJa. Ich wollte dich nicht stören. Nun, eigentlich\nkonnte ich nicht anders.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nDeine Ausgelassenheit hat mich an einen Clown\nerinnert, den ich mal gesehen habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nOh, äh...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nWas du nicht sagst? Ich, äh, eigentlich... Ich\nwerde bei einem Stück... mitspielen! Ja, das\nwerde ich. Ich. Merrin.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nEin Stück? Wunderbar!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nNichts Ausgefallenes. Nur eine kleine Produk-\ntion. Und du hast absolut recht. Ich werde\ntatsächlich einen Clown spielen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nAh, ich wusste es! Was für eine interessante\nRolle für dich!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nNicht wahr? Ein riesiger Schritt weg von\nmeinem ruhigen, lässigen, alltäglichen Ich.\nIch muss schauspielern. Sehr viel.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nEine echte Herausforderung, weißt du? Ich kann\nnicht so lässig sein und dann zu einem Clown\nwerden, ohne in die Tiefe zu gehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nWann wird dein Stück gezeigt? Du musst mir\ndas sagen, damit ich bei der Premiere dabei\nsein kann!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nWas?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nIch wollte sagen, was für eine gute Frage. Ich\nhabe es mir irgendwo notiert. Ich muss nur...\nin meinen Taschen... danach suchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nAber... ich habe auch schon das Gerücht gehört,\ndass es abgesetzt werden könnte. Sicher ist\ndas natürlich nicht. Ganz sicher sicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\nOh, nein! Bitte, wenn es nur an der Finanzierung\nliegt, dann musst, musst, musst du mich helfen\nlassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nNee! Es geht nicht um Geld. Es war... es gab...\nkünstlerische Differenzen! Schauspieler. So\nkompliziert!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nシトリニカ\nAh, nun, solche Dinge kochen immer über. Lass\nes mich wissen, wenn sie ein neues Datum\nfestlegen. Ich werde dort sein!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06メリン\nDas werde ich ganz sicher tun.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nCitrinne, ich muss dir sprechen!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nMerrin! Hallo! Haben sie sich noch nicht\nauf ein neues Datum für die Premiere geeinigt?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nDarum geht es. Es tut mir so leid.\nDie Sache mit dem Stück war... eine Lüge.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOje. Wie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nIch liebe seltene Viecher. Und ich habe nicht\neines, sondern gleich zwei gesehen! Ich war so\nbegeistert, dass ich... ich mich albern benahm.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nDann hast du mich gesehen... und die Lüge\nist mir einfach so aus dem Mund geflogen. So\nwie ein Elusianischer Albatros.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nEin Elusianischer Alba-- Warte, ich kann dir\nnicht ganz folgen... Warum solltest du bei so\netwas denn lügen?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nDu hast mir gesagt, du würdest mich lässig\nfinden, erinnerst du dich? Und dann erwischst\ndu mich... als ich mich wie ein Clown benehme.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nIch wollte nicht, dass du mich so siehst. Ich\nwollte dich nicht enttäuschen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nAh, ich glaube, ich verstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nEs tut mir leid, ich werde dich nicht wieder\nanlügen. Und ich werde dir auch nie wieder\nein so... schmachvolles... Benehmen zeigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nMerrin, über all das musst du dir keine Sorgen\nmachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nIch bin nicht enttäuscht und denke auch nicht,\ndass du etwas Schmachvolles getan hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nEigentlich bin ich dankbar dafür, dass ich ein\nwenig von deinem wahren Selbst sehen durfte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nIch verstehe nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nEs ist, als hätte ich eine komplett neue,\nabsolut bezaubernde Seite an dir entdeckt!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nEine bezaubernde Seite? Wie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nIn den Schlachten sehe ich deine lässige Seite...\nund nun weiß ich, dass du in Gegenwart von\nTieren eine niedliche Seite hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nIch weiß nicht so recht...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nSag mal, Merrin... Hast du schon mal von einem\nbestimmten Wald in Brodia gehört, in dem es\nseltene Wildtiere gibt?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nHabe ich. Der befindet sich im Privatbesitz der\nköniglichen Familie.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nWürdest du ihn gerne mal mit mir zusammen\nbesuchen, wenn der Krieg vorüber ist? Ich halte\nmir dann einen Tag für uns frei.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nEs wäre möglich, dass wir dort sogar eine neue\nSpezies entdecken! Wir sollten auch einen\nGelehrten mitnehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nWarte, mal langsam. Würde das nicht teuer?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nOh, das wäre gar kein Problem, und würde\nauch nichts kosten. Der Wald gehört meinen\nVerwandten. Sie hegen ihn.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06メリン\nCitrinne, bist du mit der Königsfamilie\nverwandt?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nBin ich! Also bitte, mach dir keine Gedanken.\nDer Wald ist der perfekte, einsame Ort, um\ninmitten der Fauna herumzutollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nIch möchte, dass du deine hinreißende,\ntierliebende Seite noch einmal ausleben kannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06メリン\nMir fehlen die Worte. Das... bedeutet die Welt\nfür mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nGanz ehrlich, ich kann es kaum erwarten! Und\nich werde einen Weg finden, um mich bei dir\nzu revanchieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nAlles, worum ich dich bitte ist, mir dabei zu\nhelfen, auf unserem Ausflug Tiere zu sehen. Du\nkannst meine persönliche Wildtierexpertin sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06メリン\nHahaha, persönliche Wildtierexpertin. Ich mag\nden Titel. Und ich wüsste nicht, was ich lieber\ntun würde.\x0E\x04\x00\x00
