MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nEs ist beruhigend, einen Drachen an unserer\nSeite zu haben. Gemeinsam können wir der\nWelt den Frieden zurückbringen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nEigentlich wollte ich wegrennen, aber ich\nwusste, ich musste helfen. Und ich bin froh,\ndass ich es tat, denn so traf ich Zelestia.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06マルス\nDas klingt ganz nach dir. Und nun weiß ich,\ndass du mir immer den Rücken freihalten wirst.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nマデリーン\nIch hörte, dass Ihr der legendäre Heldenkönig\nseid. Ich verspreche Euch hiermit, alles zu tun,\num ehrenvoll zu kämpfen.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06マルス\nSo formell musst du doch gar nicht sein. Wir\nsind nun Freunde. Ich freue mich, dass die\nkühnen Vier Winde jetzt hier sind.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIch habe gesehen, wie mutig du in der Schlacht\ngekämpft hast. Ich bin stolz, dich eine Freundin\nnennen zu dürfen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nWas? Oh, ich habe doch nur getan, was jeder\ngetan hätte! Ich nehme Euer Lob demütig an.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nマデリーン\nIhr habt einst gekämpft, um Eure Heimat wieder\naufzubauen, nicht wahr? Ich hätte alles getan,\num meine Heimat zurückzubekommen.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06マルス\nAh, so ist das... Du hast ebenfalls dein Land\nverloren.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nDas habe ich. Euer Kampf war am Ende von\nErfolg gekrönt? Ich möchte so stark werden\nwie Ihr.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x08\x06マルス\nIch bin sicher, dass du das schaffst. Du bist\ndabei nicht allein. Du hast deine Freunde – und\nauch ich werde dich dabei unterstützen.\x0E\x04\x00\x00
