MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x08\x06クラン\nUnd wie ergeht es Euch heute... Prinz Alfred?\nIch danke Euch... untertänigst... für diese\nEinladung.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nEs fühlte sich in der Tat nach einer anderen\nEnergie an. Fast, als wünschte er, wir wären\nBrüder.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nBrüder, sagst du!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nZwei Brüder... einer aus Firene, der andere aus\nLythos. Wahrlich eine einmalige Begebenheit!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nGeht es dir gut? Möchtest du dich etwas\nhinsetzen?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nNur eine kleine Erkenntnis. Beachte mich nicht\nweiter.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nOh, da fällt mir ein: Alfred und ich wollten\ndas bald wiederholen. Hättest du Lust,\nnächstes Mal mitzumachen?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nNicht im Geringsten. Bleibt ruhig unter euch.\nIch würde es im Traum nicht wagen, etwas so\nHeiliges mit meiner Anwesenheit zu stören.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nMöget ihr zwei ein produktives Training haben,\nwährend ich über die Vision sinniere, die du mir\ngezeigt hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nDies ist wahrlich ein finsterer Tag.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nLouis? Was ist denn los?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nIch bin untröstlich, da ich vernahm, dass deine\nÜbungsstunden mit dem Prinzen ihr Ende\ngefunden haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nWoher weißt du denn das?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nIch habe es aus nicht allzu großer Entfernung\nselbst mit angehört.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nDu warst da?! Ich hab dich überhaupt nicht\nbemerkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nIch stieß zufällig auf den Ort eures letzten\nTrainings und war so frei, in geringer Distanz\nWache zu stehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nOh, das ergibt Sinn. Danke dafür!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nIhr zwei habt ein wirklich einzigartig\nharmonisches Verhältnis zueinander.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nDieser Kontrast des strammen Prinzen von\nFirene und des sorgsamen Jungen aus Lythos\nhat mich tief berührt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nEure Wärme, euer brüderliche Harmonie – oh,\nall dies beflügelte mein Herz.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nIn all den Jahren, die ich nun schon mit der\nBetrachtung anderer verbringe, waren eure\nÜbungsstunden etwas ganz Besonderes.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nNun, falls es dir ein Trost ist: Prinz Alfred\nbeabsichtigt, bald mit einem neuen Partner\nzu trainieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nIst das wahr?!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nIst es! Und ich bin bereits auf der Suche nach\njemandem, an den ich alles weitergeben kann,\nwas ich vom Prinzen gelernt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nDann ist dies noch nicht das Ende.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nBitte?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nWas ich für das Finale hielt, war in Wahrheit\nbloß der Auftakt. Und die Besetzung hat sich\nsogar verdoppelt!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nWie viele Stimmen werden noch ihren Weg in\ndiesen Chor der Muskeln finden? Wer kann das\nschon sagen?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nIch jedenfalls werde stets zugegen sein, als\nConnaisseur dieser Menschlichkeit! Ich kann\nes kaum erwarten, meine Rolle zu erfüllen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nÄhm... Ist alles... in Ordnung mit dir?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nÄh, ja! Natürlich!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ルイ\nIch hoffe, du wirst mich auf dem Laufenden\nhalten, was deine zukünftige Trainingsstunden\nbetrifft.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nIch unterstütze diese Bemühungen von ganzem\nHerzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nEs wäre schön, wenn ich dabei weiterhin einen\nPlatz als anerkennender Betrachter des\nGeschehens einnehmen könnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nDanke für deine Unterstützung, Louis!\x0E\x04\x00\x00
