MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSo, das wäre geschafft. War das leicht oder war\ndas leicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パンドロ\nIch weiß Euer Vertrauen in mich zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nUnd das, nachdem ich dich angelogen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パンドロ\nIhr könnt mich nicht täuschen. Ich hatte Euch\nsofort durchschaut.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nDas hast du?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nNatürlich. Haltet Ihr mich für einen Narren?\nIch merke doch, wenn mein Freund traurig ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nIch bin kein Prinz, also gebe ich nicht vor, ich\nkönnte Euch verstehen oder es Euch abnehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nDoch ich verspreche, Euch immer zu unter-\nstützen. Als Euer Getreuer, und als Freund.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nAlso macht Euch keine Sorgen... Nein, anders.\nAuch wenn Ihr Euch sorgt, bin ich für Euch da.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nDas ist alles, was ich brauche...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パンドロ\nGut. Denn letztendlich ist das alles, was ich\nanbieten kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nフォガート\nWie seltsam... Meine Sicht, sie trübt sich\nplötzlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nHey, hey, hey. Jetzt bitte nicht weinen, ja?\nWenn Ihr anfangt, muss ich auch...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nNein, ich weine nicht. ...Jedenfalls nicht sehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パンドロ\nAh, puuuh.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nIch erinnere mich... Es geschah auch während\neiner Beichte, dass Ihr mir gestanden habt,\ndass Ihr der Prinz seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nフォガート\nJa. Ich war damals oft in der Kirche deiner\nEltern. Wir beide waren gute Freunde.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パンドロ\nUnd dann kamt Ihr mit so was an. Definitiv ein\nPlatz in meinen fünf spannendsten Beichten.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08パンドロ\nIch wäre fast aus dem Beichtstuhl gekippt vor\nSchreck.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nフォガート\nDu hast Panette gesucht. Ich musste dich\neinfach wissen lassen, dass sie die Getreue\nmeiner Schwester war.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nフォガート\nUnd hättest du nicht gewusst, dass ich der\nPrinz bin, hättest du mir nicht geglaubt.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08パンドロ\nUnd dann habt Ihr noch einen draufgesetzt\nund mich ernsthaft gefragt...\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nフォガート\nWie wär's, wenn du mein Getreuer wirst?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08パンドロ\nGenau das. Oh, die Erinnerungen. Die schönsten\nsieben Worte, die ich jemals hörte.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08パンドロ\nAls Euer Getreuer bin ich nicht nur in guten\nZeiten für Euch da, sondern auch in schlechten.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08パンドロ\nIch bin, was Ihr braucht – der Kumpel auf der\nTanzfläche, und die Schulter zum Ausweinen.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0C\nフォガート\nVielen Dank, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nフォガート\nIch bin sehr froh, die Beichte so ehrlich abgelegt\nzu haben.\x0E\x04\x00\x00
