MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nAh, da bist du ja, Clanne!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nVielleicht ist es nun zu spät dafür, doch meine\nUnterstützung ist Euch gewiss, Prinzessin\nHortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas kommt wirklich etwas spät, ja. Aber\ntrotzdem...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs macht mich auch TOTAL glücklich!\nDanke, Clanne!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nWir sollten nach weiteren Mitgliedern für den\nVerein suchen! Bestimmt finden wir jede Menge!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nAch... Weißt du, was? Ich glaube, ich hätte fürs\nErste gerne einen Verein mit nur einem\nVerehrer.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nWirklich? Wieso denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nBei einem Verein zu MEINER Verehrung ist es\ndoch KLAR, dass früher oder später Unmengen\nan Mitgliedern aus der ganzen Welt beitreten.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nDa wär es ganz nett, erst mal nur einen kleinen\nKreis an Unterstützern zu haben, solange ich\nnoch kann, verstehst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nOh, das klingt gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nAlles klar, ich werde Euch der beste Ein-Mann-\nUnterstützerkreis sein, den es gibt!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nEinen tolleren Vereinsvorsitzenden könnte ich\nmir nicht wünschen!\x0E\x04\x00\x00
