MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nWo sind wir? Ich kann es nicht erkennen.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x06\x04ロイ\nSie war ein Dämonendrache und König Zephiel\nvon Biran wünschte sie zu benutzen, um die\nMenschheit zu zerstören.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nEin Dämonendrache?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x06\x04ロイ\nSo wie du hatte sie unterschiedliche Augen-\nfarben. Und sie verhielt sich ein wenig, wie du\nes tust.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nIch hätte nicht gedacht, dass das möglich sei.\nHast du gegen diesen Dämonendrachen\ngekämpft?\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x06\x04ロイ\nNun, ich hatte die Wahl: Töte ich sie und lösche\ndamit die Drachen aus? Oder rette ich sie, die\nFeindin der Menschen?\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x06\x04ロイ\nKannst du erahnen, wie ich mich entschieden\nhabe?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nNein, wie?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x06\x04ロイ\nIch werde dir die ganze Geschichte erzählen,\nwenn der Krieg vorüber ist und in deiner Welt\nwieder Frieden herrscht.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nOooch... Na gut. Aber du musst versprechen,\nmir davon zu erzählen! Ich freue mich auf deine\nGeschichte.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x06\x04ロイ\nIch verspreche es dir, \x0E\x06\x03\x00. Bis es\nso weit ist, werden wir unsere gemeinsame Zeit\ngenießen.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
