MID_MOVIE1_#001	\x0E\x03\x02\x0A\x08ルミエル\nWas tust du hier, so ganz allein?\x0E\x04\x00\x00
MID_EV3_#002	Wenn ich mich in der Nähe eines Gegners\nbefinde, mit dem Ihr kämpft, kann ich hinzu-\neilen und ihm ebenfalls einen Hieb versetzen.\x0E\x04\x02\x00
MID_EV3_#003	\x0E\x05\x01\x1C\nブシュロン\x0EStandBy\nRuft mich, wenn Ihr einen Extrawumms\ngebrauchen könnt.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x18\nエーティエ\nSmile\n\x0E\x03\x02\x0C\nエーティエ\nEs ist mir eine Ehre, Euch kennenzulernen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich bin Etie.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x1A\nエーティエ\x0CStatus\n\x0E\x03\x02\x0C\nエーティエ\nMeine Pfeile sind perfekt dafür geeignet,\ngegnerische Flugeinheiten vom Himmel\nzu holen.\x0E\x04\x02\x00
MID_EV5_#002	\x0E\x05\x01\x18\nエーティエ\nSmile\nMit diesen Muskeln hole ich die im Nu aus der\nLuft. Sie werden herunterfallen wie die Fliegen!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00"\x1CM003_イルシオン兵_ボス\x02b\n\x0E\x05\x01*\x1CM003_イルシオン兵_ボス\nAngry\n\x0E\x03\x02\x1E\x1CM003_イルシオン兵_ボス\nIch habe meine Befehle. Niemand gelangt zur\nKammer.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nWer seid ihr und was wollt ihr?!\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00"\x1CM003_イルシオン兵_ボス\x02b\n\x0E\x05\x01*\x1CM003_イルシオン兵_ボス\nAngry\n\x0E\x03\x02\x1E\x1CM003_イルシオン兵_ボス\nIch bin hier, um zu kämpfen, nicht um zu reden.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00"\x1CM003_イルシオン兵_ボス\x02b\n\x0E\x05\x01(\x1CM003_イルシオン兵_ボス\x08Pain\n\x0E\x03\x02\x1E\x1CM003_イルシオン兵_ボス\nIhr seid keine einfachen Soldaten, richtig?\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nEs sieht so aus, als hätten wir den Weg frei-\ngemacht. Gehen wir zur Ringkammer!\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x04\x03\x04
MID_ED2_#002	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nWer auch immer Ihr seid, der Rest Eurer\nTruppen wurde besiegt.\x0E\x04\x02\x00
MID_ED2_#003	Also ergebt Euch. Wenn Ihr es nicht tut,\nso werde ich Euch aufhalten.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08ヴェイル\nHm.\x0E\x04\x02\x00
MID_ED2_#005	\x0E\x03\x02\x0A\x08リュール\nAh! Wie zum--\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08ヴェイル\nSpüre ich da etwa ein Fünkchen Angst?\nSelbstverständlich tue ich das.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x00\x00
MID_MOVIE3_#001	Zeit zu sterben.
MID_MOVIE3_#002	Pass auf!
MID_MOVIE3_#003	Ah!
MID_MOVIE3_#004	Also dann, wie wäre es,\nwenn du mir die Ringe aushändigst?
MID_MOVIE3_#005	Verschwinde, sofort!
MID_MOVIE3_#006	Hm.
MID_ED3_#004	Nein...\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x00\x0C\x06フラン\x023\n\x0E\x03\x02\x08\x06フラン\nHier, Königin Lumera! Ich heile Euch!\x0E\x04\x02\x00
MID_ED3_#006	 \x0E\x04\x02\x00
MID_ED3_#007	Hm?\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x0A\x08リュール\nWas ist denn?\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x08\x06フラン\nMein Stab kann ihr nicht helfen.\nSie wurde wirklich schwer verletzt, und...\x0E\x04\x02\x00
MID_ED3_#010	Ihre Wyrmgott-Kräfte –\nsie wurden fast vollständig ausgelöscht.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x08\x06フラン\nWenn ein Wyrmgott seine Kraft verliert...\nist es so, als würde er Jahre seines Lebens verlieren.\x0E\x04\x02\x00
MID_ED3_#013	Die Sache ist die: Königin Lumera sollte nicht\nderart erschöpft sein. Das ergibt keinen Sinn!\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x02\x0A\x08ルミエル\nGanz einfach, \x0E\x0A\x004\x18mein Kleiner\x18meine Kleine...\nIch habe dir all meine Kraft gegeben.\x0E\x04\x00\x00
MID_ED3_#015	\x0E\x03\x02\x0A\x08リュール\nAber wieso?\x0E\x04\x00\x00
MID_ED3_#016	\x0E\x03\x02\x0A\x08ルミエル\nAll die Jahre, als du schliefst... gesundet bist...\nhabe ich dir meine Wyrmgott-Kräfte übertragen.\x0E\x04\x02\x00
MID_ED3_#017	Ich hoffte, dies würde dich eines Tages\nzu mir zurückbringen. Aber nun bin ich erschöpft.\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x0A\x08リュール\nOh nein, das ist meine Schuld!\nIch bin der Grund dafür!\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x02\x0A\x08ルミエル\nNein, mein Liebes...\nSo etwas darfst du nicht denken.\x0E\x04\x02\x00
MID_ED3_#020	Eine Mutter würde... alles tun, um zu sehen...\nwie ihr geliebtes Kind... ins Leben zurückkehrt.\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x0A\x08リュール\nAber ich...\x0E\x04\x00\x00
MID_ED3_#022	\x0E\x03\x02\x0A\x08ルミエル
MID_ED3_#023	Dieser Ring... gehört nun dir.\nDer Ring des Heiligen Ritters.\x0E\x04\x02\x00
MID_ED3_#024	Ich hoffte... dir den Ring geben zu können...\nden ich gemacht habe, aber das ist nun unmöglich...\x0E\x04\x02\x00
MID_ED3_#028	Hör mir zu, Kind... Diese Eindringlinge...\nIch spürte die Macht des Dämonendrachen in ihnen.\x0E\x04\x00\x00
MID_ED3_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED3_#030	\x0E\x03\x02\x0A\x08ルミエル\nDu darfst ihnen nicht erlauben...\nweitere Ringe in ihren Besitz zu bringen.\x0E\x04\x02\x00
MID_ED3_#031	Bitte... Ich flehe dich an...\nFühre alle zwölf Ringe zusammen...\x0E\x04\x02\x00
MID_ED3_#032	Auch wenn die Erinnerungen zurückkehren, musst du\nmit Göttlichkeit kämpfen. Ich glaube an dich, mein Kind.\x0E\x04\x00\x00
MID_ED3_#033	\x0E\x03\x02\x0A\x08リュール\nIch verstehe. Ich werde die Ringe zusammenführen.\nDas gelobe ich dir!\x0E\x04\x02\x00
MID_ED3_#034	Und ich werde kämpfen. Ich werde tun,\nwas immer du willst. Nur... bitte verlass mich nicht.\x0E\x04\x02\x00
MID_ED3_#035	Mutter!\x0E\x04\x00\x00
MID_ED3_#036	\x0E\x03\x02\x0A\x08ルミエル\nAh... Ah, \x0E\x0A\x004\x18mein Kleiner\x18meine Kleine... Wie habe ich mich\ndanach gesehnt, dich das sagen zu hören...\x0E\x04\x02\x00
MID_ED3_#037	All die Jahre... hielt ich die Hoffnung aufrecht.\nNie war mein Herz erfüllter als jetzt.\x0E\x04\x00\x00
MID_ED3_#038	\x0E\x03\x02\x0A\x08リュール\nSo darf es nicht enden. Du hast mir den Ring\nversprochen, wenn ich mich wieder erinnere.\x0E\x04\x02\x00
MID_ED3_#039	Und du musst mir noch so viele Dinge erzählen.\nDu hast gesagt, wir würden uns unterhalten!\x0E\x04\x00\x00
MID_ED3_#040	\x0E\x03\x02\x0A\x08ルミエル\nDas tat ich... Es gibt noch so viel,\ndas ich dir erzählen wollte...\x0E\x04\x02\x00
MID_ED3_#041	Deine Mutter zu sein – deine Mutter zu werden –\nerfüllte mein Leben mit so viel Freude.\x0E\x04\x00\x00
MID_ED3_#042	\x0E\x03\x02\x0A\x08リュール\nIch weiß... Und ich bin froh, dein Kind zu sein.\nDas bin ich jetzt, und das war ich vor tausend Jahren.\x0E\x04\x02\x00
MID_ED3_#043	Geh nicht... bleib, bis ich mich wieder erinnere!\nBitte, Mutter, ich brauche mehr Zeit!\x0E\x04\x00\x00
MID_ED3_#044	\x0E\x03\x02\x0A\x08ルミエル\nHahaha... Oh, \x0E\x0A\x00J$mein süßer Kleiner"meine süße Kleine...\x0E\x04\x02\x00
MID_ED3_#045	Komm. Geben wir uns ein Versprechen,\nzwischen Mutter und Kind. Ich schwöre dir,\x0E\x04\x02\x00
MID_ED3_#045_2	dass ich für immer und ewig bei dir sein werde.\x0E\x04\x02\x00
MID_ED3_#046	Und erinnere dich an den Ring... Sobald du\nausgeruht bist... werden wir uns unterhalten...\x0E\x04\x02\x00
MID_ED3_#047	Du und ich...\x0E\x04\x02\x00
MID_ED3_#048	 \x0E\x04\x00\x00
MID_ED3_#049	\x0E\x03\x02\x0A\x08リュール\nMutter...\x0E\x04\x00\x00
MID_ED3_#050	\x0E\x03\x02\x0A\x08ルミエル\n \x0E\x04\x00\x00
MID_ED3_#051	\x0E\x03\x01\x0A\x08ルミエル\n\x0E\x03\x02\x0A\x08リュール\nNein! Bitte!\x0E\x04\x00\x00
MID_ED3_#052	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nDas kann einfach nicht geschehen sein...\nKönigin Lumera...\x0E\x04\x00\x00
MID_ED3_#053	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDie Wyrmgottkönigin...\nSie ist von uns gegangen.\x0E\x04\x00\x00
MID_ED3_#054	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x02\x0A\x08リュール\nMutter, bitte wach auf...\x0E\x04\x02\x00
MID_ED3_#055	Dein Versprechen, an meiner Seite zu bleiben...\nDu musst... Du musst das Versprechen halten.\x0E\x04\x02\x00
MID_ED3_#056	 \x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06クラン\x023\n\x0E\x03\x00\x0C\x06フラン\x024\n\x0E\x03\x02\x0A\x08リュール\nDanke für die Hilfe bei der Beerdigung meiner\nMutter.\x0E\x04\x00\x00
MID_ED4_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEs war der letzte Dienst, den wir Königin\nLumera als Behüter leisten konnten.\x0E\x04\x00\x00
MID_ED4_#003	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x08\x06フラン\nIch kann nicht glauben, dass sie fort ist.\x0E\x04\x00\x00
MID_ED4_#004	\x0E\x03\x02\x08\x06クラン\nKomm schon, Framme. Überleg mal, wie schwer\nes für \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin sein muss. Wir müssen\nuns zusammenreißen.\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x08\x06フラン\nIch versuche es ja, aber...\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x00\x0C\x06マルス\x023\n\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x08\x06マルス\n...\x0E\x04\x02\x00
MID_ED4_#007	Lumera. Ich hätte nie gedacht, dass sich unsere\nWege so schnell wieder trennen.\x0E\x04\x00\x00
MID_ED4_#008	\x0E\x03\x02\x0A\x08シグルド\nIch auch nicht. Und ein Kind zurückzulassen...\nIch tat dies mit meinem Tode... Eine bittere\nErinnerung.\x0E\x04\x02\x00
MID_ED4_#009	Ich gelobe, Euer Kind in Eurer Abwesenheit zu\nbeschützen, Lumera.\x0E\x04\x00\x00
MID_ED4_#010	\x0E\x03\x02\x08\x06マルス\nWenn wir unsere Macht einsetzen könnten...\x0E\x04\x00\x00
MID_ED4_#011	\x0E\x03\x02\x0A\x08シグルド\nMarth. Ihr wisst, dass dies ohne die anderen\nEmbleme nicht möglich ist.\x0E\x04\x00\x00
MID_ED4_#012	\x0E\x03\x02\x08\x06マルス\nJa, ja, ich weiß.\x0E\x04\x00\x00
MID_ED4_#013	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDas ist so schrecklich. Es tut mir leid, dass ich\nnicht... irgendetwas tun konnte.\x0E\x04\x00\x00
MID_ED4_#014	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nNein, Prinz Alfred. Ohne Euch wären unsere\nVerluste vermutlich noch größer gewesen.\x0E\x04\x02\x00
MID_ED4_#015	Doch ich muss Euch fragen, was Euch bewegt\nhat, herzukommen. Hattet Ihr etwas Bestimm-\ntes im Sinn?\x0E\x04\x00\x00
MID_ED4_#016	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x0E\x0Cアルフレッド\nUnser Königreich ist in Gefahr. Meine Mutter\nsandte mich hierher, um Königin Lumera um\nHilfe zu bitten.\x0E\x04\x02\x00
MID_ED4_#017	In ganz Firene wird unser Volk von diesen...\ndiesen Kreaturen angegriffen.\x0E\x04\x00\x00
MID_ED4_#018	\x0E\x03\x02\x0A\x08リュール\nKreaturen? Was für Kreaturen?\x0E\x04\x00\x00
MID_ED4_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nSie sehen aus wie Menschen, aber... voller Risse.\nAls ob sie jeden Moment auseinanderfallen.\x0E\x04\x00\x00
MID_ED4_#020	\x0E\x03\x02\x0A\x08リュール\nDie Verzerrten.\x0E\x04\x00\x00
MID_ED4_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, so nennt Ihr sie?\x0E\x04\x00\x00
MID_ED4_#022	\x0E\x03\x02\x0A\x08リュール\nJa. Verstorbene, deren Körper ins Leben\nzurückgeholt wurden.\x0E\x04\x00\x00
MID_ED4_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nKein Wunder, dass sie uns nicht zuhören. Sie\ngreifen einfach nur alles und jeden an.\x0E\x04\x02\x00
MID_ED4_#024	Wir haben unsere Ritter losgeschickt, um sie\naufzuhalten, aber das ist ein aussichtsloser\nKampf.\x0E\x04\x02\x00
MID_ED4_#025	Mein Königreich wird zerstört.\x0E\x04\x02\x00
MID_ED4_#026	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Werdet Ihr uns helfen?\x0E\x04\x02\x00
MID_ED4_#027	Bitte, kommt mit mir nach Firene.\x0E\x04\x00\x00
MID_ED4_#028	\x0E\x03\x02\x0A\x08リュール\nIch? Was kann ich denn ausrichten? Ihr wolltet\ndie Hilfe meiner Mutter, nicht die meine.\x0E\x04\x00\x00
MID_ED4_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nKönigin Lumera ist nicht mehr da. Ihr seid\n\x0E\x0A\x00T&der letzte Wyrmgott*die letzte Wyrmgöttin.\x0E\x04\x02\x00
MID_ED4_#030	Wir brauchen die Macht der Ringe, um Firene\nzu retten. Und nur Ihr könnt uns helfen.\x0E\x04\x00\x00
MID_ED4_#031	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED4_#032	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs tut mir leid. Ich wollte Euch nicht bedrängen.\x0E\x04\x02\x00
MID_ED4_#033	Ich kehre nach Firene zurück. Wir werden tun,\nwas wir können.\x0E\x04\x00\x00
MID_ED4_#034	\x0E\x03\x02\x0A\x08リュール\nIch komme mit.\x0E\x04\x00\x00
MID_ED4_#035	\x0E\x03\x02\x0E\x0Cアルフレッド\nWirklich?!\x0E\x04\x00\x00
MID_ED4_#036	\x0E\x03\x02\x0A\x08リュール\nIch will nicht, dass noch mehr Familien\nauseinandergerissen werden – dass noch\nmehr Leute leiden müssen.\x0E\x04\x02\x00
MID_ED4_#037	Auch wenn ich Angst habe – ich muss meine\nFurcht überwinden.\x0E\x04\x02\x00
MID_ED4_#038	Nun, da meine Mutter nicht mehr hier ist, ist es\nmeine Pflicht, die Rolle \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin zu\nübernehmen.\x0E\x04\x02\x00
MID_ED4_#039	Und da in jedem Reich Ringe bewahrt werden,\nso nehme ich an, dass sich auch in Firene\neiner befindet, richtig?\x0E\x04\x00\x00
MID_ED4_#040	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas ist richtig.\x0E\x04\x00\x00
MID_ED4_#041	\x0E\x03\x02\x0A\x08リュール\nDann führt mich mein Weg so oder so dorthin,\nda ich die Bitte meiner Mutter erfüllen werde.\x0E\x04\x02\x00
MID_ED4_#042	Sie bat mich, alle Ringe zusammenzuführen\nund den Frieden zurück nach Elyos zu bringen.\x0E\x04\x02\x00
MID_ED4_#043	Als \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin nehme ich die Bitte des\nKönigreichs Firene um Hilfe offiziell an.\x0E\x04\x00\x00
MID_ED4_#044	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas freut mich zu hören! Ich danke Euch,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
