MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nDas war heute eine beeindruckende Leistung\ndort draußen, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nWeil ich gelogen habe. Mal wieder.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nIch war niemals eine Söldnerin. Ihr habt das\ngesagt, und es klang so nett, also habe ich\nso getan, als ob... Es tut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nIch bin verwirrt.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nIhr habt mich nach meiner Vergangenheit\ngefragt und ich geriet in Panik. Und wie immer\nhabe ich mich hinter einer Lüge versteckt.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nEs tut mir ehrlich leid, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich hätte Euch\nnicht belügen dürfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nIhr habt lediglich versucht, mich zu loben, und\nich ruiniere alles.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nIch werde gehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nYunaka...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nWas kann diese demütige Lügnerin für Euch tun,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nIch wollte nur mich kurz mit dir unterhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nVerstehe. Und ich bin bereit, jede Bestrafung,\ndie Ihr für mich vorgesehen habt, anzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nBestrafung? Nein. Ich wollte dich nur wissen\nlassen, wie dankbar ich bin, dich an meiner\nSeite zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nMoment! Was?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nSo empfinde ich es.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nJeden Tag kämpfst du hart, um unsere\nVerbündeten zu beschützen. Es gibt absolut\nkeinen Grund, dich zu bestrafen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nIm Nachhinein erscheint es mir, als hättest du\nnur deshalb gelogen, da wir uns noch nicht so\ngut kennen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nUnd das würde ich jetzt gerne ändern. Warum\nerzählst du mir nicht einfach mal was von dir,\nYunaka?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nSo kann man auch jemanden in Verlegenheit\nbringen...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nWenn du nicht möchtest, werde ich dich nicht\ndazu drängen. Ganz einfach.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nNa gut.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nBevor ich mich Euch anschloss, zog ich\nirgendwie nur umher. Auf der Suche nach\nmeinem Platz in der Welt.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nIch hatte mein altes Ich hinter mir gelassen.\nZumindest wollte ich das denken.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nDu scheinst dein altes Ich nicht sehr zu\nmögen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nOh, ich mochte es ganz gern. Andere aber\nmochten es nicht so sehr. Daher musste es weg.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nAber ich mag, wer ich heute bin. Ganz ehrlich,\nmir macht mein Leben richtig Spaß, seit wir uns\nkennengelernt haben!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nHahaha, das freut mich zu hören.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nDas war ein gutes Gespräch, Yunaka. Ich finde,\nwir sollten es irgendwann fortsetzen. Was\nmeinst du dazu?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nAbgemacht!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nWorüber möchtest du denn heute reden,\nYunaka?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nEs ist nicht leicht für mich, aber ich möchte,\ndass Ihr wisst, warum es mir so schwerfiel,\nEuch die Wahrheit zu sagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nDaher werde ich Euch das nun erklären, in\nOrdnung? Die Wahrheit ist, dass ich...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nDie Wahrheit ist, dass ich... ich war eine...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nIst schon gut. Du musst es mir nicht sagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nAber ich...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nIch sehe, wie schwer es dir fällt. Die Mühe steht\ndir ins Gesicht geschrieben.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nIch hatte dir gesagt, dass ich dich nicht drängen\nwerde. So einfach ist das.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nSeid Ihr wirklich damit einverstanden, dass\nich solch ein Geheimnis vor Euch bewahre?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nNatürlich. Ich habe auch meine Geheimnisse.\nDu musst dich zu nichts zwingen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nIch möchte nur das hören, was du zu sagen\nbereit bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nVielen Dank. Ehrlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nWas ich bereit bin zu sagen ist, dass ich wirklich\ndankbar bin, \x0E\x0A\x00\x16\neinen\x08eine \x0E\x0A\x00 \x0CFreund\x10Freundin wie Euch in\nmeinem Leben zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nWisst Ihr, ich fühle mich endlich, als ob ich\nden Platz in der Welt gefunden habe, nach dem\nich gesucht hatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nDas habe ich nur Euch zu verdanken und werde\ndas niemals vergessen. Ich bin froh, für Euch\nund unsere Freunde kämpfen zu dürfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nDas weiß ich wirklich zu schätzen, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nIch werde Euch alles erzählen, was ich erzählen\nkann, aber ich finde, die Gegenwart ist das,\nwas zählt. Wir, hier und jetzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nWir lernen uns gerade erst kennen. Es gibt so\nviel mehr zu sagen! Das fühlt sich an wie ein\nAbenteuer!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nEin Abenteuer. Das gefällt mir. Ich freue mich,\ndiese Reise mit dir fortsetzen zu können,\nYunaka.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nAlso gut, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Zeit, mal reinen Tisch zu\nmachen.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ユナカ\nIch weiß, Ihr habt gesagt, Ihr wolltet mich nicht\ndrängen, und Ihr wolltet nur das hören, was ich\nwirklich zu erzählen bereit bin.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06ユナカ\nAber ich bin bereit, wie man nur bereit sein\nkann. Und Ihr habt ein Recht darauf, es zu\nerfahren.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nWenn du dir sicher bist, dann höre ich dir zu.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06ユナカ\nAlso gut... Dann mal los.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06ユナカ\nIch hieß früher Larimar. Ich habe den Namen\ngeändert, um mich von meinem alten Leben als\nAssassine zu distanzieren.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nBitte, erzähl weiter.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06ユナカ\nIch fühlte mich mit Larimar nie sehr verbunden,\noder ihren Eltern, die sie im Stich ließen, als sie\nnoch klein war.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06ユナカ\nDoch sie ist meine Vergangenheit. In dem Sinne\nwird sie immer ein Teil von mir sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ユナカ\nUnd das bedeutet, dass Ihr mein wahres Ich\nohne sie nicht kennen könnt, obwohl ich es\nhinter mir gelassen habe.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nEs war mutig von dir, mir all das zu erzählen.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nIch möchte dein wahres Ich kennenlernen. Was\ndu mir gerade verraten hast, war unheimlich\nwertvoll für mich.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ユナカ\nDas weiß ich zu schätzen. Ich danke Euch,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nGerne.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nDa du mir dein Geheimnis anvertraut hast,\nYunaka, werde ich dir besser auch meines\noffenbaren.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06ユナカ\nIch wusste gar nicht, dass Ihr überhaupt eines\nhabt.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAls du mir sagtest, wie froh du seist, an meiner\nSeite kämpfen zu können, da wollte ich vor\nGlück in die Luft springen.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ユナカ\nWarum?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nWeil ich mir irgendwann ein Leben ohne dich\nnicht mehr vorstellen konnte.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nEs gibt niemanden, der mir wichtiger ist, als\ndu es bist. Ich möchte dich immer an meiner\nSeite haben.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIch denke, das ist mein Geheimnis.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ユナカ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIch möchte, dass du den Paktring trägst – sofern\ndu ihn annehmen wirst.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ユナカ\nAber dieser Ring bedeutet Euch viel...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nDu bist mir lieb und teuer, daher möchte ich,\ndass du ihn bekommst.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nOb es dein vergangenes Ich ist oder dein\njetziges Ich – ich schätze alles an dir.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ユナカ\nIhr seid so großartig!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06ユナカ\nIch möchte alles über Euch wissen. Ich will\nEuch annehmen, wie Ihr mich angenommen\nhabt.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06ユナカ\nKeine Lügen mehr und keine Geheimnisse. Ich\nmöchte für den Rest meines Lebens bei Euch\nsein. Das ist mein größter Wunsch.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nIch wünsche mir dasselbe. Lass uns ehrlich\nzueinander sein, von nun an, als Partner.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06ユナカ\nMit Freuden, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06ユナカ\nHeute beginnt ein neues Kapitel. Ich kann gar\nnicht erwarten zu sehen, was die Zukunft für\nuns bereithält.\x0E\x04\x00\x00
