MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nHey, Vander! Wo bewahrt Ihr denn hier die\nlegendären Waffen auf?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nHnn... Hah...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nEs reicht nicht... Muss noch... mehr üben...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nSieh mal einer an. Wie schön, hier zu so früher\nStunde zu sehen, wie Ihr Euch anstrengt,\nMeister Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nUnd ob. Ich muss so stark werden, wie ich kann!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nIch muss eine Legende werden, so wie Ihr\nsagtet. Dann wird meine Lanze zu einer\nlegendären Waffe!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nEr hat meine Worte ernst genommen? Er ist\nentweder unglaublich eifrig... oder ein Idiot.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nHm? Sagtet Ihr etwas?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nIch habe mich, ähm, nur gefragt, warum Ihr\nEuch so sehr eine legendäre Waffe wünscht.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nIch wuchs in einem langweiligen Ort auf dem\nLand auf. Dort gab es nichts zu tun und nichts\nzu sehen... Geschichten waren meine Zuflucht.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nMeine Lieblingsgeschichte handelte von diesem\neinen Helden, der mit seiner legendären Waffe\nein riesiges Ungeheuer besiegte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nIch denke ständig über diese Geschichte nach.\nIch möchte so werden wie dieser Held, daher\nbenötige ich eine legendäre Waffe!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nVerstehe. Wenn Ihr Euch dem so sehr ver-\nschrieben habt... Warum trainiert Ihr dann nicht\nmit mir?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nWirklich?! Meint Ihr das echt so? Ich wäre\nbegeistert!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nIhr seht so stark und kühn aus... Ich wette, Ihr\ntrainiert wie verrückt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nHmpf. Versucht einfach, mit mir mitzuhalten.\nIch werde mich nicht zu Euren Gunsten\nzurückhalten, „Held“.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nArgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIhr leidet bereits, Held? Dies sind doch nur\nKernübungen. Mit den Sprints haben wir noch\nnicht einmal angefangen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nUff! Ich geh ein, Vander... Trainiert Ihr etwa\nimmer so erbarmungslos?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nDas tue ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nDas ist nicht zu glauben. Ich kann kaum\nmithalten!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nWar es das schon? Was ist aus Eurem\nEnthusiasmus geworden? Ich dachte, Ihr\nwünscht, eine Legende zu werden!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nIch bin... zu müde, um mich zu verteidigen. Uff...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nWenn Euer Training ständig so aussieht, bin ich\nsicher, dass Ihr bereits eine Legende seid. Könnt\nIhr mir nicht einfach Eure Waffe geben?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nNein! Ich habe Euch doch gesagt, ich habe\nweder Interesse an legendären Waffen, noch\nmöchte ich selbst legendär sein. Und doch...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nIch sehe, wie die jungen Leute wie Ihr sich\nbemühen, aus dieser Welt eine bessere Welt zu\nmachen. DAS ist der Stoff für Legenden.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nIhr zeigt Hingabe, Ehrgeiz und unglaubliches\nPotenzial. Eure eigene Geschichte hat gerade\nerst begonnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nGebt diesen Traum nicht auf. Dann wird Eure\nWaffe garantiert früher oder später einer wahren\nLegende gehören.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nOooch, Vander... Das werde ich!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nMeine Waffe wird legendär sein, und auch ich\nwerde es sein! So wie in den Geschichten, die\nich als Kind gelesen habe!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nEin bewundernswertes Ziel, und eines, das Ihr\nschneller erreichen werdet, wenn Ihr aufhört,\nherumzujammern. Verstanden?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nJawoll! Ich werde so hart trainieren,\nwie ich kann!\x0E\x04\x00\x00
