MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nAAAH!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nヴァンドレ\nAber denkt daran, dass es sich dabei nur um\neine behelfsmäßige Lösung handelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHallo, Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nWas auch immer Ihr braucht, ich bin mir sicher,\nes kann warten, bis ich mit Stricken fertig bin.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch wollte mich nur noch mal dafür bedanken,\ndass Ihr neulich meinen Ärmel repariert habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nIch war nur zufällig zugegen. Jeder andere hätte\nEuch an meiner statt ebenso geholfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHmmm, aber Ihr habt mir nun mal geholfen, also\nseid Ihr es auch, dem ich danke.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDarf ich fragen, woran Ihr da überhaupt\narbeitet?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nAn Spitze. Ich weiß noch nicht, was genau ich\ndaraus mache. Das werde ich mir überlegen,\nwenn es so weit ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr könntet daraus bestimmt hübsche\nAccessoires anfertigen, die mein natürliches\nCharisma noch unterstreichen würden.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nヴァンドレ\nEin Accessoire? Keine schlechte Idee.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bewundere Euch, Vander. Ihr seid stark,\nhabt aber auch eine feinfühlige Seite. Ich finde\ndas wunderbar.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nIch habe lange Zeit Königin Lumera gedient.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nDiese Position verlangte von mir, den Umgang\nmit Nadel und Faden ebenso wie das Kochen,\nPutzen und allerlei Hausarbeit zu beherrschen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch halte mich ja selbst für äußerst geschickt,\nwas Hausarbeit anbelangt, aber ich glaube, Ihr\nübertrefft mich in der Hinsicht noch.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBei so vielen Talenten wart Ihr in Eurer Jugend\ngewiss ein ziemlicher Charmeur.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nNicht besonders.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nIch habe mich immer viel zu sehr meiner\nBerufung hingegeben, sodass ich für Derartiges\nnie Zeit hatte.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch verstehe...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nWenn ich Euch dies gebe, werdet Ihr dann\nfortgehen?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr bietet mir die Spitze an?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVielen Dank, aber ich würde sie nicht der\nPerson wegnehmen wollen, für die sie eigentlich\ngedacht war.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nヴァンドレ\nSie war für niemand Besonderen gedacht. Ich\narbeite nur mit Nadel und Faden, um meine\nHände zu beschäftigen, während ich nachdenke.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nSeht Euch das einmal an, Vander.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nWie ich sehe, habt Ihr guten Gebrauch von\nmeiner Spitze gemacht. Das ist ein schönes\nAccessoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, wenn meine Anmut beim Tragen\ndieses Accessoires nun Eure Handwerkskunst in\nden Schatten stellt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nEs mangelt Euch wirklich nicht an\nSelbstbewusstsein, muss ich sagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas fasse ich mal als Kompliment auf.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nDas solltet Ihr auch. Selbstbewusstsein ist\nein guter Wesenszug. Ihr habt die richtige\nEinstellung.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch danke Euch vielmals.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWenn es Euch nichts ausmacht, Vander...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nKönnte ich Euch dann um einen Gefallen bitten?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nWorum geht es?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIhr sagtet, Ihr nutzt Nadel und Faden, um Eure\nHände zu beschäftigen, während Ihr nachdenkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch frage mich, ob Ihr Euch dabei ein wenig...\num mich kümmern könntet.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nWie meint Ihr das?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch möchte, dass Ihr mir beibringt, mit Nadel\nund Faden umzugehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch finde, das wäre eine wunderbare Ergänzung\nmeiner sich stets erweiternden Palette an\nTalenten.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nヴァンドレ\nMan schenke mir Geduld mit Euch... Ich kann\nkaum glauben, dass ich Euch einst für\nbescheiden hielt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWar das doch zu viel verlangt? Es tut mir\nleid...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nIch werde Euch alles beibringen, was ich weiß.\nIch bin neugierig, was Ihr damit anfangen könnt.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, vielen Dank. Das weiß ich wirklich zu\nschätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIm Gegenzug habt Ihr natürlich das Vergnügen,\nunvergleichliche Gespräche mit mir führen zu\ndürfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNicht lange und Ihr werdet Euch fragen, wie Ihr\nbei der Arbeit mit Nadel und Faden jemals ohne\nmich ausgekommen seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nHahaha, Ihr seid wirklich etwas Besonderes.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nEuer Selbstbewusstsein ist gepaart mit einer\nscharfen Zunge. Ihr sagt, was immer Euch in\nden Sinn kommt.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nIch muss gestehen, dass diese Eigenschaft die\nGespräche mit Euch recht unterhaltsam macht.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nNun gut, solch interessanter Gespräche werde\nich mich nicht verwehren. Das könnte sogar\nsehr spaßig werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bin mir sicher, das wird es.\x0E\x04\x00\x00
