MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nHm... Hm Hmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nOje. Ihr habt doch nicht etwa Angst vor\nGeistern, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nTatsächlich verspüre ich eine solche Angst,\ndass ich mich gerade kaum beherrschen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nDer menschenförmige Fleck an der Wand.\nDie Handabdrücke am Fenster, die\nabgestandene Luft...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nNur äußerste Anstrengung hält mich überhaupt\nnoch aufrecht. Bei Bewusstsein. Nicht\nschreiend.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nMeine Würde hängt am seidenen Faden.\nAm Stolz meines königlichen Amtes.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nDieser Faden... ist im Begriff zu reißen. Ja, der\nRiss steht unmittelbar bevor.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nAuch Prinzessinnen sind schließlich nur\nnormale Leute.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nUnd dies vorausgeschickt... verkünde ich...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nICH VERSCHWINDE VON HIIIER!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x02\x0A\x08パネトネ\nGute Güte! Prinzessin Ivy... Macht langsamer!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nIch kann gar nicht in Worte fassen, wie leid es\nmir tut, Euch zu diesen Ruinen gebracht zu\nhaben.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nBitte mach dir darüber keine Sorgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nIch habe nicht mal daran gedacht, Euch zu\nfragen, ob Ihr Angst vor Geistern habt. Wie\nentsetzlich gedankenlos von mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nBitte gestattet mir, für meine Verfehlung zu\nbüßen. Was immer Ihr getan zu haben wünscht,\nsoll von mir getan werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nDu musst für gar nichts büßen. Es geht mir gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nIch muss sowieso selten allein irgendwohin.\nDaher stört mich meine neue Panik vor\njeglicher Einsamkeit nicht sehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nDas Geheul des Windes hält mich nachts wach,\naber ich habe einfach gelernt, bis zur völligen\nErschöpfung zu schreien.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nUnd das Knarren der Bodendielen im Flur lässt\nmich so erzittern, dass ich mich stundenlang\nnicht rühren kann. Aber das macht nichts.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nIch habe eben akzeptiert, dass meine Furcht an\njenem Tag, die für ein ganzes Leben reicht,\nmich auf ewig gezeichnet hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nOh, Ihr arme Frau! Es tut mir ja so entsetzlich\nleid!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nNein, es tut mir leid. Ich musste dich ein wenig\nnecken!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nEs geht mir gut, Panette. Wirklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nIch verstehe, dass du mich zu diesem Ort\ngebracht hast, weil du dachtest, es würde mich\nglücklich machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nBitte mach dir darüber nie wieder Sorgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nKeine Sorgen machen? Ich habe Euch\nentsetzlich leiden lassen!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nDoch du wolltest nach bestem Wissen und\nGewissen, dass ich Spaß habe, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nNun, ja, aber-\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nDas ist es, was für mich zählt. Vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パネトネ\nOh... Na gut. Wenn Ihr da sicher seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nGlaubt Ihr, dass wir trotz meines elenden\nFehltritts noch befreundet sein können?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アイビー\nAber sicher!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nDoch von nun an verrätst du mir im Voraus,\nwohin es gehen soll.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nUnd zwar in keinerlei Spukstätten mehr, bitte.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\nHahaha, natürlich. Von nun an bleiben wir im\nLande der Lebenden!\x0E\x04\x00\x00
