MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nWas ist das für ein Ort, Lucina? Ich spüre hier\neine seltsame Kraft.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nRelax\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJunge, in dieser Arena haben die Khane um das\nRecht des Herrschens gekämpft? Es ist fast,\nals hätte uns das Schicksal hierhergebracht.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0C\x06ルキナ\x02b\n\x0E\x03\x02\x08\x06ルキナ\nDie Khane selbst haben nicht gekämpft. Dafür\nhaben sie Stellvertreter ausgewählt.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x1C\x0Cアルフレッド\x0CStatus\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPuh! In diesem Fall ist es unser Glück, dass es\nsich nicht um die echte Arena handelt.\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x03\x02\x08\x06ルキナ\n\x0E\x05\x01\x16\x06ルキナ\x0CStatus\nHahaha, in der Tat. Und jetzt greif mich an!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIch habe verloren. Deine Kampffähigkeiten\nhaben sich enorm verbessert, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x08\x06ルキナ\nIm Vergleich zu unserem ersten Treffen bist du\njetzt ein starker und überragender Gegner.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nDanke. Dazu hat in nicht unbedeutendem Maße\ndeine Führung beigetragen, Lucina.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06ルキナ\nWelch freundliche Worte. Wenn ich dir über-\nhaupt irgendwie helfen konnte, dann macht\nmich das sehr glücklich.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x08\x06ルキナ\nDaraus können wir was lernen. Die Möglich-\nkeiten, die eine Person allein hat, sind begrenzt.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nDa stimme ich zu. Allein wäre ich niemals so\nweit gekommen.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nAlles, was ich erreicht habe, verdanke ich jenen,\ndie an meiner Seite kämpfen.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06ルキナ\nIch bin froh, das zu hören. Ich fühle meine\nFreunde bei mir, selbst jetzt. Denn ihr Geist\nlebt in mir fort.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nIhr Geist lebt fort...\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x08\x06ルキナ\nDie Kraft meiner Bande mit ihnen half uns, eine\nhoffnungslose Zukunft zu verändern.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06ルキナ\nGenau so ist es jetzt bei dir und deinen\nVerbündeten.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08リュール\nDu bist eine dieser Verbündeten, Lucina, nicht\nwahr?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x08\x06ルキナ\nNatürlich. Ich kämpfe mit dir zusammen bis zum\nbitteren Ende.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nDann können wir gar nicht verlieren. Ganz egal,\nwas die Welt uns entgegensenden mag.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x08\x06ルキナ\nDa hast du recht. Unsere Bande sind weitaus\nstärker als das Schicksal!\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
