MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06クラン\nPrinz Fogado. Ich hätte eine Frage.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nKlar! Ich hoffe, man kann es halbwegs lesen.\nMeine Handschrift wird immer ganz fahrig,\nwenn ich nervös bin...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nSchauen wir mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\n„Fogado ist ein Mann des Volkes. Er ist so\numgänglich, dass man glatt vergessen könnte,\ndass er ein Prinz ist.“\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\n„Er führt die Wächter mit ruhiger Hand...\nFeiert gerne Partys... Liebt Gourmetspeisen...“\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\n„Er ist sehr sportlich – außer, wenn es ums\nFischen geht.“ Hahaha. Hart, aber zutreffend!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nDa hast du mich ja sehr genau getroffen.\nWahrscheinlich hältst du mich jetzt für nichts\nBesonderes mehr, hm?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nWas? Wenn überhaupt, bin ich noch faszinierter.\nIhr seid ein Mann unter den Männern!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nAber ich habe nichts erfahren, das die Lücke\nzwischen uns überbrücken würde. Es scheint\neher, als würde sie sich noch vergrößern...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nMeinst du wirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nDann habe ich einen Vorschlag. Lass uns\ndemnächst mal gemeinsam zu Mittag essen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nMittagessen?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nJa. Ich werde dir dabei ein Geheimnis\nverraten, das dir den Verstand rauben wird.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nWirklich? Prinz Fogados geheimes Geheimnis\nder Männlichkeit wird endlich gelüftet...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nIch werde auf jeden Fall dabei sein. Ich kann es\ngar nicht abwarten!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHier ist dein Mittagessen. Extra mit\neingelegten Gurken, wie du es magst!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nOh, sieht das lecker aus!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nUnd jetzt zu dem versprochenen Geheimnis.\nEs gibt da einen Kerl, den ich bewundere. Er ist\nso, wie ich gerne wäre.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nIch erzähle dir, was ich an ihm mag, und das\nwird dir alles sagen, was du wissen musst.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nIch bin ganz Ohr. Bitte, erzählt mir alles!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nDer Kerl arbeitet richtig hart. Er strebt immer\ndanach, sich zu verbessern.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nEr gibt niemals auf. Das ist genau die\npositive Einstellung, die die Welt in solchen\nZeiten braucht.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nHui. Das klingt ja nach einer richtig\ninspirierenden Person.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nJa, inspirierend trifft es gut. Ich möchte in seine\nFußstapfen treten – mich ebenfalls stets\nverbessern.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nWer ist das denn? Ist es jemand, den ich kenne?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\nDas denke ich schon. Er sitzt hier und schreibt\netwas in sein Notizbuch.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nIhr meint, er ist hier irgendwo in der Nähe.\nOder...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nMoment, WAS?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nIch weiß, dass du zu mir aufschaust. Aber in\nWirklichkeit schaue ich auch zu dir auf.\nVielleicht sogar mehr.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nWAAAS?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nHör zu. All der Kram über Jungen und\nMännlichkeit und so? Völlig unwichtig!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nZerbrich dir darüber nicht den Kopf, sondern\ngeh deinen eigenen Weg.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nDeine positive und fleißige Einstellung... die ist\nrichtig klasse, wenn du mich fragst.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nIch... Uff. Das ist so nett von Euch. Ich weiß gar\nnicht, was ich sagen soll.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nDann werde ich meine Anstrengungen\nverdoppeln, um Euch nicht zu enttäuschen!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nOje. Dann bin ich ja doppelt so beeindruckt,\nund das halte ich nicht aus. Da explodiert mir\nder Kopf.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nHm... Das heißt dann also, dass wir beide\njeweils das Beste im Anderen hervorbringen,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\nDas würde ich auch so sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nKomm, nimm dir noch was zu essen. Du musst\nordentlich reinhauen, wenn du ein großer,\nstarker Clanne werden willst.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\nImmer gerne!\x0E\x04\x00\x00
