MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nSchwester.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nラファール\nIch sage dir: Ich werde alles tun, damit ich dich\nnicht noch einmal verliere.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Dein Schutz ist alles, was mir wichtig ist.\nWas auch immer dabei mit mir geschehen mag,\nsoll mir recht sein.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Und wenn du wirklich verstehst, was ich fühle,\nmuss ich kein weiteres Wort mehr sagen.\nBitte entschuldige mich nun.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\nWarte! Bitte, hör zu.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Wie kann ich es dir begreiflich machen?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nWie ich sehe, wurden deine Verletzungen\nbehandelt. Gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nUnd du hast die ganze Zeit auf mich gewartet.\nEs tut mir leid, so viel deiner Zeit verschwendet\nzu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nDie Zeit ist irrelevant. Aber dieser Schlag galt\nmir. Und du hast ihn geraubt.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Ich habe gesagt, dass ich dich beschützen\nwerde, ganz egal, was aus mir wird.\nBedeuten dir meine Worte so wenig?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Wenn es dein Ziel ist, mein Herz zu zertrampeln,\ndann sei es so. Aber werde nicht du zur\nMärtyrerin!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04エル\nHihihi. Wie sich der Wind doch gedreht hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nNel!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nIch verstehe deinen Zorn. Doch jetzt wirst du\nmich endlich anhören.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Die tausend Jahre, die du über mich gewacht\nhast, waren für mich wie ein Augenblick\ngewesen.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	In unserer eigenen Welt waren wir nie echte\nZwillinge gewesen.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Man könnte sagen, dass wir gegeneinander\ngekämpft haben, weil wir keine Zwillinge sein\nkonnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\nWas willst du damit sagen?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04エル\nIn dieser Welt hier hat sich jetzt alles geändert.\nWir teilen uns einen Drachenstein.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Verstehst du denn nicht? Das macht uns\nwahrlich zu zwei Hälften eines Ganzen.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Und wenn das so ist, dann kann dein Wunsch,\nmich zu beschützen, nicht allein einseitig sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nラファール\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04エル\nWenn du wünschst, mich zu beschützen, aber\nselbst nicht beschützt zu werden, werden wir\nuns niemals als Gleiche gegenüberstehen.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Wenn wir zwei Hälften eines Ganzen sein\nwollen, muss auch ich dich beschützen.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Dein Schmerz ist mein Schmerz.\nDeine Freude ist meine Freude.\nIch teile all deine Furcht und dein Leid.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Also sag mir nie wieder, es sei irrelevant, was\naus dir wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nラファール\nSeufz.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Du hast vollkommen recht. Bitte verzeih mir\nmeine Arroganz.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Ich habe zugelassen, dass meine Furcht, dich\nzu verlieren, unsere gesamte Beziehung\nüberschattet. Das war falsch von mir.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Wir stehen uns als Gleiche gegenüber, als zwei\nHälften eines Ganzen. Ich flehe dich an, vergib\nmir meine Dreistigkeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04エル\nEs gibt nichts zu vergeben. Was du gesagt\nund getan hast, geschah nur aus Liebe heraus.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nWie geht es deiner Wunde? Sag mir die\nWahrheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nSie wird mich vermutlich für immer begleiten.\nUnd deine?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nラファール\nEbenso. Den Rest meines Lebens.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04エル\nHihi. Zwillinge mit identischen Narben.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nラファール\nDarüber musst du dich doch nicht so freuen.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nAber natürlich. Die Narbe beweist, dass ich\nmeinem Bruder als Schild gedient habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nラファール\nHahaha. Du bist unmöglich. Mit dir kann\nniemand mithalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x06\x04エル\nLachen... und auch noch ein Lächeln? Dieser\nTag wird mir ewig im Gedächtnis bleiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nラファール\nEin Lächeln? Niemals. Das musst du dir\neingebildet haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x06\x04エル\nMich kannst du nicht täuschen, Rafal.\nDas ist unmöglich.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nラファール\nWarum? Weil wir zwei Hälften eines Ganzen\nsind?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x06\x04エル\nGenau.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nラファール\nMein Verstand ist dein Verstand, vermute ich.\nMöge es immer so bleiben, werte Schwester.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x06\x04エル\nIn der Tat.\x0E\x04\x00\x00
