MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh, hallo Chloé! Welch Zufall, dich hier\nanzutreffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nJa. Meine Eltern waren jedenfalls Adlige.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nDann haben wir etwas gemeinsam.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nIch bin ebenfalls eine Adlige, verwandt mit der\nköniglichen Familie sogar. Mir hat es nie an\netwas gefehlt.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nUnd dennoch...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nHmm?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nSag, wie bist du zu einer Getreuen geworden?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nNa ja, ich hab die Ritterprüfung abgelegt,\nbestanden und dann diese Stelle bekommen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nWundervoll. Du verfügst also über die nötigen\nFertigkeiten, die man von Getreuen erwartet.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nIch weiß ja nicht, wie genau es in deinem Land\nabläuft, aber du bist doch auch eine Getreue\neiner königlichen Familie.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nIn meinem Fall waren es aber nicht meine\nFähigkeiten allein, sondern auch die familiären\nBeziehungen, die mir die Position einbrachten.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nUnd das fühlt sich für dich falsch an?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nWenn es dabei nur um meinen Stolz ginge,\nwürde es mich nicht allzu sehr beschäftigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nAber... meine Schwäche könnte für Seine Hoheit\nzu einer Belastung werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nDaher... komme ich nicht umhin, oft darüber\nnachzudenken.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nIch verstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nVergib mir, aber ich muss weiter. Ich habe\nerneut noch etwas Wichtiges zu erledigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nNa gut. Es war schön, mit dir zu plaudern! Man\nsieht sich, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHa!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nNein. Das genügt noch lange nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nIch muss weiter üben und noch viel stärker\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nNur dann kann ich jene beschützen, die mir\netwas bedeuten...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\nHaaa!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nDas war gut! Du hast genau getroffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nChloé? Was machst du denn hier?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nHast du dich verlaufen?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nNein. Ich weiß, ich hätte das nicht tun sollen,\naber ich bin dir gefolgt, weil ich wissen wollte,\nwas genau du tust.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nJedes Mal, wenn du sagst, du hast etwas\nWichtiges zu erledigen, kommst du hinterher\nganz voller Schmutz zurück.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nAha. Ich habe dir also Sorgen bereitet.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nDas tut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nMuss es nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nAber jetzt weiß ich, was für dich so wichtig war!\nDu hast ein paar Runden zusätzliches\nMagietraining eingeworfen!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nJa, das stimmt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nWie gesagt wurde ich Getreue aufgrund\nfamiliärer Verbindungen. Es mangelt mir aber an\nden nötigen Fertigkeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nDaher lege ich jeden Tag etwas Extratraining\nein, um dieses Defizit auszugleichen und stärker\nzu werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nEs war nicht wirklich meine Absicht, das\ngeheim zu halten. Ich wollte bloß... keine\nAufmerksamkeit darauf lenken.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nIch wünschte, du hättest mir einfach davon\nerzählt. Ich hätte dir helfen können!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nDas würdest du tun?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nKlar würde ich das. Wir sind doch Freundinnen,\noder nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nDanke, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nDarüber hinaus schmecken auch die\nImbissbudengerichte viel besser nach einem\nordentlichen Training. Du wirst schon sehen!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nシトリニカ\nHahaha! Ach, wirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nWer hätte gedacht, dass es eine Möglichkeit\ngibt, Fischinnereien sogar noch köstlicher zu\nmachen...\x0E\x04\x00\x00
