MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJade! Tritt gegen mich an! Zeig mir deine\nKampffähigkeiten!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nWir haben andere Drachen. Sie sind lang und\nbeweglich. Ich habe sie bisher noch in keinem\nanderen Königreich gesehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nHm! Interessant. Das würde ich mir gerne mal\nansehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nIch kann dir Schriftrollen mit Bildern davon\nzeigen. Aber du musst einem weiteren Kampf\nmit mir zustimmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nWir haben doch noch nicht einmal den ersten\nKampf geführt! Lass mich erst einmal all meine\nFragen stellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nWas kannst du mir über deine Familie erzählen?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nAußer meinen Eltern sind da noch ein jüngerer\nBruder und eine jüngere Schwester.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAh. Dann bist du der Erstgeborene?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nJa. Meine Eltern wollten, dass ich das Ver-\nmächtnis meiner Familie weitertrage.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nAber ich war... nicht fähig, dies zu tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nIch konnte es nicht ertragen, mein Leben zu\nleben, ohne jemals etwas über die Welt zu\nerfahren.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nOh?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nJa. Das war der Grund, warum ich mich dazu\nentschloss, meine Heimat zu verlassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nIch hinterließ einen Brief, in dem ich meine\nGründe darlegte – und bat sie, nicht nach mir\nzu suchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nUnd nun bin ich hier.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ジェーデ\nDas ist eine unglaubliche Geschichte, Kagetsu.\nDein Leben ist wie ein Abenteuerroman, der\nsich selbst schreibt.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nWir alle haben unsere Geschichten.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nNun, darf ich den Kampf mit dir genießen?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ジェーデ\nSicher. Ich habe keine Fragen mehr und\nabgemacht ist abgemacht. Ich bin so weit.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nDeine Stärke ist unfassbar! Ich wurde noch nie\nvon einem Gegner so in die Ecke gedrängt!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nDu warst auch nicht schlecht. Ich kann gar\nnicht glauben, dass es unentschieden endete.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nEs ist selten, dass mir ein Patt Vergnügen\nbereitet.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nDas war durchaus befriedigend, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nSag mal, Jade, wie kommt es, dass du so stark\nbist? Liegt das in deiner Familie?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nNein, gar nicht. Meine Kindheit war friedvoll\nund ruhig.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nMein Vater ist ein Gemmologe und meine\nMutter eine Künstlerin. Sie stellt die schönsten\nGeschmeide her.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nSie wissen also nicht, wie man kämpft.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nDas stimmt. Als ich jünger war, half ich meiner\nMutter bei der Schmuckherstellung.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nUnglücklicherweise habe ich zwei linke\nDaumen. Daher schloss ich mich den Wachen\nan, die unsere Edelsteinminen bewachten.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nDas war aber ein schneller Wechsel.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nMeinst du? Es fühlte sich für mich gar nicht so\nan. Ich habe körperliche Arbeit schon immer\ngeliebt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nBanditen versuchten immer wieder, unsere\nMinen zu plündern, so bekam ich genug Übung.\nDas waren lustige Zeiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nAh. Jetzt wird es mir klar.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe die Mine über Jahre hin bewacht... Die\nLeute im Ort fingen an, mich „eiserne Mauer“ zu\nrufen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nIrgendwann hörte ein königlicher Soldat von\nmir und schlug vor, ich solle an Brodias\nKampfturnier teilnehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nUnd das hast du sofort gewonnen,\nnehme ich an.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe mich auf den ersten Platz gekämpft,\ntraf Prinz Diamant, und wurde offiziell seine\nGetreue.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nHups. Ich wollte dir mehr Fragen stellen, aber\nstattdessen habe ich nur über meine eigene\nVergangenheit geredet.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nEs ist wohl so, wie du sagtest, Kagetsu. Jeder\nvon uns hat seine eigene Geschichte.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nIn der Tat. Und nun, da sich unsere Geschichten\nmiteinander verweben, zeigen sie uns den Weg\nin eine gemeinsame Zukunft.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ジェーデ\nAls ob man die Seiten eines Romans umblättert.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06カゲツ\nGenau! Also, wann steht unsere Revanche an?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nNenn mir einfach den Ort und die Zeit, und ich\nwerde dort sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nIch kann es jetzt schon sehen, dass unsere\nKämpfe im Roman meines Lebens Seiten sein\nwerden, die man gerne mehrmals liest.\x0E\x04\x00\x00
