MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nKaum zu glauben, dass hier, wo jetzt dieser See\nist, mal ein Berg gewesen sein soll.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x14\x12M024_リュール\nDeine Antwort muss Ja lauten. Mit Ring kann\nich dich nicht gehen lassen. Wenn ich Vater\nnicht gehorche...\x0E\x04\x02\x00
MID_OP2_#025	Werde ich umgebracht. Viele meiner Schwestern\nund Brüder wurden umgebracht.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0A\x08リュール\nUmgebracht?\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x14\x12M024_リュール\nEin älterer Bruder wurde ertränkt. Eine ältere\nSchwester wurde bei lebendigem Leib\nverbrannt.\x0E\x04\x02\x00
MID_OP2_#028	Eine kleine Schwester und ein kleiner Bruder –\nsie waren niedlich – wurden von den Verzerrten\nzerfetzt.\x0E\x04\x02\x00
MID_OP2_#029	Einige Geschwister starben im Krieg. Die\nmeisten davon waren Fehlgriffe. Vater hat\nsie beseitigt.\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x0A\x08リュール\nBeseitigt?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x14\x12M024_リュール\nFehlgriffe müssen entsorgt werden. Aber ich bin\nkein Fehlgriff.\x0E\x04\x02\x00
MID_OP2_#032	Ich sammle Ringe, um das zu beweisen. Vaters\nWunsch muss wahr werden. Bis dahin werde\nich Ringe sammeln.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x0A\x08リュール\nUnd wenn sein Wunsch wahr geworden ist, was\ndann? Was wirst du dann tun?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x14\x12M024_リュール\nWas ich dann... Oh. Nun...\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x0A\x08リュール\nWas war das?!\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x14\x12M024_リュール\nDas ist eine Lawine. Die gibt es hier häufig.\x0E\x04\x02\x00
MID_OP2_#037	Aber ich höre Verzerrte in der Nähe. Sie sind\nunruhig. Das ist ungewöhnlich.\x0E\x04\x02\x00
MID_OP2_#038	Vielleicht... nähern sich Eindringlinge.\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x0A\x08リュール\nDas müssen die anderen sein... Es tut mir leid,\naber ich muss gehen!\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x02\x14\x12M024_リュール\n\x0E\x0A\x00\x10\x06Der\x06Die Fremde mit meinem Gesicht flieht. Das\nwerde ich verhindern.\x0E\x04\x02\x00
MID_OP2_#041	Ich muss \x0E\x0A\x00\x10\x06ihn\x06sie einfangen. Ich brauche deine Hilfe...\x0E\x04\x02\x00
MID_OP2_#042	Marth.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x00\x18\x12M024_敵マルス\x022\n\x0E\x03\x02\x14\x12M024_敵マルス\n...\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08リュール\nDa seid Ihr ja!\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nEin Glück, dass Ihr in Sicherheit seid! Wir\nwussten nicht, wo wir Euch suchen sollten.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0A\x08ヴェイル\nBruder! Ich bin so froh, dass wir uns alle\nwiedergefunden haben, nachdem die Erde\nso gebebt hat!\x0E\x04\x02\x00
MID_OP3_#003_F	\x0E\x03\x02\x0A\x08ヴェイル\nSchwester! Ich bin so froh, dass wir uns alle\nwiedergefunden haben, nachdem die Erde\nso gebebt hat!\x0E\x04\x02\x00
MID_OP3_#004	Ich weiß jetzt, wo das Drachensiegel ist. Es ist\nhier ganz in der Nähe.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnglücklicherweise werden wir verfolgt. Und Ihr\nwerdet nicht glauben, von wem...\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x0A\x08リュール\nHm?\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nIhr da! Ich bestehe darauf, dass ihr mir sofort\nsagt, wer ihr seid.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08リュール\nZephia?!\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x08\x06セピア\nIn wessen Auftrag handelt ihr? Ihr kämpft gegen\ndie Verzerrten, ihr mäht sie nur so nieder...\x0E\x04\x02\x00
MID_OP3_#010	So etwas hat noch niemand von uns je\ngesehen. Und Überraschungen sind hier\nnicht sonderlich willkommen.\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nWas hat das zu bedeuten? Ich dachte, sie sei\ntot.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nSie ist gestorben. Zephia dürfte gar nicht vor\nuns stehen.\x0E\x04\x02\x00
MID_OP3_#013	Sie sieht nicht aus wie eine Verzerrte. Aber\nkennen tut sie uns auch nicht...\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x0A\x08リュール\nDas wird jetzt vielleicht schwer zu glauben sein,\naber das ist Zephia – von vor tausend Jahren.\x0E\x04\x02\x00
MID_OP3_#015	Weil auch wir gerade im Gradlon von vor\ntausend Jahren sind. Im Gradlon der Kriegszeit.\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x0A\x08ヴェイル\nWas?!\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x0A\x08リュール\nDer Kristall sollte das versunkene Siegel in\nReichweite bringen. Und in gewisser Weise\nhat er das auch.\x0E\x04\x02\x00
MID_OP3_#018	Nur hat es keine Berge erhöht oder Seen\nentleert, sondern uns in die Vergangenheit\ngeschickt.\x0E\x04\x02\x00
MID_OP3_#019	Ob Ihr es glaubt oder nicht, ich bin vorhin\nmeinem früheren Ich begegnet. Da wurde mir\ndas klar.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEurem was?!\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nOh, das bedeutet nichts Gutes...\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x00\x18\x12M024_リュール\x023\n\x0E\x03\x02\x14\x12M024_リュール\nIch habe dich gefunden.\x0E\x04\x00\x00
MID_OP3_#023	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x0A\x08ヴェイル\nBruder, das... bist ja du!\x0E\x04\x00\x00
MID_OP3_#024_F	\x0E\x03\x02\x0A\x08ヴェイル\nSchwester, das... bist ja du!\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nJa, das bin ich.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x0A\x08ヴェイル\nRote Augen, rotes Haar, aber das bist du!\x0E\x04\x02\x00
MID_OP3_#026_F	\x0E\x03\x02\x0A\x08ヴェイル\nRote Augen, rotes Haar, aber das bist du!\x0E\x04\x02\x00
MID_OP3_#027	So hast du ausgesehen, als wir uns damals zum\nersten Mal begegneten...\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x14\x12M024_リュール\nZephia, bitte zieh dich zurück. Ich übernehme\ndas.\x0E\x04\x00\x00
MID_OP3_#029	\x0E\x03\x02\x08\x06セピア\nDanke, Euer Hoheit. Aber ich kann Euch auch\ngerne assistieren...\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x14\x12M024_リュール\nDas wird nicht nötig sein. Geh und berichte\nVater, was hier vor sich geht.\x0E\x04\x02\x00
MID_OP3_#031	Und dass ich spüre, dass sie Embleme bei sich\nhaben.\x0E\x04\x00\x00
MID_OP3_#032	\x0E\x03\x02\x08\x06セピア\nSie sind im Besitz von Emblem-Ringen?\x0E\x04\x00\x00
MID_OP3_#033	\x0E\x03\x02\x14\x12M024_リュール\nMöglich.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x08\x06セピア\nVerstanden. Ich gehe zum Tempel.\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x01\x08\x06セピア\n\x0E\x03\x02\x0A\x08リュール\nSie wird Sombron sagen, dass wir hier sind!\nWir müssen uns beeilen!\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nBruder... Ich bringe es nicht fertig, dich zu\nverletzen. Und doch stehst du uns im Weg.\x0E\x04\x02\x00
MID_OP3_#036_F	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nSchwester... Ich bringe es nicht fertig, dich zu\nverletzen. Und doch stehst du uns im Weg.\x0E\x04\x02\x00
MID_OP3_#037	Was machen wir bloß? Wir müssen das Siegel\nbrechen, aber...\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x14\x12M024_リュール\nDas ist also dein Ziel? Das Siegel brechen?\x0E\x04\x00\x00
MID_OP3_#039	\x0E\x03\x02\x0A\x08リュール\nWas, wenn ja? Lässt du uns dann durch?\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x02\x14\x12M024_リュール\nNein, das wäre dumm. Ohne eure Ringe kann\nich nicht zurück nach Hause.\x0E\x04\x02\x00
MID_OP3_#041	Wir werden kämpfen. Wenn ich gewinne, nehme\nich mir eure Ringe.\x0E\x04\x02\x00
MID_OP3_#042	Gewinnt ihr, brecht ihr das Siegel. Ganz einfach.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x0A\x08リュール\nDann ist ein Kampf an dieser Stelle\nunvermeidlich.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x14\x12M024_リュール\n\x0E\x0A\x00\x1E\x0EFremder\x0CFremde mit meinem Gesicht. Ich bin bereit\nfür den Kampf.\x0E\x04\x02\x00
MID_OP3_#045	Deine Gegner sind ich... und dieses Emblem.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x00\x18\x12M024_敵マルス\x023\n\x0E\x03\x02\x14\x12M024_敵マルス\n...\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x0A\x08リュール\nMarth?!\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x00\x18\x12M024_リュール\x023\n\x0E\x03\x02\x14\x12M024_リュール\nDies ist mein Emblem. Nun zeig mir deines.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x0A\x08リュール\n\x0E\x0A\x00\x0E\x04Er\x06Sie wird mir nie glauben, dass ich selbst ein\nEmblem bin...\x0E\x04\x02\x00
MID_OP3_#050	Das behalte ich wohl besser für mich. Also\ndann... Marth!\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0C\x06マルス\x024\n\x0E\x03\x02\x08\x06マルス\nHier!\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x14\x12M024_リュール\nDu hast auch einen Marth?\x0E\x04\x02\x00
MID_OP3_#053	Eigentlich dürfte es doch jeden Ring nur einmal\ngeben. Es wird immer interessanter.\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x0A\x08リュール\nMacht Euch bereit! Wir müssen dieses Siegel\nzerstören. Um jeden Preis!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01"\x12M024_リュール\x0CStatus\n\x0E\x03\x02\x14\x12M024_リュール\nIch erzeuge Lawinen. Selbst dann, wenn sie von\nsich aus nicht losgebrochen wären. Ich mache\neinfach nur... das hier.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nWir wurden zurückgedrängt!\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01"\x12M024_リュール\x0CStatus\n\x0E\x03\x02\x14\x12M024_リュール\nDas hat funktioniert. Und was funktioniert,\ndamit mache ich weiter.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nWir müssen es zum Siegel schaffen, aber unter\ndiesen Umständen bleibt uns nichts anderes\nübrig, als unser Tempo zu drosseln.\x0E\x04\x02\x00
MID_EV3_#002	\x0E\x05\x01\x18\x08リュール\x0CStrike\nWenn in Eurer Nähe eine Lawine losbricht,\ngeht in Deckung und wartet, bis Ihr sicher\nweitergehen könnt!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01 \x12M024_リュール\nAngry\n\x0E\x03\x02\x14\x12M024_リュール\nSo weit hast du es schon geschafft? Du bist\nstark. Du solltest auf meiner Seite sein.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01$\x12M024_リュール\x0EStandBy\n\x0E\x03\x02\x14\x12M024_リュール\nIch spüre, dass du mich anstarrst. So gewinnst\ndu nie. Oder hast du vielleicht Angst?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x12\x08リュール\x06Sad\n\x0E\x03\x02\x0A\x08リュール\nJa, habe ich. Ich hatte schon von Anfang an\nAngst. Das ist ganz natürlich.\x0E\x04\x02\x00
MID_BT2_#003	Angst davor, etwas zu verlieren – Schlachten.\nDinge, die mir wichtig sind. Freunde, die mir\nam Herzen liegen.\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x14\x12M024_リュール\nIch gebe zu... Ich beneide dich.\x0E\x04\x02\x00
MID_BT2_#005	\x0E\x05\x01 \x12M024_リュール\nAngry\nDu hast mein Gesicht, aber du kannst laut\naussprechen... was du fühlst.\x0E\x04\x02\x00
MID_BT2_#006	Ich darf keine Angst zeigen.\x0E\x04\x02\x00
MID_BT2_#007	\x0E\x05\x01\x1C\x12M024_リュール\x06Die\n\x0E\x05\x01\x12\x08リュール\x06Sad\nSobald ich sage, dass ich mich fürchte, gelte\nich als Fehlgriff.\x0E\x04\x02\x00
MID_BT2_#008	\x0E\x05\x01"\x12M024_リュール\x0CStatus\nIch folge Befehlen. Ich denke nicht nach.\nIch bin wie die Verzerrten. Sie sind furchtbar.\x0E\x04\x00\x00
MID_BT2_#009	\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nDu magst die Verzerrten also auch nicht?\x0E\x04\x00\x00
MID_BT2_#010	\x0E\x05\x01 \x12M024_リュール\nAngry\n\x0E\x03\x02\x14\x12M024_リュール\nIch hasse sie. Sie haben viele meiner\nSchwestern und Brüder getötet.\x0E\x04\x02\x00
MID_BT2_#011	\x0E\x05\x01$\x12M024_リュール\x0ESerious\nWenn ich gegen dich verliere, bringen sie mich\nauch um. Nein... Nein, irgendwann bringen sie\nmich sowieso um. Egal, was passiert.\x0E\x04\x00\x00
MID_BT2_#012	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_BT2_#013	\x0E\x05\x01\x16\x08リュール\nRelax\nAber... du stirbst nicht. Dafür bin ich doch der\nlebende Beweis.\x0E\x04\x00\x00
MID_BT2_#014	\x0E\x05\x01$\x12M024_リュール\x0EStandBy\n\x0E\x03\x02\x14\x12M024_リュール\nWas hast du gesagt? Egal. Bringen wir es zu\nEnde. Greif mich an, oder ich greife dich an.\x0E\x04\x02\x00
MID_BT2_#015	Dich anzusehen ist, als würde man in einen\nSpiegel sehen. Und was ich sehe... gefällt mir\nnicht.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01&\x12M024_リュール\x10Surprise\n\x0E\x03\x02\x14\x12M024_リュール\nVeyle? Bist du das?\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x1C\x08ヴェイル\x10Surprise\n\x0E\x03\x02\x0A\x08ヴェイル\nWas?!\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01$\x12M024_リュール\x0EStandBy\n\x0E\x03\x02\x14\x12M024_リュール\nNein... Veyle ist jünger, als du es bist.\x0E\x04\x02\x00
MID_BT3_#004	Vergiss, was ich gesagt habe.\x0E\x04\x00\x00
MID_BT3_#005	\x0E\x05\x01\x12\x08ヴェイル\x06Sad\n\x0E\x03\x02\x0A\x08ヴェイル\nBist du... mit Veyle verwandt?\x0E\x04\x00\x00
MID_BT3_#006	\x0E\x05\x01"\x12M024_リュール\x0CStatus\n\x0E\x03\x02\x14\x12M024_リュール\nSie ist die jüngste von uns. Meine kleinste\nSchwester.\x0E\x04\x02\x00
MID_BT3_#007	Ich hatte viele Schwestern und viele Brüder.\nDie meisten von ihnen wurden umgebracht.\nAuf furchterregende Weise.\x0E\x04\x02\x00
MID_BT3_#008	\x0E\x05\x01$\x12M024_リュール\x0ESerious\nWird Vater auch Veyle entsorgen? Wenn ich\ndarüber nachdenke, werde ich traurig.\x0E\x04\x02\x00
MID_BT3_#009	Ich würde gerne bei meiner Schwester bleiben.\nFür immer. Als Verbündet\x0E\x0A\x00\x0A\x04er\x02e. Als \x0E\x0A\x00 \x0CFreund\x10Freundin.\x0E\x04\x00\x00
MID_BT3_#010	\x0E\x03\x02\x0A\x08ヴェイル\nSo wichtig ist sie dir also.\x0E\x04\x00\x00
MID_BT3_#011	\x0E\x05\x01"\x12M024_リュール\x0CStatus\n\x0E\x03\x02\x14\x12M024_リュール\nDu siehst ihr zu ähnlich. Du irritierst mich.\x0E\x04\x02\x00
MID_BT3_#012	Dich schalte ich aus. Wer auch immer du sein\nmagst, du bist nicht meine kleine Schwester.\x0E\x04\x00\x00
MID_BT3_#013	\x0E\x05\x01\x18\x08ヴェイル\x0CStrike\n\x0E\x03\x02\x0A\x08ヴェイル\nDu hast recht. Ich bin nicht deine kleine\nSchwester. Aber ich bin trotzdem froh, dass\nich hören durfte, was du gesagt hast.\x0E\x04\x02\x00
MID_BT3_#014	\x0E\x05\x01\x16\x08ヴェイル\nSmile\nIch danke dir, Bruder.\x0E\x04\x00\x00
MID_BT3_#014_F	\x0E\x05\x01\x16\x08ヴェイル\nSmile\nIch danke dir, Schwester.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M024_リュール\x02b\n\x0E\x05\x01$\x12M024_リュール\x0ESerious\n\x0E\x03\x02\x14\x12M024_リュール\nOh nein... Jetzt wird Vater... auch mich\nentsorgen.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08リュール\nGut. Wir haben das Drachensiegel zerstört.\nIch hoffe nur, dass mein altes Ich wieder auf\ndie Beine kommt.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08ヴェイル\nWir konnten \x0E\x0A\x00\x16\nseine\x08ihre Wunden größtenteils heilen.\nDein altes Ich wird bald wieder aufwachen.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nDann bin ich erleichtert.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08ヴェイル\nAber dein altes Ich hat uns gesehen. Hier, in\nder Vergangenheit. Glaubst du, dass das... zu\nProblemen führen könnte?\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nIch denke nicht, nein. Irgendwann werde ich\ndas ohnehin alles vergessen haben.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh. Stimmt!\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nSieht aus, als hätten wir es gerade noch\nrechtzeitig geschafft.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist dann wohl der Abschied von der\nVergangenheit. Das Land um uns herum\nverändert sich...\x0E\x04\x02\x00
MID_ED1_#009	Jetzt werden wir Zephia wirklich nie wieder\nsehen.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nIhrer Hilfe haben wir es zu verdanken, dass wir\nweiterkämpfen können. Und das werden wir.\x0E\x04\x02\x00
MID_ED1_#011	Sie hat sich geopfert, um uns hierherzubringen.\nJetzt müssen wir weiterziehen und Sombron\naufhalten.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08ヴェイル\nJa.\x0E\x04\x00\x00
