MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06カゲツ\nAh... Der Hunger schlägt zu. Die Zeit ist reif\nfür ein Onigiri.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nIndem ich mir starke Gegner im Kampf aus-\nsuchte, habe ich meinen Horizont erweitert.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nSchloss Elusia... Dort hatte ich meine erste\nBegegnung mit der wahren Niederlage. Und\nda wurde es mir klar.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nDiejenigen, gegen die ich gekämpft hatte, waren\nsehr stark. Aber es würden noch weitere starke\nGegner auf mich warten.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nHm. Unsere Lage scheint ähnlich zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nDu möchtest der beste Kämpfer der Welt\nwerden, so wie ich der beste Koch der Welt\nwerden will.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nIch hatte das Glück, dass Prinzessin Ivy mich\nzu ihrem Getreuen machte. Diese Position lehrt\nmich vieles.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nIch kann nun erkennen, dass es ist nicht nötig\nist, auf jeden starken Gegner, den es in der Welt\ngibt, zu treffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nIch kann nicht erwarten, alles zu wissen. Aber\nich kann mich darauf konzentrieren, meine\neigenen Fähigkeiten zu perfektionieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nWie weise. Ich frage mich, ob ich jemals deine\nannehmende Einstellung übernehmen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nBunet, ich habe mich entschlossen. Ich werde\ndir auf deinem Weg zum Meister helfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nWenn du möchtest, dann werde ich dir alles,\nwas ich über die Küche meines Landes weiß,\nerzählen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nDie Weiße Wüste ist isoliert von anderen\nGegenden, daher gibt es keinen anderen Weg\nfür dich, zu lernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nDas klingt wundervoll, aber... du hast doch\ngesagt, du seist mit deinen Pflichten als\nGetreuer beschäftigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nAber du und ich, wir sind Freunde. Und für\nFreunde habe ich immer Zeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nDanke, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nIch werde es mit Onigiri wiedergutmachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nUnd dieses Mal mit richtigen. Mit gesalzenem\nFisch und Seetang.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nJa, aber bitte auch welche mit Datteln. Die\nwaren auch köstlich!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nHahaha, wie du wünschst. Bereite dich auf\neinen Gaumenschmaus vor.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x06\x04ボネ\nIch freue mich schon, mehr über deine Kultur\nzu erfahren.\x0E\x04\x00\x00
