MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08アイビー\nEntschuldigung, Mauvier?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nJeder Anhänger des Dämonendrachen, den ich\nkannte, war ein vergifteter Lügner und\nRänkeschmied.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nSo entschloss ich mich zu rebellieren und betete\n\x0E\x0A\x008\x18zum Wyrmgott\x1Czur Wyrmgöttin. Heimlich natürlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nIhr hattet einen bemerkenswerten Mut für eine\njunge Prinzessin.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nRückblickend mag das vielleicht so sein...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nDu bist auch aus Elusia, nicht wahr? Huldigst\ndu dem Dämonendrachen?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nIch wurde in Firene geboren.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nMein Vater erlag einer schweren Krankheit, als\nich noch klein war. Danach wanderten meine\nMutter und ich nach Elusia aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nMutters Gebete an die Wyrmgöttin konnten\nVater nicht retten. So wandten wir uns einer\nanderen Gottheit zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nAh.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nUnd wie geht es deiner Mutter heute?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nMeine Mutter starb kurz nachdem wir unser\nneues Leben in Elusia begonnen hatten.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nIch wuchs in der Kirche von Elusia auf,\nzusammen mit den anderen Waisen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nOh, das wusste ich nicht. Das tut mir so leid.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\nIch habe nichts zu verbergen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nIch wurde von Gläubigen des Dämonendrachen\nunterrichtet, aber ich kann nicht behaupten, je\nselbst fest im Glauben gestanden zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nWie meine Mutter erkannte auch ich, dass meine\nGottheit weder an mir noch an meinem Wunsch\nnach Frieden interessiert war.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nIch verstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nDu warst also von Gefolgsleuten des\nDämonendrachen umgeben, ohne ihm selbst\nzu folgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nDas habe ich noch nie jemandem verraten, doch\nja. Ich schätze, in dieser Hinsicht sind wir uns\nähnlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nHmm, durchaus. Ich frage mich, was wir noch\ngemeinsam haben mögen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nEs ist schon seltsam.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nEs läuft immer darauf hinaus, dass ich Euch von\nmeiner Vergangenheit erzähle. Das mache ich\nnormalerweise nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nMir geht es genauso. Aus irgendeinem Grund\nverrate auch ich Euch alle meine Geheimnisse.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nEs scheint, dass das ein Problem für uns beide\ndarstellt.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nIn der Tat.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nIch fürchte, je näher wir uns kommen, desto\nwahrscheinlicher entblöße ich Euch gegenüber\neine Schwäche.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nOder kann es sein, dass jeder von uns darauf\nhofft, dass dem anderen ein solcher Fehler\nunterläuft?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nWir sind uns tatsächlich recht ähnlich...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nPrinzessin Ivy. Ihr mögt Euch erinnern...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nIch strebe danach, als Verbündeter akzeptiert\nzu werden. Von allen. Dies ist mein Ziel, und\nihm folge ich in jeder Sekunde.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nIch erinnere mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nMit dieser Denkweise mag ich falsch gelegen\nhaben.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nWas meint Ihr damit?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nWürde ich von einer Person akzeptiert, wäre ich\nbereits glücklich. Alle anderen Meinungen\nwären damit unwichtig.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nDie Akzeptanz dieser einen Person würde mir\nden Platz verschaffen, an den ich gehöre.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nWenn Ihr also willens wärt, mich zu akzeptieren,\ndann...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nDann wüsste ich, dass dies der Platz ist, an den\nich gehöre.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nDas ist eine wunderschöne Perspektive.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nDaher lasst uns kämpfen, um diesen Platz zu\nbeschützen, an den wir gehören. Zusammen!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nJa.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nUnd sollen wir damit fortfahren, einander\nunsere tiefsten Geheimnisse zu offenbaren?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nWelche Geheimnisse auch immer Ihr offenbaren\nmögt – ich stehe bereit, sie zu behüten,\nPrinzessin Ivy.\x0E\x04\x00\x00
