MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nWie auch immer, jetzt kann's losgehen! Das\nmuss ich noch viel öfter in Aktion sehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nIhr solltet erst noch etwas Wasser trinken.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas? Wieso?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nWeil es gerade an einem warmen Tag wie heute\nwichtig ist, viel zu trinken.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, sicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nAugenblick mal!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch bin schon WIEDER deiner mütterlichen\nAura verfallen! Chloé, du verfügst über\nfurchterregende Kräfte...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nOh! Chloé...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nHallo, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nJa, hallo. Öh, man sieht sich dann später...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nVerzeihung, nur eine Kleinigkeit...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nBilde ich mir das bloß ein oder geht Ihr mir aus\ndem Weg?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas war wohl zu offensichtlich...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\nHabe ich Euch irgendwie gekränkt? Ich wüsste\ngerne, was ich getan habe, dass Ihr mich nun\nmeidet.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nWenn ich in deiner Nähe bin, muss ich ständig\ndaran denken... was ich alles nicht besitze.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nDu weißt schon, deine Reife und mütterliche\nAura und all das.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nIch wollte nicht mehr weiter darüber\nnachdenken, also... habe ich mich einfach von\ndir ferngehalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nHmm, so ist das also. Danke, dass Ihr es mir\nerklärt habt.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nTrotzdem würde ich gerne besser mit Euch\nbefreundet sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nWas? Echt?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nIhr müsst einfach lernen, dass jeder auf der Welt\nanders ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nIch weiß, Ihr wünscht Euch, Ihr hättet meine\n„mütterliche Aura“.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nAber es gibt auch vieles, was Ihr an Euch habt,\nwas ich an mir vermisse.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nIch beginne schon, darüber nachzudenken,\nwie gerne ich einige Eurer besonderen Reize\nhätte, Prinzessin Hortensia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh... Chloé...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cオルテンシア\nDas macht mich so glücklich!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nEs tut mir so leid. Ich werde damit aufhören,\ndir aus dem Weg zu gehen, versprochen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nWir sollten stattdessen viel mehr Zeit als bisher\nmiteinander verbringen! Es gibt so vieles, was\nwir voneinander lernen können!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クロエ\nDas wäre großartig! Ihr könnt mir beibringen,\nwie Ihr es schafft, so niedlich zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nGenau! Und wenn ich mir erst mal alles von dir\nabgeguckt habe, bin ich nicht mehr aufzuhalten!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nHahaha. Ich bin mir sicher, das würdet Ihr im Nu\nschaffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06クロエ\nAber erst einmal muss ich darauf bestehen,\nEuch die Nase zu putzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh, danke!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nWarte mal, meine Nase läuft?!\x0E\x04\x00\x00
