MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDies ist also Solm. Es ist sehr... sandig.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x02\x0C\nフォガート\nIch spreche mit den Wachen. Was sonst?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHat er auch eine Audienz bei der Königin?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nKeine Ahnung. Vielleicht ist er wegen\nirgendeiner Wächtersache hier.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, warte auf uns.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x02\x0C\nフォガート\nHey! Ich bin wieder zu Hause!\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nZu Hause...?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x1A\x14ソルム兵士_モンク1\x023\n\x0E\x03\x00 \x1Aソルム兵士_ソードナイト3\x024\n\x0E\x03\x02\x16\x14ソルム兵士_モンク1\nWillkommen zurück, Prinz Fogado.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x1C\x1Aソルム兵士_ソードナイト3\nIch öffne umgehend das Tor.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0C\nフォガート\nJa, möge sich das Tor... öffnen!\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x01\x16\x14ソルム兵士_モンク1\n\x0E\x03\x01\x1C\x1Aソルム兵士_ソードナイト3\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0A\x08アイビー\nPrinz? Hat die Wache eben Prinz gesagt?\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs sei denn, wir haben uns beide verhört...\nauf genau dieselbe Weise...\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x02\x0C\nフォガート\nDanke fürs Warten, Leute.\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, wir sind etwas verwirrt... Seid Ihr der\nPrinz von Solm?\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x02\x0C\nフォガート\nHatte ich das nicht erwähnt?\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nÄh... nein, habt Ihr nicht.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x0C\nフォガート\nHups! Ist das aber peinlich. Ja, dann machen\nwir das doch mal anständig.\x0E\x04\x02\x00
MID_ED2_#022	Ich bin Fogado – Anführer der Wächter und\nPrinz von Solm. Willkommen im Palast meiner\nFamilie.\x0E\x04\x02\x00
MID_ED2_#023	Kommt herein. Ihr wolltet Mama treffen, nicht\nwahr?\x0E\x04\x02\x00
MID_ED2_#024	Mama! Besucher!\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x02\x0A\x08リュール\nWas geschieht da gerade?\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x02\x0A\x08アイビー\nIch hatte keine Ahnung, dass er zur königlichen\nFamilie gehört.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEin Prinz, der persönlich auf Patrouille geht.\nDas sieht man nicht jeden Tag.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nIch frage mich, warum wir ihn nicht früher\ngetroffen haben. Er wirkt nicht krank, und\nganz sicher nicht schüchtern.\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x0A\x08リュール\nEs bleibt ein Geheimnis. Jedenfalls lasst uns\nerst mal hineingehen.\x0E\x04\x02\x00
MID_ED2_#030	Wir wollen Prinz Fogado nicht warten lassen.\x0E\x04\x02\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x00\x1E\x18ヴェイル_フード_顔出し\x021\n\x0E\x03\x02\x08\x06マルス\n...\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x1A\x18ヴェイル_フード_顔出し\nHihihi...\x0E\x04\x02\x00
MID_ED3_#003	Geraubt. Am Boden zerstört. Den Freunden\nentrissen. Wie köstlich.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x02\x08\x06セピア\nLady Veyle.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x1A\x18ヴェイル_フード_顔出し\nZephia, sprich. Was haben die Truppen \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin vor?\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x08\x06セピア\nSie haben das Schattenmoor passiert. Es\nscheint, sie sind in Solm eingetroffen.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x1A\x18ヴェイル_フード_顔出し\nSie sind also nicht nach Brodia zurückgekehrt,\nsondern sammeln weitere Ringe. Gut.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x01\x08\x06セピア\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x02\x08\x06マロン\nKönnen wir sie verfolgen, Lady Veyle?\nMich dürstet nach einer Revanche!\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x1A\x18ヴェイル_フード_顔出し\nGeduld, Marni.\x0E\x04\x02\x00
MID_ED3_#010	Wenn wir abwarten, können wir den solmer\nRing zusammen mit allen anderen von ihnen\nstehlen.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x08\x06マロン\nScharfsinnig. Dann werde ich brav warten.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x1A\x18ヴェイル_フード_顔出し\nDu bist ein Schatz, Marni.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\nDas ist sie, nicht wahr? Der Stolz der Vier\nBluthunde.\x0E\x04\x00\x00
