MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nFogado, ich wollte Euch und den Wächtern für\ndie harte Arbeit heute danken.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nSorge, Angst, Erschöpfung – all das kann höchst\nansteckend sein, müsst Ihr wissen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nDeshalb auch meine unermüdliche gute Laune.\nEs ist meine Aufgabe, durch meine positive Art\nbei allen für etwas mehr Optimismus zu sorgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nHm. Wie es scheint, habe ich Euch wohl\nfalsch eingeschätzt. Bitte verzeiht mir.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nIch werde, wie von Euch gewünscht, meine\n„Klappe“ halten.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nHabt Dank, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Das rechne ich Euch\nhoch an.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nIhr seid wirklich immer für eine Überraschung\ngut, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nSieh an, sieh an. Da trainiert aber jemand\nwieder fleißig.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, was macht Ihr denn hier?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nIch dachte, Ihr wolltet die Sache mit dem\nTraining vergessen. Wieso seid Ihr also\nzurückgekommen?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nVerzeiht mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nIhr trainiert die ganze Zeit so hart und im\nGeheimen... da dachte ich, Ihr würdet Euch\nvielleicht über etwas Gesellschaft freuen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nHahaha! \x0E\x0A\x008\x1ADer Göttliche\x1ADie Göttliche macht sich Sorgen\num mich? Wie komme ich zu der Ehre?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nFogado, ich würde Euch gerne eine Freude\nbereiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nHm? Ich weiß diese Geste sehr zu schätzen,\naber... Na ja, da ich eigentlich ein Prinz bin,\ngibt's nicht viel, das ich noch brauchen könnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nWie wäre es mit dem Abendessen, das Ihr\nneulich erwähntet? Lasst uns gemeinsam\nessen und uns besser kennenlernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nIhr wollt zu Abend essen? Und, äh, das\ngemeinsam mit mir?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nDas möchte ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nIch kann nicht behaupten, dass das nicht\nverlockend klänge – ein Abendessen mit einem\nDrachen! Aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nDas geht gerade nicht. Tut mir leid!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nIhr lehnt ab? Autsch...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nNein, nein! Es ist nur... Ein Abendessen mit Euch\nwäre die ultimative Belohnung, und die muss ich\nmir erst noch verdienen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nDiese Karotte soll lieber noch ein Weilchen\nvor meiner Nase baumeln. Dann hab ich was,\nauf das ich hinarbeiten kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nIch verstehe. Hoffentlich wird es Euren\nErwartungen dann auch gerecht. Gebt mir\neinfach Bescheid, wenn Ihr bereit seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nIch danke Euch. Also gut, dann werde ich hier\nmal weitermachen...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\n...und für die unterhaltsamsten Neckereien in\nganz Solm sorgen. Für die Wächter – und auch\nfür mein Volk!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0A\x08リュール\nDas Essen war unglaublich, Fogado.\nUnd die Wahl des Restaurants war ebenfalls\nausgezeichnet.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nフォガート\nGenau so hatte ich mir ein Abendessen mit\n\x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin vorgestellt. Da hat sich das\nWarten wirklich gelohnt.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nBei all dem, was um uns herum geschieht,\nfreut es mich umso mehr, dass es mit unserem\ngemeinsamen Abendessen geklappt hat.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nフォガート\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nフォガート\nEs gibt da noch etwas, von dem ich mir\nwünschen würde, dass es klappt.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nAch ja? Handelt es sich dabei vielleicht um\neinen geheimen Wunsch, der Euch so richtig\nschön peinlich ist?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nフォガート\nNein, nein, nichts dergleichen.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nフォガート\nOder eigentlich schon... Tja, also mein Wunsch...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nフォガート\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich wünsche mir, wir zwei könnten\nVerbündete sein... Im Sinne von, für immer.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nAch ja?! Tja, nun...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nフォガート\nGanz ohne Flachs! Ich meine das ernst.\nNie zuvor habe ich für ein Abendessen\nderart geschuftet!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nIch wusste nicht, dass Euch so viel daran liegt.\nWirklich nicht.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nフォガート\nIch wollte es Euch auch eigentlich gar nicht\nerzählen, sondern für immer geheim halten.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nGeheimnisse scheinen wirklich eines Eurer\nSteckenpferde zu sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nWelche Geheimnisse habt Ihr denn sonst noch\nso parat? Wer weiß, wen Ihr noch alles gebeten\nhabt, \x0E\x0A\x00B Euer Verbündeter\x1EEure Verbündete auf Lebzeit zu werden.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nフォガート\nDas würde ich nie tun! Ich suche mir meine\nVertrauten gut aus. Ihr seid \x0E\x0A\x00\x10\x06der\x06die Einzige, \x0E\x0A\x00\x10\x06den\x06die ich\ndas jemals gefragt habe.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nHahaha! War nur Spaß. Ich wollte Euch bloß ein\nbisschen aufziehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nIch weiß, dass in diesem unbekümmerten\nFrechdachs noch viel mehr steckt. Ihr seid\nnämlich auch zuverlässig und aufrichtig.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nDeshalb möchte ich Euch das hier schenken.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nフォガート\nDen Paktring? Aber \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, das bedeutet ja...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDas bedeutet, dass ich Euch Euren geheimen\nWunsch erfüllen kann. Wenn Ihr möchtet, dass\nwir für immer Verbündete sind, soll es so sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nScheint, als hätte ich ebenfalls eine Schwäche\nfür Geheimnisse, denn ehrlich gesagt habe auch\nich schon länger darüber nachgedacht, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nフォガート\nWirklich? Ihr glaubt gar nicht, wie geehrt und\nglücklich ich mich fühle!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nFein. Und nur damit Ihr es wisst, ich finde den\nechten Fogado toll. In meiner Gegenwart könnt\nIhr ruhig ganz Ihr selbst sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nフォガート\nIch danke Euch, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nフォガート\nIch verspreche Euch, dieser unbekümmerte\nFrechdachs wird Euch auf ewig ein aufrichtiger\nund zuverlässiger Verbündeter sein.\x0E\x04\x00\x00
