MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x06\x04ルイ\nHallo, Saphir. Dürfte ich Euch auf eine Tasse\nTee einladen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nIch muss schon sagen, Louis...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nIch hätte nicht gedacht, dass eine Tasse Tee\nmeinen Nerven dermaßen guttun würde. Und\ndoch ist es so.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nEs freut mich, das zu vernehmen. Es wäre mir\nein Vergnügen, Euch Tee zuzubereiten, wann\nimmer Ihr wünscht.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nDas weiß ich zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nKonntet Ihr wieder keinen Schlaf finden?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nJa. Ich habe immer denselben Albtraum.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nDarin erlebe ich stets aufs Neue, wie meine\nEltern und meine beste Freundin... vor meinen\nAugen getötet wurden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nザフィーア\nSoldaten aus Elusia griffen das Fischerdorf an,\nin dem ich aufwuchs. Ich war damals noch ein\nKind.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nDas alles liegt jetzt schon Jahrzehnte zurück,\ndoch ich kann es immer noch vor mir sehen,\nals wäre es erst gestern geschehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nIch habe stets gehofft, es würde sich legen,\nwenn ich älter werde. Oder mir leichterfallen,\nwenn ich stärker werde.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nDoch nichts dergleichen ist geschehen. Ich\nbefürchte allmählich, ich werde mich auf ewig\nmit dieser Erinnerung herumschlagen müssen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nIhr habt mein Mitgefühl. Das muss schwer für\nEuch sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nNett von dir, das zu sagen, wenn man bedenkt,\nwas für ein unangenehmes Thema ich während\ndeiner Teestunde angeschnitten habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nNicht doch, Saphir. Sprecht ruhig mit mir über\nalles, was Ihr wollt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nLeider kann ich im Gegenzug nur zuhören und\nEuch weiteren Tee eingießen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nDas genügt mir vollkommen. Danke, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nOh-ho.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nザフィーア\nDieser Tee weckt Erinnerungen. Irgendetwas an\nseinem Geschmack und Geruch fühlt sich... so\nvertraut an.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nDas liegt daran, dass ich nachgeforscht habe,\nwelche Teesorten in der Nähe Eurer Heimat\nbeliebt waren.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nSo ist das also. Aber wieso hast du dir die\nMühe gemacht?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nIst schließlich nicht so, als wäre dieser Tee\nirgendwie besonders, verglichen mit dem, den\ndu in Firene bekommen kannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nIhr tragt die Last schmerzvoller Erinnerungen\nmit Euch herum, die niemals verblassen, obwohl\nIhr Euch nichts sehnlicher wünscht.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nIch habe Euch immer wieder mit diesen\nErinnerungen ringen sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nNun, ich kann sie natürlich nicht für Euch\nvertreiben. Derartige Macht besitze ich nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nIch vermute, das kann niemand.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nDoch kam mir dieser Tage ein Gedanke...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nSchmerzvolle Erinnerungen sind nicht die\neinzigen Erinnerungen, die hartnäckig sein\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nIch verstehe, worauf du hinauswillst. Und da\nkönnte etwas dran sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\nGleich beim ersten Schluck von diesem Tee\nkamen allerlei Erinnerungen zurück.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nEin Feld, durch das meine Freundin und ich\ngelaufen sind. Die Bäume, unter denen wir\nsaßen und über unsere Träume sprachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nIch sehe meinen Vater wieder vor mir, wie er\nzum Fischen aufbricht. Das Gesicht meiner\nMutter, die kocht. Wir drei am Esstisch...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nEs sind fröhliche Erinnerungen, die ich beinahe\nvergessen hatte, aber... sie waren immer da,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nSo ist es.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nVielleicht werde ich heute Nacht ja davon\nträumen. Falls ja, so habe ich das dir zu\nverdanken.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nEs freut mich, wenn ich Euch helfen konnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nDa ist noch etwas, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\nDiese fröhlichen Erinnerungen, die du und ich\ngemeinsam geschaffen haben, werde ich auch\nnie vergessen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nIch bin mir sicher, meine Erinnerungen an Euch\nwerden ebenfalls ewig währen, Saphir.\x0E\x04\x00\x00
