MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLouis! Belauerst du etwa schon wieder\nirgendwelche Leute?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nIn der Tat.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nIch nehme deine Einladung mit Freuden an,\nPandreo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nErgründen wir beide alle Tiefen der\nmännlichen Freundschaft.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nBei dir klingt immer gleich alles total komisch,\nweißt du das?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nWas soll's. Hauptsache, du bist dabei! Du\nsolltest allerdings wissen, dass ich beim Feiern\nkeine halben Sachen mache.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nWir werden es krachen lassen, bis uns die\nMorgensonne ins schlaflose Gesicht strahlt!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nDu gibst den Takt vor und ich folge, Pandreo!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAu, au... Oooh, tut das weh...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nHahaha, wir haben es wohl etwas übertrieben\nmit der Feier letzte Nacht, findest du nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nAllerdings. Nach dem heftigen Gelage brummt\nmir nicht nur der Schädel... Nein, mir tut einfach\nALLES weh.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nDessen ungeachtet, es hat mir Spaß gemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nSo eine gelegentliche Feier unter Männern\nerscheint mir gar nicht so verkehrt.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nFreut mich, das zu hören! Das macht mir die\nSchmerzen von Kopf bis Fuß glatt etwas\nerträglicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nIch muss jedoch feststellen, dass ausgelassene\nFeierlichkeiten zu einem enormen Appetit\nführen können. Magst du Trauben, Pandreo?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nKlar mag ich die.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nDann erlaube mir, etwas Gebäck zu besorgen,\ndas mit Trauben aus meiner Heimatstadt\ngefüllt ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nOooh, eine Delikatesse aus deiner Heimat also?\nImmer her damit! Ich nehm alles, was du hast!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nAlles?! Wie du magst... doch ich muss dich\nermahnen, dass zu viel Konsum schlimme\nFolgen haben könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nIch hatte jetzt nicht vor, alles allein zu essen...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nIch dachte eher daran, auch ein bisschen für\nmeine Schäflein übrigzulassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nOh? Ich wusste gar nicht, dass du Schafe hältst.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nMeine Gemeinde! Die Leute versammeln sich\ngerne in meiner Kirche und beten, da ich ihnen\nso eine lockere Atmosphäre biete, verstehst du?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nUnd ich wette, ein Teller voller Gebäck bringt\nmir noch mehr Leute ins Haus.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nAußerdem befindet sich ein Händler in meiner\nGemeinde. Wer weiß, vielleicht nimmt er ja die\nTrauben aus deiner Heimat ins Sortiment auf?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nAh! Wie aufmerksam von dir.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nDu suchst stets neue Möglichkeiten, um deine\nGemeinde zu unterstützen, habe ich recht?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パンドロ\nHahaha! Genau das ist ja auch mein Beruf!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パンドロ\nZugegeben, ich benehme mich nicht immer so,\naber ich bin und bleibe ein Geistlicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nHahaha, wenn ich je Zweifel dahingehend\nbesaß, so wurden sie beseitigt.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パンドロ\nNur... Arbeit hin oder her, mit dem Feiern werde\nich niemals aufhören! Du bist hoffentlich noch\nöfter dafür zu haben, Louis?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nSelbstverständlich. Ich werde dir jederzeit\nwieder zur Verfügung stehen, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x02\x06\x04ルイ\nÄhem...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nTut mir leid, Louis. Hab dich gar nicht bemerkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nWenn ich bete, vergesse ich schnell alles um\nmich herum.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nKeine Sorge. Nichts lag mir ferner, als dich\ndabei zu unterbrechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nWas wolltest du denn von mir?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nWenn du wieder neue Orte suchst, um andere\nzu... „betrachten“, da hab ich dir schon alle\ngenannt, die ich kenne.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nNein... Heute geht es mir um etwas anderes.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nIch wollte dich darum bitten, ein Gebet für\nmeine Mutter zu sprechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nHm. Entschuldige, wenn mich mein\nGedächtnis da trügt, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nIch dachte, deine Mutter wäre bereits\nverstorben?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nDas ist korrekt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nIch war sehr jung damals, und es traf mich so\nsehr, dass ich all meine Kraft dafür brauchte,\nes von einem Tag zum nächsten zu schaffen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nEs ist beschämend zuzugeben, dass es daher\nso lange dauerte, bis mir endlich etwas bewusst\nwurde...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nUnd zwar habe ich in all dem Tumult meiner\nMutter noch kein einziges Mal ein\nAbschiedsgebet gewidmet...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nVerstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nMeine Familie ist nie sehr religiös gewesen,\nmusst du wissen. Nimm es bitte nicht\npersönlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nOh, keine Sorge. Ist doch egal, wie religiös ihr\nwart – du wünschst dir, dass sie in Frieden ruht,\nund das ist respektabel.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nIch bin mir sicher, dass deine Gefühle bis zu\nden Himmeln durchdringen und sie erreichen\nwerden.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nIch danke dir, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パンドロ\nNur... bist du dir sicher, dass ICH der Richtige\ndafür bin?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nKlar, ich bin ein Geistlicher, aber nicht gerade\neiner der gewöhnlichen Sorte.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nMeinst du nicht, dass es andere gibt, die besser\ngeeignet wären?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nNein. Ich habe mich bewusst für dich\nentschieden.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nDie Aufgabe, eine Gedenkfeier für meine Mutter\nabzuhalten, möchte ich ausschließlich in die\nHände eines treuen Freundes legen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nAlles klar. In dem Fall helfe ich dir natürlich\ngerne, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パンドロ\nBeten wir zusammen, ja?\nMögen die Himmel uns erhören...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ルイ\nMutter, möge deine Seele Frieden finden.\x0E\x04\x00\x00
