MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nWah! Griss...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nHach.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Er ist immer so nett. Und doch – obwohl ich\nweiß, dass er nicht Griss ist – bin ich immer\nnoch nervös in seiner Nähe.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nHm? Was ist denn? Ist es Euch unangenehm,\nallein zu essen?\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Also gut. Dann werde ich auch etwas essen.\nDieses leuchtend rote Brot sieht doch gut aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nVorsicht! Das sieht aus, als sei es extrem scharf.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\n*kau* *schluck*... Hm, nicht so scharf, wie ich\nzuerst dachte! Oh, Moment... Oh nein. Kommt\ndie Schärfe etwa verzögert?\x0E\x04\x02\x00
MID_RELIANCE_B_#013	AAAAAH!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh nein! Ich hole dir etwas Wasser!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\n*hust* Mir geht es gut. Wirklich! *röchel* Macht\nEuch keine Gedanken um mich. Bitte. Probiert\nvon den Naschereien.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nB-bist du sicher? Nun, wenn du darauf\nbestehst... Ich glaube, ich probiere auch mal\ndas belegte Brot.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	*kau* *schluck* Oh herrlich, das ist köstlich!\nIch habe das vorher noch nie gegessen, aber\nes hat genau die richtige Schärfe.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nErnsthaft? Das ist Euch nicht zu scharf?\nOh, Mann...\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Aber es freut mich, dass ich Euch wenigstens\nzum Lächeln bringen konnte. Es sind noch\neinige Sachen über. *hust* Bitte, bedient Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nÄhm... Du bist in Schweiß gebadet. Geht\nes dir auch gut?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nグレゴリー\nDas war vielleicht doch ein wenig zu scharf.\nIch kann diese Art von Schmerz wohl nicht so\ngut vertragen wie Ihr, hahaha...\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Aber mir geht es gut... Wirklich... Ich kann es...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nGregory?! Gregory!\x0E\x04\x02\x00
MID_RELIANCE_B_#024	Was soll ich nur tun? Er ist einfach umgekippt!\nIch... Ich hole Hilfe! Beweg dich nicht von der\nStelle.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Oh, wieso hast du es nur so übertrieben?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMilady Veyle, das von neulich tut mir leid.\nIch weiß, es hat Euch aufgeregt... dass ich\neinfach so in Ohnmacht gefallen bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nMach dir darüber keine Sorgen. Ich bin einfach\nnur froh, dass du es unbeschadet überstanden\nhast.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nIch möchte mich dennoch dafür entschuldigen.\nUm es wiedergutzumachen, habe ich heute\nandere Naschereien für uns besorgt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nSind das alles scharfe Sachen? Du hast sie\nwieder an meinen Geschmack angepasst, nicht\nwahr?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Ich weiß deine Geste zu schätzen, aber wenn\ndu sie nicht mit mir zusammen essen kannst...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nKeine Sorgen. Ich habe geübt!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDennoch...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nNun kommt. Lasst uns essen.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Hmm, dieser leuchtend rote Keks riecht so\nlecker. Oder sollte ich das da probieren?\n...Nein, ich nehme mir das hier.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nLass es langsam angehen, in Ordnung? Ich\nkonnte schon sehen, wie scharfe Speisen dir\nbekommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nNein, ich schaff das. Ich komme mit scharfem\nEssen klar – ehrlich!\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Vielleicht sollte ich als Nächstes diesen Kuchen\nprobieren... Obwohl, oooh! Der riecht wirklich,\nals habe er es in sich.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nWieso tust du dir das an? Ich hoffe, du tust\ndas nicht nur für mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nNun, niemand mag es doch, ängstlich zu sein,\noder?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nIch verstehe nicht...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nIch weiß, dass Ihr Angst vor mir habt. Mich nur\nanzusehen lässt Euch erschaudern.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Ich mag es nicht, wenn ich mich ängstige,\ndaher ist das Letzte, was ich will, dass Ihr Euch\nmeinetwegen fürchtet.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Ich weiß, dass mein Gegenstück Euch wehgetan\nhat, aber ich bin nicht Euer Feind. Ich würde\nEuch nie ängstigen oder Euch etwas zuleide tun.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Ich dachte, dass könnte ein guter Weg sein,\nEuch das zu beweisen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nVer... verstehe. Glaube ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\nWenn es Euch glücklich macht, wenn wir diese\nNaschereien gemeinsam essen, dann ist es das\nwert. Ich gewöhne mich schon an das Brennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe vor dir keine Angst mehr, Gregory.\nEs ist geradezu schmerzhaft deutlich geworden,\ndass du ein warmherziger Mann bist.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Aber... es ängstigt mich, wenn du dich selbst um\nmeinetwillen so überforderst. Ich habe Angst,\ndass du wieder in Ohnmacht fällst.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nWirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nWenn du mir das nächste Mal ein Geschenk\nmitbringst, dann sollte es etwas sein, was wir\nbeide genießen können.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Ich möchte, dass wir Freunde sind, aber das\nbedeutet nicht, Dinge zu tun, bei denen es uns\nunwohl ist.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Es sei denn, du möchtest nicht, dass wir\nFreunde sind...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\nNein! Ich meine, ja, ich möchte Euer Freund\nsein. Wenn Ihr Euch damit wohlfühlt.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nIch danke dir!\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Apropos... Welche Art von Speisen isst du\neigentlich am liebsten?\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Ich bin an der Reihe, dir etwas zu schenken,\nals Dank für alles, was du getan hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nグレゴリー\nIch danke Euch, Milady Veyle. Ich werde mir\netwas Extraköstliches aussuchen... sobald\nich wieder in der Lage bin, etwas zu schmecken.\x0E\x04\x00\x00
