MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nMmmh, ja! Dieser gegrillte Fisch ist himmlisch.\nSo eine feine Textur.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nHahaha, fängst du schon wieder damit an?\nBunet, du warst doch nur aus der Übung.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nGäbe es einen solchen Wettbewerb heute,\nwürdest du mit meilenweitem Abstand\ngewinnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ボネ\nOh, Fogado... Vielen Dank.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nIch bin dankbar, dass Ihr mich gesucht habt.\nSo können wir delikate Momente wie diesen\ngenießen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nIhr seid wahrlich mein Erretter.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\n„Erretter“ klingt etwas übertrieben, aber...\nIch danke dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nUnd dass das klar ist: Ich lasse nie wieder zu,\ndass du mich wie damals verlässt.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nDas beruht auf Gegenseitigkeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nIch bin schließlich Euer Leibkoch und Getreuer.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nAber vor allem bin ich Euer bester Freund.\nUnd als solcher schwöre ich ewige Treue.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nフォガート\nDas macht mich froh. Nichts könnte süßer sein\nals deine Freundschaft, Bunet.\x0E\x04\x00\x00
