MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リンデン\nAh, Mauvier! Hast du einen Moment für mich\nZeit? Du könntest mir bei einem Experiment\nbehilflich sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nAh, wie sehr ich mir wünsche, ich könnte noch\neinmal ihr Lächeln sehen, ihre Kochkünste\ngenießen...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nEs schmerzt, Euch so traurig zu sehen. Wenn es\nirgendetwas gibt, was ich tun kann...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nIst das dein Ernst? Oh, welch wunderbares\nAngebot. Vielen Dank, Mauvier!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nNun, dann nimm diesen Mais und wirf ihn\nin den Himmel.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nWas?!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nNicht das schon wieder!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nOh, aber... meine geliebte, verstorbene Frau\nliebte Mais. Sie würde wollen, dass wir uns auf\ndiese Weise an sie erinnern.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nNun denn, wann immer du so weit bist! Ich\nbin bereit, es krachen zu lassen!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nIch weiß, was du jetzt denkst, aber keine Sorge.\nIch werde wahrscheinlich – nein, so gut wie\ndefinitiv – nicht daneben treffen!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nNein. Auf Wiedersehen, Sir Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x02\x0A\x08リンデン\nMauvier? Mauvier, warte! Du hast doch noch\nmeinen Mais!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nSir Lindon? Geht es Euch gut? Ist dies das Bild\nEurer Frau?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nHahaha, du hast mich in einem verletzlichen\nAugenblick erwischt. Wie peinlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nEin Mann meines Alters sollte wissen, wann er\ndie Vergangenheit ziehen lassen muss. Wie\nungebührlich von mir...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nEs ist nichts Peinliches daran, für Eure\nGemahlin solch tiefe Liebe zu empfinden.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nAh, natürlich, da hast du recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nWeißt du, wir haben drei Kinder großgezogen.\nSie sind mittlerweile alle erwachsen und leben\nihr Leben.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\nSie haben ihr eigenes Heim, ihre eigene Familie.\nEs ist schwierig geworden, alle von uns\nzusammenzubringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nJe weiter wir uns voneinander entfernen, desto\nstrahlender scheinen meine Erinnerungen zu\nsein.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nImmer öfter bemerke ich, dass ich zurückblicke\nstatt nach vorne zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nIch bin nicht sicher, wie ich das ändern kann,\noder... ob ich das überhaupt tun sollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nErinnerungen, auf die Ihr gern zurückblickt,\nsind der Beweis für ein gutes Leben.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nMein eigenes Leben kennt mehr Kummer als\nFreude.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nAh, aber du bist frei, dir ein neues Leben zu\nerschaffen – eines, das vielleicht erfüllender\nals meines ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nHm. Ich danke Euch für die netten Worte,\nSir Lindon.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nGern geschehen. Nun... Hättest du Lust auf ein\nwenig wissenschaftliche Leckereiexperimente?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nIch hätte es wissen müssen!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nDu sprachst von Kummer. Wenn du niemals\nden aufgepoppten Elfendonner-Mais probiert\nhast, wäre das in der Tat höchst kummervoll.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nSo, wie ich das verstanden habe, habe ich noch\nein erfülltes Leben vor mir. Also zielt besser\ngenau.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リンデン\nJuchuuu! Lassen wir das Experiment beginnen!\x0E\x04\x00\x00
