MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nNatürlich entschuldige ich mich dafür, dass es\nEure Überwachung meiner Aktivitäten\nerschwert, wenn ich hier patrouilliere.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nWohl wahr. Ihr macht es mir in der Tat unnötig\nschwer.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nIch bitte um Verzeihung...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nHahaha, das sollte ein Scherz sein! Meine Güte.\nIch erledige einfach meine Arbeit, indem ich\nEuch bei Eurer beobachte.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nGeht dabei vor, wie Ihr wünscht. Ich werde\nEuch nicht vorschreiben, wie Ihr Eure Pflicht zu\nerfüllen habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nSir Vander, wie denkt Ihr über meine einstigen\nTaten?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nNun, welche dieser Taten genau beschäftigt\nEuch denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nEs tut mir leid wegen Königin Lumera. Vor allem\ntut es mir leid, dass ich so lange Zeit brauchte,\ndiese Worte überhaupt auszusprechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nWichtig ist allein, dass wir jetzt Verbündete\nsind. Ich beabsichtige nicht, der Vergangenheit\nnachzuhängen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nWäre Königin Lumera jetzt hier, Sir Mauvier, sie\nwürde Euch akzeptieren. Und so will ich dies\nan Ihrer statt tun.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nIhr hasst mich nicht für das, was ich getan\nhabe?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nWieso sollte ich? Was würde das bezwecken?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nヴァンドレ\nEine solche Einstellung bringt doch nichts.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nUnd ich habe Euch nun lange genug beobachtet,\num zu wissen, dass Ihr ein gutes Herz habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nIhr werdet noch mehr als genug Gelegenheiten\nim Leben haben, die Dinge ins Reine zu bringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06モーヴ\nSir Vander... Ich weiß Eure Sorge um mich zu\nschätzen. Und Euren Rat ebenfalls.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nIch habe eine Bitte an Euch, Sir Vander.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEine Bitte? Faszinierend. Lasst hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nWürdet Ihr mir mehr über Königin Lumera\nerzählen?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nÜber Königin Lumera?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nIch möchte so viel wie möglich über die Frau\nerfahren, an deren Tod ich Schuld trage.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nNun gut. So sei es.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nヴァンドレ\nAllerdings habe ich so viele Erinnerungen an\nKönigin Lumera, dass es mir schwerfällt, eine\nbestimmte auszusuchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nHmmm... Ja, das ist eine gute.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nEtwas vom Tafelsilber – eine Gabel, die seit\nGenerationen im Schloss Lythos weitergereicht\nwurde – wurde einst gestohlen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nDie Suche nach dem Dieb brachte zutage, dass\ndie Gabel von einem Kammermädchen\nentwendet worden war.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nBevor ich eingriff, fragte ich Königin Lumera,\nwie mit der Diebin zu verfahren sei. Und sie\nbefahl mir, gar nichts zu tun!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nIch sagte ihr daraufhin, dass es dem Ruf der\nWachen schaden würde, wenn man kein\nExempel an der Diebin statuierte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nDamals war ich zutiefst beunruhigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nUnd was geschah dann?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nAm nächsten Morgen befand sich die Gabel\nwieder an ihrem rechtmäßigen Platz.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nIch habe nie erfahren, wieso dieses\nKammermädchen die Gabel gestohlen hat, oder\nwas es damit letztlich vorhatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nAber Königin Lumera hat die Situation damals\nverstanden und ohne große Anstrengung oder\nIntervention gelöst.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nヴァンドレ\nSo war Königin Lumera. Stets freundlich. Immer\nauf Frieden bedacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nSie war eine wahrhaft großartige Person,\ngeliebt und respektiert von allen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nHätte ich doch bloß an jenem Tag bereits\ngewusst, welch immenses Bedauern meine\nTaten mir eines Tages bringen würden...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\nIhr bewahrt andere vor Schaden, Sir Mauvier.\nOb Ihr Euch dessen bewusst seid oder nicht,\nIhr handelt damit nach Königin Lumeras Willen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nEs macht mich glücklich, dass Ihr dies so seht,\ndoch kann ich Euch noch nicht zustimmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06モーヴ\nWie anders mein Leben womöglich verlaufen\nwäre, hätte ich jemanden wie Euch früher\ngetroffen...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nヴァンドレ\nEs mag Euch spät erscheinen, doch was zählt,\nist, dass wir uns begegnet sind. Das bedeutet,\ndass Ihr nun auf dem richtigen Pfad seid.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nIch befürchte, nicht jeder wird akzeptieren\nkönnen, wer ich bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06モーヴ\nDoch ich schwöre, ihr Vertrauen zu gewinnen,\nebenso wie ich das Eure gewonnen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06モーヴ\nIch sehe es als meine Pflicht gegenüber Königin\nLumera an.\x0E\x04\x00\x00
