MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nDa bist du ja, Rafal. Ich habe dich gesucht.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nWas für ein schönes Wetter wir heute haben,\nnicht wahr, Rafal? Perfekt für einen ausgiebigen\nSpaziergang.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nIhr. Habt Ihr Euch denn gar nichts von dem\ngemerkt, was ich Euch gesagt habe?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	Habe ich Euch nicht angewiesen, mich in\nFrieden zu lassen?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nIch erinnere mich schon, aber ich habe so viel\nmit dir zu besprechen, dass ich gar nicht\nwegbleiben konnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nIhr könntet zumindest weniger selbstgefällig\ndabei klingen. Der Tonfall ist alles andere als\neinladend.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Also schön, raus damit. Was wollt Ihr denn so\nunbedingt besprechen?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nIch wollte mit dir all deine Vorlieben und\nAbneigungen besprechen, aber wenn ich mich\nauf ein einziges Thema beschränken soll...\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Ich würde gerne wissen, wie du die Zeit\nverbracht hast, während du auf Nels Erwachen\nwarten musstest.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nラファール\nDa gibt es wenig zu sagen. Ich habe gewartet.\nAllein.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Wenn Ihr auf die Details besteht... Ich hielt ihre\nHand und betete ohne Unterlass, dass sie\nendlich erwachen möge.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Ich betete für eine neue Gelegenheit, ihr\nBruder sein zu dürfen. Und zwar dieses Mal\nein richtiger.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Ich bat um die Chance, sie glücklich zu machen.\nUnd mehr als alles andere wollte ich, dass sie\nmeinen wahren Namen erfährt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nIch verstehe...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nDarüber hinaus waren meine Gedanken stets\neinfach gehalten. Wenn sie heute nicht\naufwacht, dann vielleicht morgen.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Bevor ich mich versah, waren tausend Jahre\nverstrichen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nMeiner Mutter muss es ähnlich ergangen sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nDie Zeit hat mir nichts bedeutet. Die Tage\nvor ihrem Erwachen verschwommen zu\neinem insignifikanten Nebel.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Doch werde ich niemals das Lächeln vergessen,\ndas sie mir an jenem Tage schenkte, an dem\nsie endlich erwachte.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Jedenfalls ist das alles, was es zu berichten\ngibt. Sie erwachte, wir kamen hierher, den Rest\nkennt Ihr.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nDu sagst das, als wären tausend Jahre Wartezeit\nganz trivial gewesen. Das war es nicht.\nDas kann nicht jeder einfach so.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nラファール\nEuer Lob ist unnötig. Ich versichere euch, meine\nMotivation war vollkommen egoistisch.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Allerdings hätte ich es wohl nicht vollbringen\nkönnen ohne die Worte, die Ihr bei unserem\nAbschied gesprochen habt.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	In dieser Hinsicht ist Nels Rückkehr ebenso\nEuch zu verdanken wie mir. Und dafür danke\nich Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nHihi. Jetzt klangst du gerade ganz ähnlich\nwie Nel.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Man könnte fast sagen, dass zwischen euch\ninzwischen eine familiäre Ähnlichkeit besteht.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nラファール\nNach all dem verspottet Ihr mich auch noch?\nDiese Konversation war von Anfang an ein\nFehler gewesen.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08リュール\nNein, Rafal, ich habe es doch gar nicht so...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nラファール\nGenug mit diesem Geschwätz. Lebt wohl!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nIhr! Nehmt das!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nHuch? Was ist das? Ein Päckchen... Oh, das\nsind ja Pralinen!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nDas Küchenpersonal hat mich in Geiselhaft\ngenommen, bis ich diese Süßwaren gefertigt\nhatte. Ich tat, was ich tun musste.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nDie hast du gemacht? Ganz allein? Für mich?\nSie sehen bezaubernd aus, Rafal. Vielen Dank!\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Kann ich jetzt gleich welche probieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nラファール\nMacht, was Ihr wollt. Aber eine Sache solltet Ihr\nwissen.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Es gibt zwei Sorten dieser Pralinen. Die eine\nist gewöhnlich, die andere von besonderem\nGeschmack.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nIch gestehe, ich bin neugierig. Aber die\nbesondere Sorte hebe ich mir für den Schluss\nauf. Ich versuche mal eine normale.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Hust! Keuch! ACK! Ist das süß! Viel zu süß!\nArgh! Es BRENNT vor Süße! Soll das so\nbrennen?\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Uff. Keuch. Das nennst du gewöhnlich?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nラファール\nHahaha. Allein der Ausdruck auf Eurem\nGesicht war die ganze Mühe wert.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Ich hätte es gleich deutlich machen sollen – ich\nmeinte natürlich „gewöhnlich“ für mich. Wäre es\nweniger süß, würde ich nichts schmecken.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nMich gruselt, wenn ich überlege, was du dann\nunter besonderem Geschmack verstehst.\nIch weiß nicht, ob ich das überstehen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nラファール\nWenn die Furcht Euch überwältigt, dann\nverschenkt die Pralinen einfach, oder werft\nsie fort.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nDu weißt genau, dass ich so was nie tun würde.\nAlso gut, du hast mich überzeugt. Dann wollen\nwir mal.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Oh. Gute Güte, das ist ja fantastisch. All meine\nLieblingsaromen, in perfekter Balance\nabgeschmeckt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nラファール\nMit Rücksicht auf Euren empfindlichen Gaumen\nhabe ich von jedem Aroma nur eine\nausgesprochen kleine Menge verwendet.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nDas also hast du mit besonders gemeint.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nラファール\nIch rate Euch, die Pralinen gebührend zu\ngenießen, denn es sind die letzten, die ich\njemals herstellen werde.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Wobei ich die aufgewendete Mühe nicht bereue.\nWie man so schön sagt: Taten sprechen lauter\nals Worte, insbesondere bei Dankbarkeit.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nEs war eine unglaubliche Erfahrung. Vielen\nDank. Man schmeckt richtig, dass sie von\nganzem Herzen kommen.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Jetzt gibt es nur noch ein Problem, Rafal.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nWelches?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nWo soll ich in meinem Bauch jetzt noch Platz\nfür das Abendessen haben?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nラファール\nTs, ts, ts. Trainiert es ab, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nDanke für die Hilfe mit den Vorräten. Ohne dich\nhätte ich das nicht geschafft.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nラファール\nIch hatte etwas Zeit zur Verfügung. Es ist nicht\nder Rede wert.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nWar es wohl. Du hast die ganzen schweren\nSachen gehoben.\x0E\x04\x02\x00
MID_RELIANCE_S_#004	Das sollte ich wiedergutmachen. Oh, ich weiß –\nwie wäre es, wenn ich dir später eine schöne\nTasse Tee aufbrühe?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nラファール\nEure Sanftmütigkeit verwundert mich.\nWie könnt Ihr mitten in einem bitteren Krieg\nso mitfühlend sein?\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Ich war schockiert, als ich erfuhr, dass Ihr in\ndieser Welt ein Dämonendrache seid.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	Wärt Ihr einer meiner Geschwister gewesen,\nhätte Euch diese Einstellung einen höchst\nvorzeitigen Tod beschert.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nHm. Sag mir, was du wirklich fühlst.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nラファール\nEs geht nicht um Gefühle. Es geht um Fakten.\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Ihr seid zu hilfsbereit, ignorant gegenüber Euren\neigenen Bürden und in leichtsinnigem Ausmaß\nneugierig. Kurz: \x0E\x0A\x00d.Ein hoffnungsloser Narr2Eine hoffnungslose Närrin.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nEs scheint, als hättest du im Moment mehr und\nmehr Freude daran, deine Zeit mit Narren zu\nverbringen.\x0E\x04\x02\x00
MID_RELIANCE_S_#012	Du bist sogar in eine andere Welt gereist, um\ndein Leben für \x0E\x0A\x002\x18einen Narren\x16eine Närrin zu riskieren – \x0E\x0A\x00\x10\x06der\x06die\ndir übrigens sehr dankbar dafür ist.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nラファール\nSagt doch, was Ihr wollt.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nDas tue ich, denn selbst wenn du es nie\nzugeben würdest, weiß ich doch, dass du\nzuhörst und es dir zu Herzen nimmst.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Das sehe ich jetzt klar und deutlich.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nラファール\nHmpf!\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAber du hast gesagt, dass in Bezug auf\nDankbarkeit Taten lauter sprechen als Worte,\nRafal, und du hattest recht.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Ich habe schon einige Zeit darüber nachgedacht,\nund ich habe beschlossen, dass du das hier\nbekommen sollst.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nラファール\nKeuch! Ist es das, was ich denke?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nDas ist der Paktring – ein Symbol für feste und\nbesondere Bande. Eine Partnerschaft.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nラファール\nIch mag einen gewissen oberflächlichen Charme\nausstrahlen, aber das hier mir zu geben ist\nselbst nach Euren Maßstäben mehr als töricht.\x0E\x04\x02\x00
MID_RELIANCE_S_#022	Darüber hinaus wäre es schlichtweg falsch.\nIch habe nichts getan, um eine solche Ehre\nzu verdienen.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Wenn Ihr mit jemandem eine Partnerschaft\neingehen wollt, sollte diese Person... reiner sein\nals ich.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nIch bin ein Dämonendrache, genau wie du,\nerinnerst du dich? Das hast du selbst gesagt.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	Ich habe früher auch auf Sombrons Seite\ngekämpft. Ich bin genauso „unrein“ wie du.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nラファール\nTrotzdem...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nDir will ich diesen Ring geben, Rafal. Dir und\nniemandem sonst.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Du bist bereits ein unersetzlicher Teil meines\nLebens. Ich bitte dich nur, dies weiterhin zu\nbleiben.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nラファール\nSeufz.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Wenn Ihr es so formuliert, habe ich ja kaum eine\nWahl. Wer soll denn sonst auf Euch aufpassen?\x0E\x04\x02\x00
MID_RELIANCE_S_#031	Nun gut, Ihr habt mein Wort. Ich bleibe an Eurer\nSeite und kämpfe für Eure Sache, bis zum\nbitteren Ende.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Und wenn sich auch alle Welt gegen Euch\nwenden sollte, bleibe ich bei Euch.\nDas schwöre ich.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nDanke. Das bedeutet mir viel.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nラファール\nIch werde dies nur einmal sagen, also hört gut\nher.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	Ihr habt mir einst gesagt, Ihr wollt, dass ich\nglücklich bin.\x0E\x04\x02\x00
MID_RELIANCE_S_#036	Als ich erstmals hierherkam, war ich zufrieden,\nnur ein neues Leben zu beginnen, als eine neue\nPerson.\x0E\x04\x02\x00
MID_RELIANCE_S_#037	Doch je mehr Zeit ich mit Euch verbringe,\numso mehr... vermisse ich Euch, wenn Ihr\nnicht da seid.\x0E\x04\x02\x00
MID_RELIANCE_S_#038	Als Gegenleistung für meinen Schwur fordere\nich daher auch einen von Euch, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nラファール\nSchwört, dass Ihr mir nie von der Seite weichen\nwerdet. Dass wir der Zukunft gemeinsam\nentgegenschreiten.\x0E\x04\x00\x00
