MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nDiamant, betrübt dich gerade irgendetwas?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nWas haltet Ihr davon, Milady Veyle?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nIch würde Ja sagen. Mir gefällt der Klang, den\ndas Ganze hat, sehr gut!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x04\x03\x04
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nHmm, wie seltsam.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nWir sind den ganzen Tag im Ort herumgelaufen\nund konnten niemanden finden, der unsere\nHilfe benötigt.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nDas überrascht mich auch. Kein Einziger war\nbekümmert oder benötigte Unterstützung.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nIch denke, das ist seltsam, darüber betrübt\nzu sein. Wir sollten uns darüber freuen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin dankbar, dass es heute ein guter Tag\nfür mein Volk war.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ヴェイル\nJa, aber... das hilft mir nicht dabei, wiedergut-\nzumachen, was ich dir angetan habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nNun, heute nicht, nein... Aber wie wäre es\nhiermit?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nIrgendwann wird mir etwas Sorgen bereiten.\nWenn dieser Tag gekommen ist... werdet Ihr mir\nhelfen, das verspreche ich Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nWird das ausreichen, Milady Veyle?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ヴェイル\nJa, das wird es. Vielen Dank, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHallo, Diamant. Sag mir, hast du heute\nirgendwelche Sorgen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. Normalerweise würde ich Euch wieder mit\n„heute nicht“ antworten, doch dieses Mal...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nEtwas besorgt mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nEhrlich!?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nIch werde das Problem lösen, versprochen!\nSag mir einfach, um was es geht.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nWir waren doch neulich im Ort, um Leute zu\nfinden, denen wir helfen könnten. Erinnert Ihr\nEuch?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nNatürlich. Wir konnten niemanden finden.\nKeinen Einzigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nJa, nun, ich habe mit der Wache gesprochen,\ndie mir erzählt hat, dass die Leute im Ort\neigentlich sogar sehr viele Probleme haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nAber... warum haben sie uns das nicht gesagt?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nJeder weiß, dass ich der Kronprinz bin, daher\nhaben sie etwas Angst, sich mir zu nähern und\nmit mir zu sprechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nOh, ach so...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nIch muss einen Weg finden, ihnen mitzuteilen,\ndass ich sie anhören möchte – nein, MUSS.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nIch weiß nur nicht genau, wie ich das anstellen\nsoll...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh! Das ist leicht! Ich weiß genau, was zu\ntun ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nJa? Wenn Ihr eine Idee habt, ich bin ganz Ohr.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nNun, siehst du, da gibt es dieses besondere\nGericht, das ich liebe. Es ist köstlich und\nsehr spannend zu essen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\nIch könnte doch das Gericht zubereiten und\ndu könntest ein Festessen abhalten. Wir\nwürden alle dazu einladen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nAaah, verstehe...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nWenn wir ein lockeres Festessen für alle im\nOrt anbieten, dann fühlen sich die Leute\nvielleicht nicht eingeschüchtert von mir...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nGenau! Essen ist der perfekte Weg, die Herzen\nder Leute zu gewinnen. Ich werde sofort mit\nder Zubereitung beginnen!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist schlecht. Wir müssen etwas\nunternehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe das Festessen ruiniert. Es tut mir leid,\nDiamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nIch hatte keine Ahnung, dass Eure Lieblings-\nspeisen alle so unglaublich und gefährlich scharf\ngewürzt werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nDas können wir im Ort nicht servieren... Oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nI-ich weiß nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch liebe extrem scharfes Essen. Ich nahm daher\nan, alle würden es ebenfalls lieben. Es tut mir so\nschrecklich leid.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nIhr habt nichts falsch gemacht, Milady Veyle.\nDer Fehler liegt bei mir. Ich hätte vorher fragen\nsollen, wie das Menü genau aussieht.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nIch dachte, ich könnte helfen, doch stattdessen\nhabe ich es für dich nur noch schlimmer\ngemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nIch dachte wirklich, wir könnten alle zum\nLächeln bringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAlle zum Lächeln bringen...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist es! Ich hab's!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nHast du?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nWir verwandeln dieses Festessen in einen\nScharfes-Essen-Wettbewerb. Das wird bestimmt\ndie Stimmung heben.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nEinen Wettbewerb... Um zu sehen, wer den\nunempfindlichsten Mund hat? Das soll dir\nhelfen, mit den Leuten in Kontakt zu kommen?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAls Gegenstück zu einem ruhigen Mahl? In\nBrodia? Ja! Ich werde direkt neben ihnen lachen\nund sie anfeuern.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist wunderbar! Ich werde dir helfen, und du\nwirst deinem Volk helfen können... mit scharfen\nSpeisen!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nHeute wird ein guter Tag, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nNur damit du es weißt... Ich werde diesen\nWettbewerb vermutlich gewinnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nHa! So leicht bin ich nicht zu schlagen, das\nverspreche ich Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nDas finden wir schon bald heraus. Jeder ist\nauf dem Weg. Bringen wir es zum Kochen!\x0E\x04\x00\x00
