MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06カミラ\x023\n\x0E\x03\x02\x06\x04チキ\nDieser Ort ist so dunkel... Es ist gruselig, findest\ndu nicht, \x0E\x06\x03\x00?\x0E\x04\x00\x00
MID_ED1_#010	Ich hätte nicht mal hoffen können, meinen\nVater allein zu besiegen.\x0E\x04\x02\x00
MID_ED1_#011	Ich kann mir auch nicht vorstellen, dass ich\nallein Frieden mit Hoshido hätte schließen\nkönnen.\x0E\x04\x02\x00
MID_ED1_#012	Dank Corrin und unserer gesamten Familie und\nFreunde waren wir in der Lage, die Welt zu\nverändern.\x0E\x04\x02\x00
MID_ED1_#013	Ich hoffe, Ihr werdet die, die Euch nahestehen,\nstets in Liebe festhalten, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nDas werde ich. Und ich hoffe, Ihr werdet\nwährend unserer gemeinsamen Zeit weiterhin\nEure Erfahrungen mit mir teilen.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x08\x06カミラ\nAber sicher, du süßes Kind. Ich wäre entzückt,\ngenau das zu tun.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カムイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCorrin... Oh, Corrin! Ich bin ja so glücklich, dass\nes dir gut geht!\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x08\x06カムイ\nCamilla! Es ist schön, dich zu sehen.\x0E\x04\x02\x00
MID_ED2_#003	Dich bei uns zu haben, ist wirklich beruhigend.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x08\x06カミラ\nEndlich sind wir wieder zusammen.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06カムイ\nDieses Mal für immer, hoffe ich.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x08\x06カミラ\nWir werden das Beste daraus machen. Wollen\nwir das nicht feiern? Vielleicht mit einem Bad\nin einer heißen Quelle?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x08\x06カムイ\nOh, bitte, Camilla. Embleme können doch gar\nnicht baden.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x08\x06カミラ\nNicht? Nun, warum legst du dann nicht statt-\ndessen deinen Kopf in meinen Schoß, wie du\ndas früher immer getan hast?\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x08\x06カムイ\nIch glaube, dafür sind wir beide schon zu alt.\nDu änderst dich wohl nie, was?\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x08\x06カミラ\nHihihi. Ob ich das tue oder nicht – ich werde\ndir immer ergeben sein, Corrin.\x0E\x04\x00\x00
