MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLouis... du starrst mich nun schon beunruhigend\nlange an. Benötigst du irgendetwas von mir?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nIch jedoch weiß alles darüber.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nIch habe keine Ahnung, wovon du sprichst.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nIhr schreibt einen neuen Roman, richtig? Einen\nlustigen noch dazu, der geradezu albern ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nLouis. Ich gebe jetzt einfach vor, du hättest nie\netwas von einem neuen Roman gesagt...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nIch bitte Euch! Ihr werdet niemand Diskreteren\nals mich finden.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ジェーデ\nOh, daran zweifle ich nicht. Du weißt ja\nimmerhin ganz gut, wie grausam ich angeblich\nsein kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nWillst du ein langes, gesundes Leben führen, so\nschlage ich dir ein neues Interesse vor namens\n„Halt deine Nase aus meinen Angelegenheiten“.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nNun gut, Jade. Ich werde mir Euren Ratschlag\nzu Herzen nehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHach...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nIch habe eine Idee für eine neue Geschichte:\nEine Gruppe enger Freunde trifft sich und es\nbeginnt eine lebhafte Unterhaltung.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nWovon redest du da?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nIhr machtet so ein besorgtes Gesicht, da dachte\nich, es mangelte Euch vielleicht an neuen Ideen\nfür Euer nächstes Buch.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nEs bringt wohl nichts, vor dir weiter die\nUnwissende zu spielen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nDu hast recht. Ich suche nach einer neuen Idee\nfür meinen neuen Roman.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nNun, ich gab Euch soeben eine. Schreibt über\neine Gruppe von Freunden, die sich nahestehen!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nWie nahe? Meinst du so eine Geschichte, in der\nmehrere Freunde gemeinsam etwas erleben?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nSchreibt die Geschichte so, wie Ihr es wünscht –\nwobei ich bereits damit zufrieden wäre, wenn\nsie bloß miteinander plaudern würden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nIch soll einen kompletten Roman damit füllen,\nwie ein paar Freunde sich einfach nur höflich\nüber Alltägliches unterhalten?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nIch bin überzeugt davon, es würde Euer größtes\nMeisterwerk werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nLouis, es gibt da diesen Begriff namens\n„Handlung“... Meine Romane bauen für\ngewöhnlich darauf auf...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nHier ein Gegenargument: Ist die Handlung eines\nRomans wirklich wichtiger, als unvergessliche\nSzenen darin zu haben?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nMan sollte sich bekanntermaßen auf das\nEssenzielle konzentrieren. Eine unterhaltsame\nSzene hat auch ohne große Handlung Bestand.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nFür eine richtige Geschichte ist deine Idee zu\nsimpel, aber man kann gewiss manch Lustiges\nmit einer solch flachen Erzählstruktur anfangen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nHa! Ich glaube, du hast mir tatsächlich aus\nmeiner Schreibblockade herausgeholfen. Danke,\nLouis!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nEs freut mich, dass ich Euch behilflich sein\nkonnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nGewiss werdet Ihr die munteren Gespräche der\nCharaktere ganz lebhaft in Szene setzen. Ich\nsehe der Lektüre schon hoffnungsvoll entgegen!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ジェーデ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nOje, nun verfallt Ihr wieder in Eure\nWortkargheit. Beschäftigt Euch noch etwas\nanderes?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ジェーデ\nNein, Louis. Ich habe gerade... gelacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ジェーデ\nDu bist einfach so beharrlich, das ist wirklich\nlustig.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ルイ\nHahaha, Ihr habt ein unfehlbares Gespür fürs\nKomische.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHe, Louis? Ich wollte dich mal etwas fragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nUnd worum mag es sich dabei handeln, werte\nRitterin?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nWieso versuchst du, mir näherzukommen?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nDu hast mich lange beobachtet. Und mit deiner\nIdee für eine Geschichte hast du mich ganz aus\ndem Konzept gebracht.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nBist du schon mal einem Spion begegnet? Die\nbesten Spione nutzen ihr Redegeschick, um\nInformationen zu stehlen...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nSorgfältig bauen sie ein Gefühl des Vertrauens\nauf – und schlagen dann zu, wenn ihr\nGegenüber unachtsam wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nWir sind Verbündete, aber du bist und bleibst\nein Soldat aus Firene. Da komme ich nicht\numhin, mich zu fragen...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nSehr beeindruckend, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAaah. Meine Vermutung war also richtig...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nOh, keineswegs. Ihr liegt sogar völlig daneben.\nIch bin kein Spion.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nWas ich beeindruckend finde, ist Eure\nVorstellungskraft.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nMan muss schon über eine nie versiegende\nQuelle an Einfallsreichtum verfügen, um sich\nsolch faszinierende Geschichten auszudenken.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nWeiche der Frage nicht aus. Warum bist du an\nmich herangetreten?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nWarum? Weil ich Euch besser kennenlernen\nwollte natürlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nDas ist alles?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nJa. Es gab in der Tat nur diesen einfachen\nGrund.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nAuch dass ich Euch so lange beobachtete, lag\nnur daran, dass ich nach einem geeigneten\nMoment suchte, ein Gespräch zu beginnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nIch halte es für wichtig, dass wir uns\naustauschen. Wir stammen aus verschiedenen\nLändern mit unterschiedlichen Werten.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nUnd dennoch müssen wir diese Unterschiede\nüberwinden und täglich Seite an Seite unser\nLeben auf dem Schlachtfeld riskieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nDaher finde ich es unerlässlich, dass wir\neinander zu verstehen lernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nDas ergibt sogar Sinn.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nEs wäre in der Tat besser, wenn wir uns in der\nSchlacht verstehen und vertrauen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nSo ist es. Und die Bande, die wir nun knüpfen,\nwerden sogar den Krieg überdauern.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nEs tut mir leid, dass ich dir falsche Absichten\nunterstellt habe, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ジェーデ\nIch schätze, ich kann etwas Zeit erübrigen, um\ndich besser kennenzulernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nWie wäre es dann, wenn wir uns bei einer Kanne\nmeines Lieblingstees weiter unterhalten?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ジェーデ\nDas würde mir gefallen, Louis. Sofern es dich\nnicht stört, dass ich mir nebenbei für mein\nBuch Notizen zu peinlichen Gesprächen mache.\x0E\x04\x00\x00
