MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nTja, ich bin eben nicht die meisten Adligen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nHahaha, da sind wir uns einig.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nDoch ernsthaft. Erinnert Ihr Euch, wie\nschockiert ich war, als ich erfuhr, dass Ihr die\nPrinzessin von Solm seid?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nIch hatte Euch gerade... praktisch meine ganze\nLebensgeschichte erzählt.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nDass ich immer davon geträumt hatte, Ritterin\nzu werden, doch dass dies aufgrund meiner\nAbstammung unmöglich war.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nIch gestand Euch, dass dies der Grund war,\nweswegen ich meine Heimat verließ.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nUnd dann habt Ihr--\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nIch habe dich gefragt, ob du wirklich aus\ntiefstem Herzen heraus Ritterin werden willst.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nUnd ich antwortete: „Ja. Aus tiefstem Herzen,\nja.“\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nIhr legtet Euer Schwert auf meine Schultern,\neine nach der anderen, und spracht...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\n„Hiermit ernenne ich dich zur Ritterin des\nKöniginreiches!“\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nIch lachte. Ich hielt das alles für einen Scherz.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nDoch Ihr, meine Prinzessin, lachtet nicht.\nIhr habt mich mit höchstem Ernst angeblickt.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nIch vergesse niemals Euren Gesichtsausdruck,\nals Ihr mich zur Ritterin geschlagen habt.\nDieser Ernst!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nIn der Tat. Ich war dazu fest entschlossen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nNach all unserer gemeinsamen Zeit unterwegs\nhatte ich erkannt, welch eine gute Person du\nbist.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nEs wäre Irrsinn von mir gewesen, dich nicht\nso früh wie möglich festzunageln.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nHahaha, meine Prinzessin, Ihr schmeichelt mir.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nObwohl ich mir wünschte, Ihr hättet Eure\nIdentität bereits davor enthüllt...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nDas nun wieder. Ich hatte es vergessen, sonst\nnichts. Außerdem habe ich es dir ja gleich\nhinterher gesagt, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nWir haben sogar dein Dorf gemeinsam besucht.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nJa, das ist wahr.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nIhr beugtet Euer Haupt vor meiner Mutter,\nder Matriarchin...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nUnd fragtet sie kühn, ob sie gewillt wäre,\ndem Ritterschlag ihren Segen zu erteilen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nSie war so erstaunt. Doch sie stimmte zu –\nvorausgesetzt, ich würde eines Tages zurück-\nkehren und die Führungsrolle übernehmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nDeine Mutter ist eine gute Frau. Sie wusste,\ndass diese Entscheidung aus unseren Herzen\nstammte.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nHahaha.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nVon diesem Moment an gehörte ich Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nAn diesem Tag verzogen sich die Wolken, und\nSonnenlicht erfüllte mein Leben.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nUnd mich nennst du eine Schmeichlerin?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nIn der Tat, Eure strahlende Aura wird niemals\nan Kraft verlieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nUnd das, meine Prinzessin, ist der Grund,\nweswegen ich mich ganz in Eurem Dienste\nhingebe.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nIch danke dir, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nIch hoffe, du bleibst an meiner Seite, jetzt und\nin alle Ewigkeit. Meine Ritterin in strahlender\nRüstung. Meine Freundin.\x0E\x04\x00\x00
