MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHallo, Nel. Ich würde gerne kurz mit dir\nsprechen, wenn du Zeit hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHallo, Nel. Es tut mir leid wegen neulich.\nIch hätte begreifen müssen, dass du mich\nnicht als Schwester betrachtest.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Ich dachte, es könnte helfen, wenn wir etwas\nZeit zusammen verbringen. Ich habe uns\nwas zu essen mitgebracht.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nEin geteiltes Mahl sollte einen guten Startpunkt\nfür unsere Freundschaft darstellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nSuper! Ich hoffe, es macht dir nichts aus, wenn\nes etwas schärfer ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nTatsächlich weiß ich eine signifikante Menge\nSchärfe und Salz in meinem Essen zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh, gut! Dann wird es dir ganz bestimmt\nschmecken.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Ich finde, alles schmeckt besser, seit ich hier\nbin. Es ist so schön, sich mit allen zum Essen\nhinzusetzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nSie waren auch zu mir sehr freundlich. Und das,\nobgleich ich eine Fremde aus einer anderen\nWelt bin.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nSie sind sehr herzlich.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Von einer Dämonendrachentochter zur anderen\nmöchte ich auch meinen Teil beitragen, damit\ndu dich hier willkommen fühlst.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04エル\nDanke.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nDu sagtest, Rafal war lange Zeit dein einziges\nGeschwister. War das nicht einsam?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nSicher. Ich habe über die Jahre den Verlust\njedes einzelnen meiner Geschwister gespürt.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Ich wünschte immer, wir hätten einander näher\nstehen können. Doch wir waren ganz damit\nbeschäftigt, überhaupt zu überleben.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Das beinhaltete nun mal Neid, und Ausbeutung,\nund Verrat. Mitunter auch Gewalt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist ja schrecklich.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nDeswegen bin ich so dankbar für die\nGelegenheit, mit dir in Frieden Zeit\nverbringen zu dürfen.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Aber gleichzeitig ist dies auch der Grund, wes-\nwegen ich dem Gedanken, dich als Schwester\nzu akzeptieren, mit Vorsicht entgegentrete.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Für mich war eine solche Beziehung durchwirkt\nmit Rivalität. Und mit Furcht.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nHeißt das, du fürchtest dich vor mir?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nIch fühle mich nicht bedroht, denn wir sind\nkeine Geschwister. Wir hätten einander nie\nbegegnen sollen.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Da wir frei sind, unsere Beziehung nach\neigenem Gutdünken zu definieren, zöge ich es\nvor, uns als Freundinnen zu betrachten.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nIch verstehe. Danke, dass du mit mir so ehrlich\nüber deine Gefühle sprichst, Nel.\x0E\x04\x02\x00
MID_RELIANCE_B_#024	Das würde ich gerne einmal wiederholen,\nwenn es dir recht ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nNel? Können wir reden?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nBereits der Tonfall klingt sehr ernst.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe noch einmal nachgedacht, und ich\nmöchte uns beide wirklich gerne als\nSchwestern betrachten.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nIch respektiere deine Gefühle, Veyle. Dennoch\nbin ich von dieser Haltung überrascht.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Eine Freundschaft zwischen uns scheint dir\noffenbar nicht zu genügen. Warum?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin froh, dass wir Freundinnen sind.\nUnd einige Zeit glaubte ich auch, das sei genug.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Aber als du erzählt hast, was mit deinen\nanderen Geschwistern geschah, änderte\nich meine Meinung.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Schwestern müssen einander nicht verraten\noder verletzen. So muss eine Familie doch nicht\nsein.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Warum können wir nicht die Art von\nSchwestern sein, die sich bei gutem,\nscharfem Essen friedlich unterhalten?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nIst das immer noch zu schwer für dich?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\nNein. Unerwarteterweise erscheint mir der\nGedanke an eine andere Art von Familie als...\nangenehm.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Und wenn Geschwister wirklich eine solch\nentspannte, vertrauensvolle Beziehung pflegen\nkönnen, dann... überdenke ich das vielleicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nHeißt das etwa...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04エル\nIch bin unsicher. Die Freude, eine Schwester\nzu erhalten, wird begleitet von der Furcht,\nsie zu verlieren.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Ich würde den Zusammenbruch unserer\nfamiliären Bande fürchten.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nIch würde niemals deine Feindin sein, Nel.\nNie im Leben. Ich stehe immer auf deiner Seite.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Selbst wenn dieser Krieg uns auseinanderreißen\nsollte, so bleibt uns doch die Zeit, die wir als\nFamilie zusammen verbringen, auf ewig.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nAls Familie.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nJa, richtig. Ich werde niemals die Zeit vergessen,\ndie ich mit meiner Schwester verbracht habe,\nund dir wird es sicher genauso gehen.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Wenn dir also dieser Gedanke auch nur ein\nkleines bisschen Freude bereitet... dann bitte,\nüberdenke es noch mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Nun gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nWirklich? Meinst du das ernst?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04エル\nAuch mich verlangt es nach familiären Banden.\nDanach, für jene zu sorgen, die mir nahestehen.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Wenn dies dein aufrichtiger Wunsch ist und\nich die Macht habe, ihn zu gewähren... dann\nsei es so.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Danke für deine Güte und deine Großzügigkeit –\nund für deine Hartnäckigkeit, Schwester.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nNein, ich danke dir, Nel. Das von dir zu hören\nmacht mich ganz sprachlos vor Freude!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04エル\nIch bin auch sehr froh.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Ich frage mich, ob ich dich als ältere oder\njüngere Schwester ansehen sollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nDa wir aus unterschiedlichen Welten stammen,\nist es schwer zu bestimmen, wer früher geboren\nwurde.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x06\x04エル\nNach unserem Erscheinungsbild zu urteilen\nmuss wohl ich die ältere von uns beiden sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ヴェイル\nWas? Das kann doch gar nicht sein. Schau nur,\nwie viel länger mein Haar ist!\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x06\x04エル\nMir ist nicht ganz klar, inwiefern die Länge\ndeines Haares für diese Frage relevant sein\nsollte.\x0E\x04\x02\x00
MID_RELIANCE_A_#035	Gleichwohl – in den kommenden Jahrhunderten\nwerden wir mehr als genug Gelegenheit haben,\ndiese Frage ausgiebig zu klären.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nDas stimmt. Ich freue mich schon darauf, und\nauf so viele andere Sachen mit meiner neuen\nSchwester.\x0E\x04\x00\x00
