MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nIch liebe Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, und tat das schon\nlange, bevor wir uns getroffen haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nBitte versteht, dass dies keine romantische\nLiebe ist, sondern die einer Gläubigen zu\nihrer Gottheit.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nAber Ihr saht so verärgert aus, als Ihr mich\nneulich angestarrt habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\n\x0E\x0A\x00.\x12Mein Gott\x18Meine Göttin stand plötzlich in Fleisch und Blut \nvor mir. Ich war nervös.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nVersteht Ihr nun?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nJa, ähm... Danke, dass Ihr mir das mitgeteilt\nhabt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nIch, ähm, mag Euch auch, Ivy.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nJa...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nDarf ich mich entschuldigen?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nOh. Ja. Natürlich. Und...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nUnd... Es tut mir leid.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nWir sprechen uns später wieder, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08リュール\nIvy, darf ich Euch fragen, warum Ihr mich\nEure Gottheit nennt?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nIn den schwersten Momenten meines Lebens\nblieb mir nur, mich an Euch zu wenden,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nMein Glaube an Euch gab mir die Kraft zu\nüberleben.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nWas musstet Ihr überleben?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nMeine ganze Welt – den Ort, an dem ich geboren\nwurde.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nSchloss Elusia ist eine Schlangengrube voller\nVerrat und falschem Spiel. Niemand ist dort\nsicher.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nUnd das Schlimmste daran ist... Es gab für mich\nkeinen Ausweg.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nMeine Mutter war der Mittelpunkt all der\nIntrigen. Ich war gezwungen, jeder ihrer wider-\nlichen Verschwörungen beizuwohnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nEure eigene Mutter...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nIn ihrer Welt ist jedes Lächeln wie ein Messer,\ndas nur nach dem passenden Rücken zum\nhineinstechen sucht.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nIch habe das Schloss gehasst. Ich habe es dafür\ngehasst, was es aus jedem, der seinen Fuß dort\nhineinsetzte, machte.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nNur eines hielt mich von der Verzweiflung ab,\nund das war mein Glaube. Mein Glaube an\n\x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nAber warum ich?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nZunächst nur, um mich abzugrenzen. Sie\nverehrten den Dämonendrachen, also verehrte\nich \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nEin kleiner Akt der Rebellion, sichtbar nur in\nmeinem Herzen. Aber das war genau das, was\nich brauchte.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nJe mehr ich über Euch und Euer Leben\nnachdachte, desto gewisser wurde mir,\ndass ich nicht in das Schloss gehörte.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nIch bin froh, dass ich Euch helfen konnte, auch\nwenn es nur indirekt war.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nAh, vergebt mir. Dass Ihr so gütig zu mir seid,\nist immer noch eine sehr intensive Erfahrung\nfür mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nKönnt Ihr bitte versuchen, Euch etwas göttlicher\nzu verhalten?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nHahaha, natürlich. Ich werde mein Bestes\ntun.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ganz ehrlich...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nIhr seid meine Kraft, selbst jetzt.\nIch danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nIhr wolltet, dass wir uns hier treffen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08アイビー\nWarum denn so weit draußen? Was könnt Ihr\nnur geplant haben?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nIch muss etwas Wichtiges mit Euch besprechen.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08アイビー\nDas erklärt nicht die Wahl dieses Ortes. Ich\nwürde überall mit Freuden mit Euch reden.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nIch wollte mit Euch allein sein.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08アイビー\nAh, so.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08アイビー\nNun, das wären wir jetzt.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nGeht es Euch gut? Ihr seid ganz rot im Gesicht.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08アイビー\nBin ich? Sicher bin ich das.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08アイビー\nAber das ist schon in Ordnung. Was immer Ihr\nmir auch zu sagen habt, ich bin bereit, es zu\nhören.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08アイビー\nBitte.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nAlso dann.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nPrinzessin Ivy, bitte nehmt diesen Ring von mir\nals Zeichen meiner Gunst.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08アイビー\nDer Paktring.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08アイビー\n\x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin lässt diesen Ring dann zuteil-\nwerden, wenn \x0E\x0A\x00\x0E\x04er\x06sie das bedeutungsvollste Band\nvon allen stärken möchte.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nIhr seid gut informiert.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08アイビー\nIhr wollt ihn wirklich mir geben?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nEs gibt niemanden, den ich lieber an meiner\nSeite hätte.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nIhr seid diejenige, die mir am nächsten steht.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08アイビー\nIch bin – wie immer – erstaunt, wie direkt Ihr\nEure Gefühle offenbart.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIch wäre keine sehr gute Gottheit, wenn ich\nmeine Gedanken vor jemandem verbergen\nwürde, der mich so verehrt.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nIhr habt mir Euer Herz geöffnet, Ivy. Es ist nur\ngerecht, wenn ich dies ebenfalls tue.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08アイビー\nDas ist wahr.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08アイビー\nNun, in dem Fall nehme ich ihn an.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nFein.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08アイビー\nIch fühle mich Euch gleich viel näher.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08アイビー\nEin Band mit \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin ist mehr, als\nich jemals zu hoffen wagte. Ich danke Euch,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08アイビー\nNun und auf ewig werden Euch meine unend-\nliche Treue und Hingabe gehören.\x0E\x04\x00\x00
