MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nIst da jemand?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nIn Elusia stehen uns Materialien wie diese nicht\nzur Verfügung, aber wir besitzen handwerk-\nliches Geschick.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nVielleicht ist dies ein Symbol für unseren\nweiteren Weg – Brodias Ressourcen und\nElusias Talent.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nEin Weg zu friedlichem Gedeihen, basierend auf\ndem Respekt für die Talente des anderen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nVerstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nDurch dieses Geschenk, diesen Edelstein, wurde\nich wirklich mutiger.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nWie hätte ich sonst den Mut finden können,\nmir unsere Beziehungen in neuem Licht\nvorzustellen?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nIch danke Euch, Prinzessin Ivy – und dieses Mal\nsage ich das als Kronprinz von Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アイビー\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nBrodia davon zu überzeugen, den Weg des\nKrieges zu verlassen, wird eine Schlacht für\nsich.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nKrieg führt zu Profit, der wieder zu Krieg\nführt, der zu noch mehr Profit führt... Ein\nschrecklicher Kreislauf.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nDieser Kreislauf muss unterbrochen werden.\nUnd ich bin der Einzige, der dies zu tun vermag.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDiese Halskette ist das perfekte Symbol\nunseres gemeinsamen Ziels. Beide Königreiche\nmiteinander verwoben...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nDaher danke ich Euch, Ivy. Ich verspreche\nEuch hier und jetzt, dass Brodia unter meiner\nRegentschaft für Frieden eintreten wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nIch danke Euch, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nIch werde mir Eure Worte zu Herzen nehmen,\nund sie mit meinem Volk teilen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nMit uns beiden als Vorbild können unsere\nReiche das Kämpfen beenden. Wir werden\nHandelsbeziehungen pflegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nElusias Kunsthandwerker werden sicherlich\ndavon profitieren, Zugang zu Brodias Edel-\nsteinen zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nUnd wenn das zu Waren wie dieser Halskette\nführt, werden beide Reiche gedeihen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nEin sehr guter Plan.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nNun müssen wir ihn nur noch verwirklichen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nDas werden wir. Dafür werden wir beide schon\nsorgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nGeben wir uns die Hand, als Regenten und\nFreunde. Hiermit beginnt die neue Ära des\nFriedens.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アイビー\nLiebend gern. Lassen wir dies den Anbruch\neines neuen Tages für uns sein.\x0E\x04\x00\x00
