MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nHast du das? Dann erzähl mir alles.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nSicher. Nach der Hochzeit war das Leben von L\nbescheiden, aber glücklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nDas Paar durchlebte harte Zeiten, aber sie\nhielten zusammen und zogen ihre Kinder groß.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nブシュロン\nDoch gerade, als die Kinder erwachsen waren\nund sie ihren Ruhestand genießen konnten...\nstarb Ls Frau.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nL kam nicht mehr dazu, seiner Frau das letzte\nTörtchen zu servieren, das er für sie gebacken\nhatte... mit Donner.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nSchon gut, Boucheron... Ich weine heute auch.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nブシュロン\nBei diesem Teil der Geschichte habe ich\nbegriffen... dass sie von Euch handelt, richtig?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nDas tut sie. „L“ ist natürlich das Initial meines\nNamens.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nAber warum gibt es ein Buch über Euch?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nIch wollte, bevor ich mit meiner wartenden Frau\nwiedervereint bin, meine früheren Tage für die\nNachwelt bewahren.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nDoch ich war unvorsichtig und verlor das\nManuskript.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nAch, Ihr habt das Buch geschrieben? Das tut\nmir aber jetzt leid, dass ich es ohne Eure\nErlaubnis gelesen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nUnsinn. Ich bin sogar sehr froh, dass du es\ngefunden und vollständig gelesen hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nEs war wunderbar geschrieben, wenn Euch das\nwas bedeutet.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nWarum verbringen wir nicht mehr Zeit\nzusammen? Dann kannst du mich noch besser\nkennenlernen, bis zu meinen letzten Seiten.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nEs wäre mir ein Vergnügen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リンデン\nPrächtig! Das bereitet mir solch gute Laune,\ndass ich schon überlege, ein neues Blech\nSüßwaren zu backen!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nAber Donnerbacken benötigt seine Zeit, also\nwarum erzählst du mir nicht deine Geschichte?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nTja, wo fangen wir da an? Am besten an dem\nTag, an dem meine Eltern sich kennenlernten...\x0E\x04\x00\x00
