MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nOch nee...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nHahaha, deine Zuversicht erheitert mich. Komm!\nZeig mir, was du kannst!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06カゲツ\nNimm das!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nHa! Nicht gut genug, Kagetsu!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nHa!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nHyah!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nEs ist vollbracht. Ich habe gewonnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nIch... habe verloren?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nDas hast du. Obwohl du genauso fähig bist wie\nich. Tatsächlich bist du vielleicht sogar stärker\nals ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nAber ich habe geschworen, meine Prinzessin zu\nverteidigen. Und gegen die Kraft meiner\nÜberzeugung kommt niemand an.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nÜberzeugung, sagst du...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nIch habe gewonnen, Kagetsu. Du wirst\nPrinzessin Timerra nicht herausfordern.\nHast du verstanden?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nJa... Es soll geschehen, wie es vereinbart wurde.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nDoch vielleicht könntest du in Betracht ziehen,\nselbst erneut gegen mich zu kämpfen?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nDu willst noch mal gegen mich kämpfen?\nMeinst du... als Ersatz für meine Prinzessin?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nNein. Das habe ich nicht gemeint.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nIch bin nunmehr an der Macht deiner\nÜberzeugung interessiert.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nSie verleiht dir ganz offensichtlich große Stärke.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nIch spüre, dass mich das Studium dieser\nÜberzeugung viel über deine Kultur und die\nWelt lehren wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nAh, in diesem Falle gern. Wir können zusammen\ntrainieren, so viel du willst.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06メリン\nTatsächlich werden die Übungskämpfe gegen\ndich auch für mich ein hervorragendes Training\nsein.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nWunderbar. Dann betrachten wir einander vom\nheutigen Tage an als Trainingspartner.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nIch bin sicher, dass daraus kraftvolle und\nsignifikante Bande der Freundschaft erwachsen\nwerden!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06メリン\nHahaha, das würde mir gefallen, Kagetsu.\x0E\x04\x00\x00
