MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x02\x0C\nエーティエ\nWieder gibt's lecker aussehenden Aufstrich\nzum Abendessen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nエーティエ\nDas reicht. Genug geredet. Her mit der\nKartoffel!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHmmm... Nein.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nHe! Du kannst sie doch nicht einfach aufessen!!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nKöstlich, mmmh.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTut mir leid, ich war kurz abgelenkt.\nWas hast du gesagt?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nエーティエ\nHrmpf! Wie du willst. Aber glaub bloß nicht,\ndass die Sache gegessen ist! Dafür wirst du\nbezahlen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0C\nエーティエ\nHe, komische Elusianerin. Wir müssen uns mal\nunterhalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTut mir leid, ich muss mich verhört haben.\nWorum geht's?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nDu hast mich schon verstanden.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nWas hat dich denn geritten, vor der Schlacht\ndrei Stunden das Tafelsilber zu polieren?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch wüsste nicht, was dich das angeht.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber wo wir gerade die Fragestunde eröffnet\nhaben – mit Verlaub, was bezweckst du mit\ndeinem übertriebenen Training?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\nWas soll das denn für eine Frage sein?!?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nWir sind im Krieg! Tafelsilber hilft wohl kaum,\neine Schlacht zu überleben. Muskeln schon.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBitte, was?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nGlaubst du, dass dir deine perfekt gefalteten\nKlamotten helfen, den Verzerrten auch nur einen\nKratzer beizubringen?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEntschuldigung, was? Was?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nSpar dir dein ständiges „was“!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWillst du etwa andeuten, ich sei nicht in der\nVerfassung, eine Schlacht zu überleben?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWenn du das denkst, muss ich dich bitten, mir\nschleunigst aus den Augen zu gehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nWas hast du gesagt?!?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu siehst hier den Inbegriff von Eleganz und\nAnmut. Meine Verfassung ist tadellos.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, wenn du bei deinem sinnlosen\nGehampel deinen Sinn für Ästhetik mit\nrausgeschwitzt hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nHm. Was hast du denn für ein Problem?!?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGenau das wollte ich dich auch fragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHallo, Etie. Danke, dass du dich mit mir triffst.\nIch hatte gehofft, dass wir uns unterhalten\nkönnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nエーティエ\nIch weiß nicht, warum du mich herbestellt\nhast. Hoffentlich hast du einen guten Grund.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas mag vielleicht etwas merkwürdig klingen,\naber macht es dir etwas aus, mir deine Hände\nzu reichen?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nWozu?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch habe ungerechte Dinge zu dir gesagt.\nVielleicht lerne ich, deine Stärke zu schätzen,\nwenn ich sie fühlen kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWenn es möglich wäre, würde ich gerne spüren,\nwie sich deine Hände anfühlen. Ich lösche das\nLicht, dann kannst du dich entspannen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nÄh... In Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDu bist wirklich stark. Ich merke an den\nSchwielen, wie eifrig du daran arbeitest,\ndiese Stärke zu vervollkommnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nÄh... ja.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nZu sehen, wie dich deine Hingabe formt, hat mir\ngeholfen, zu verstehen. Ich danke dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHier – nimm meine Hände, wenn du willst.\nVielleicht verstehst du dann besser, wer ich bin.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nWird das funktionieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWir müssen es einfach ausprobieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nOh! Ist deine Haut wirklich so geschmeidig?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber natürlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nIch habe so etwas noch nie gefühlt. Du musst\ndir richtig Mühe gegeben haben, damit sie so\ngeworden ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, dass ich dich mit meiner Bitte\nüberrumpelt habe. Ich weiß, dass das eine\nseltsame Art ist, sich kennenzulernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nHihihi, ja, schon. Aber ich habe mehr über dich\ngelernt, als ich dachte.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nDu hast mir gezeigt, dass es im Leben um mehr\ngeht, als sich nur für den Krieg vorzubereiten.\nIch muss auch bereit für den Frieden sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSiehst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVielleicht können wir trotz allem voneinander\nlernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch berate dich gerne in Sachen Eleganz, wenn\ndu mir ein paar Trainingstipps gibst.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nKlar! Ich liebe es, Leute zu trainieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nZwischen uns beiden Hübschen, ein großer\nTeil hat mit Proteinpulver zu tun. Ich reserviere\netwas davon für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas klingt wunderbar. Wenn du eine Creme für\ndeine Hände brauchst, kenne ich da ein paar,\ndie gut sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nエーティエ\nHihihi! Wer hätte das gedacht? Es hat nicht so\nviel gebraucht, damit wir uns verstehen, was?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nVielleicht sollte ich mich sogar bei dir bedanken,\nweil du mir die letzte gebackene Kartoffel\nweggeschnappt hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas ist nicht nötig. Schließlich habe ich\ngestohlen.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch freue mich darauf, von dir zu lernen, Etie.\nUnd ich hoffe, dass es dir auch so geht.\x0E\x04\x00\x00
