MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nUnser Schiff hat angelegt.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06モーヴ\nDu wirst es erfahren, sobald wir an Bord sind.\nWenn dir das nicht passt, kannst du gerne\nhierbleiben.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06マロン\nHey! Was?! Ist ja gut, ist ja gut!\x0E\x04\x02\x00
MID_OP1_#019	Vorübergehender Waffenstillstand, bis ich\nbei Zephia und den anderen in Lythos bin.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x08\x06モーヴ\nSo soll es sein. Lasst uns gehen, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nJa.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0C\x06マロン\x023\n\x0E\x03\x02\x08\x06マロン\nDu bist das Kind von Lord Sombron?! Was?!\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nJa.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06マロン\nDas heißt also... du bist das Geschwister, nach\ndem Milady Veyle die ganze Zeit gesucht hat?!\x0E\x04\x02\x00
MID_OP2_#004	Und deshalb gehen wir nach Lythos... Moment\nmal. Weiß Griss darüber Bescheid?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nEr ist derjenige, der es mir gesagt hat.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06モーヴ\nGriss provozierte in Schloss Elusia einen Kampf,\num die Wahrheit zu überprüfen. Er gab dafür\nsogar absichtlich einen Ring ab.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x08\x06マロン\nWas?! Niemand hat mir erzählt, dass das\nder Plan war!\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nWarum gehen Sombron und Veyle nach Lythos?\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x08\x06モーヴ\nEs geht um Gradlon, das Land des Dämonen-\ndrachen. Er plant die Wiederherstellung.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nDie Wiederherstellung dieses unheiligen Lands?!\nMeine Güte.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nWas wisst Ihr noch darüber, Vander?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0C\nヴァンドレ\nGradlon versank vor tausend Jahren in den\nWellen.\x0E\x04\x02\x00
MID_OP2_#013	Es war Sombrons Land.\x0E\x04\x02\x00
MID_OP2_#014	Gradlon war so verdorben, wie Lythos heilig ist.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x08\x06モーヴ\nUm es emporzuheben und wiederherzustellen,\nmuss Sombron das Siegel \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin in\nLythos zerstören.\x0E\x04\x02\x00
MID_OP2_#016	Dieses Siegel ist es, was Gradlon an den\nMeeresgrund bindet. Ein... wahres Ärgernis\nfür Lord Sombron.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nDann ist Sombrons größtes Verlangen also...\ndie Wiederherstellung Gradlons?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06モーヴ\nWeit gefehlt. Sein Verlangen – falls dieses Wort\nLord Sombron angemessen ist – besteht darin,\nin andere Welten einzufallen.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nAndere Welten?!\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x08\x06モーヴ\nDer Kontinent Elyos ist für ihn nur ein Sprung-\nbrett. Er will sein Machtgebiet erweitern –\nüber alle Grenzen hinweg.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08リュール\nEs existieren also andere Welten und er will\nsie alle beherrschen. Wie... ist das überhaupt\nmöglich?\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x08\x06モーヴ\nDas übersteigt mein Wissen. Lord Sombron hat\nnur wenig davon mit mir geteilt.\x0E\x04\x02\x00
MID_OP2_#023	Was ich aber weiß, ist, dass Milady Veyle eine\nSchachfigur ist, die seinen höheren Zielen dient.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\nBitte erzähl mir, was du sonst noch weißt.\x0E\x04\x02\x00
MID_OP2_#025	Ich hörte, dass Veyle als Fehlgriff bezeichnet\nwird. Was hat das zu bedeuten?\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x08\x06モーヴ\nNun, zunächst einmal sollte der Drachenadel\nEmbleme beschwören können. Sie aber kann\ndas nicht.\x0E\x04\x02\x00
MID_OP2_#027	Lord Sombron stellte das kürzlich fest, als er\nkurz nach seiner Wiederbelebung wieder auf\nMilady Veyle traf.\x0E\x04\x02\x00
MID_OP2_#028	Alle seine Kinder haben im Krieg gekämpft.\nDoch sie, als sein jüngster Spross, hat nie einen\nKampf gesehen – und auch keine Embleme.\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x0A\x08リュール\nSie sagte, wir wären uns einmal begegnet,\nvor langer Zeit.\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x08\x06モーヴ\nIhr wart eines ihrer vielen Geschwister. Doch im\nLaufe der Zeit fielen sie alle im Krieg.\x0E\x04\x02\x00
MID_OP2_#031	Alle... außer Euch.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x08\x06モーヴ\nLord Sombron wurde versiegelt und ihre Mutter\nstarb. So blieb Milady Veyle allein zurück.\x0E\x04\x02\x00
MID_OP2_#034	Sie konnte keine Freunde finden – in einem Zeit-\nalter, in dem das Gerücht umging, dass mindes-\ntens ein Dämonendrachenkind überlebt habe.\x0E\x04\x02\x00
MID_OP2_#035	Milady Veyle lebte im Verborgenen und wusste,\ndass man sie töten würde, falls sie entdeckt\nwurde.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\nTausend Jahre lang so zu leben... All die Zeit\nganz allein?\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x08\x06モーヴ\nNicht ganz. Vor einigen Jahrhunderten kam sie\nin Kontakt mit Anhängern des Dämonendrachen.\x0E\x04\x02\x00
MID_OP2_#038	Unter ihrem Schutz schlief sie in einem\nversteckten Tempel, bis zur Erweckung\nLord Sombrons.\x0E\x04\x02\x00
MID_OP2_#039	Vor langer Zeit stand sie den Leuten im Tempel\nnahe. Doch als sie vor Kurzem erwachte...\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nSie waren alle tot, nicht wahr?\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle war daher erleichtert, sogar über-\nglücklich, wieder mit Lord Sombron vereint zu\nsein.\x0E\x04\x02\x00
MID_OP2_#042	Doch Sombron hasste sie und nannte sie einen\nFehlgriff, dem es an den Fähigkeiten und dem\nCharakter eines Dämonendrachen mangelte.\x0E\x04\x02\x00
MID_OP2_#043	Sombron verlangte dennoch Gehorsam von ihr,\nund so befahl er Zephia, Veyles Persönlichkeit\nzu verändern.\x0E\x04\x02\x00
MID_OP2_#044	Milady Veyle mag gedacht haben, sie sei nicht\nmehr allein, aber sie war niemals zuvor so allein\ngewesen.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x0A\x08リュール\nWie furchtbar...\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x08\x06マロン\n...\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x08\x06モーヴ\nWas ist los, Marni? Liegt es an den Wellen?\nBist du seekrank?\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x08\x06マロン\nNein! Ich versuche, nicht zu weinen! Ich... hatte\nja keine Ahnung, dass Milady Veyles Leben so\ntraurig war.\x0E\x04\x02\x00
MID_OP2_#049	Ich dachte, ich wäre diejenige mit der tragischen\nGeschichte. Vielleicht hätte ich netter zu ihr\nsein sollen. Wahrscheinlich.\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x08\x06モーヴ\nDu hast mir nie von deiner Vergangenheit\nerzählt, Marni.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x08\x06マロン\nNa ja, da gibt es auch nicht viel zu erzählen.\nIch wurde von meiner Mutter verlassen, das\nist alles.\x0E\x04\x02\x00
MID_OP2_#052	Ich hatte jede Menge Brüder und sie war der\nMeinung, dass sie keine Tochter braucht.\x0E\x04\x02\x00
MID_OP2_#053	Was seltsam war, denn ich war diesen nutzlosen\nMistkerlen schon damals haushoch überlegen...\x0E\x04\x02\x00
MID_OP2_#054	Ich meine, ich habe ihr am meisten geholfen,\naber sie hat sich nie bedankt oder mich gelobt.\x0E\x04\x02\x00
MID_OP2_#055	Unser erster Spaziergang zu zweit war nur dazu\nda, einen Ort zu finden, wo sie mich aussetzen\nkonnte.\x0E\x04\x02\x00
MID_OP2_#056	Man stelle sich vor, wir liefen von Ort zu Ort,\nmeine Hand in der ihren. Dann ließ sie mich\nvor einer Kirche zurück.\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x0A\x08リュール\nKaum zu glauben...\x0E\x04\x00\x00
MID_OP2_#058	\x0E\x03\x02\x08\x06マロン\nAch, halb so schlimm. Der Priester war nett und\nsolange ich mithalf, Lord Sombron zu befreien,\nhabe ich jede Menge Lob bekommen!\x0E\x04\x02\x00
MID_OP2_#059	Schließlich traf ich Zephia und schloss mich\nden Bluthunden an. Seht ihr? Milady Veyles\nGeschichte ist viel trauriger.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x08\x06モーヴ\nZephia formte die Vier Bluthunde zu einer\nGruppe hingebungsvoller Anhänger des\nDämonendrachen.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x0A\x08リュール\nDich etwa auch, Mauvier?\x0E\x04\x00\x00
MID_OP2_#062	\x0E\x03\x02\x08\x06モーヴ\nJa. Ich war in dem versteckten Tempel, in dem\nMilady Veyle schlief. Als sie aufwachte...\x0E\x04\x02\x00
MID_OP2_#063	Ich war da, um mich mit ihr zu unterhalten. Sie,\nein königlicher Drache, bat mich um meine\nFreundschaft.\x0E\x04\x02\x00
MID_OP2_#064	Ich sagte, dies sei nicht möglich. Milady Veyle\nbat mich dann, als Ritter in ihre Dienste zu\ntreten.\x0E\x04\x00\x00
MID_OP2_#065	\x0E\x03\x02\x0A\x08リュール\nUnd du hast eingewilligt.\x0E\x04\x00\x00
MID_OP2_#066	\x0E\x03\x02\x08\x06モーヴ\nIch konnte nicht ablehnen.\x0E\x04\x00\x00
MID_OP2_#067	\x0E\x03\x02\x08\x06マロン\nEs ist etwas Besonderes, auf diese Art von\nAdligen erwählt zu werden. Wer hätte denn das\nahnen können?\x0E\x04\x02\x00
MID_OP2_#068	Du, als ihr Ritter? Das ist grandios. Das meine\nich ernst, Mauvier. Das ist richtig klasse.\x0E\x04\x00\x00
MID_OP2_#069	\x0E\x03\x02\x08\x06モーヴ\nFalls du es wünschst, würde Milady Veyle dich\nsicher auch als ihre Ritterin akzeptieren.\x0E\x04\x00\x00
MID_OP2_#070	\x0E\x03\x02\x08\x06マロン\nWas? Auf keinen Fall. Ich möchte nicht so oft\nmit dir zusammenarbeiten. Kein Lob, kein\nDanke. Ich hasse dich.\x0E\x04\x00\x00
MID_OP2_#071	\x0E\x03\x02\x08\x06モーヴ\nTatsächlich?\x0E\x04\x00\x00
MID_OP2_#072	\x0E\x03\x02\x08\x06マロン\nAußerdem habe ich schon meinen Platz. Ich\nmuss zurück zu Zephia.\x0E\x04\x02\x00
MID_OP2_#073	Da du \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin geholfen hast, wirst du\nwahrscheinlich bei den Bluthunden rausfliegen.\x0E\x04\x00\x00
MID_OP2_#074	\x0E\x03\x02\x08\x06モーヴ\nDamit muss ich rechnen.\x0E\x04\x00\x00
MID_OP2_#075	\x0E\x03\x02\x08\x06マロン\nIch für meinen Teil bin gerne bei den Vier\nBluthunden. Sobald wir dieses Schiff verlassen,\nsind wir Feinde.\x0E\x04\x00\x00
MID_OP2_#076	\x0E\x03\x02\x08\x06モーヴ\nDu hasst mich also wirklich. Nun, dann wirst du\ngewiss glücklicher sein.\x0E\x04\x00\x00
MID_OP2_#077	\x0E\x03\x02\x08\x06マロン\nKorrekt. Ich habe nichts mehr zu sagen. Dies\nist für mich reine Zeitverschwendung.\x0E\x04\x00\x00
MID_OP2_#078	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x0A\x08リュール\nMauvier, danke, dass du uns all das erzählt hast.\x0E\x04\x02\x00
MID_OP2_#079	Wenn wir Veyle finden, solltest du tun, was\ndeiner Meinung nach am besten für sie ist.\x0E\x04\x02\x00
MID_OP2_#080	Auch wenn das bedeutet, dass wir erneut die\nKlingen kreuzen.\x0E\x04\x00\x00
MID_OP2_#081	\x0E\x03\x02\x08\x06モーヴ\nDas werde ich.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x02\x0A\x08リュール\nWas ist mit Lythos passiert? Das Land liegt in\nRuinen...\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEin sicheres Zeichen für Gradlons Wiederkehr –\noder dass unsere Feinde das Siegel \x0E\x0A\x00\x10\x06des\x06der Wyrm-\n\x0E\x0A\x00\x1C\x0Cgottes\x0Cgöttin zerstören.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0A\x08リュール\nWir müssen Sombron aufhalten. Wo finden wir\ndas Siegel?\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0C\nヴァンドレ\nIm Schloss – in Königin Lumeras Heim.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08リュール\nWer hätte gedacht, dass wir so etwas sehen\nwürden, wenn wir wieder hierherkommen.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nIch weiß, dass Ihr hier seid, Sombron!\nZeigt Euch!\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nAh, \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin ist angekommen.\x0E\x04\x02\x00
MID_OP4_#003	Oder soll ich dich „\x0E\x0A\x00@\x1CSchwindlergott Schwindlergöttin“ nennen?\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x08\x06セピア\nDu bist viel früher gekommen als erwartet.\nWoher wusstest du, wo du uns findest?\x0E\x04\x02\x00
MID_OP4_#006	Meine anderen beiden Kinder sind bisher noch\nnicht zu uns aufgeschlossen...\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x00\x0C\x06マロン\x024\n\x0E\x03\x02\x08\x06モーヴ\nIch nehme an, du meinst uns.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x02\x06\x04グリ\nWarum seid ihr bei ihnen?!\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x08\x06セピア\nIhr beide habt sie hergebracht? Und uns\nverraten? Unfassbar.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x08\x06マロン\nNein, bitte! Ihr versteht das falsch!\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x06\x04グリ\nFalsch?! Tss, für mich ist das recht eindeutig.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x08\x06モーヴ\nIch bin dafür verantwortlich. Ich wollte, dass\nMilady Veyle \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin trifft.\x0E\x04\x02\x00
MID_OP4_#013	Ich hätte sie sogar gezwungen, mitzukommen.\nAber das war gar nicht nötig. Marni hat damit\nnichts zu tun.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x08\x06マロン\nMauvier...\x0E\x04\x00\x00
MID_OP4_#015	\x0E\x03\x02\x08\x06モーヴ\nGeh zurück zu den Bluthunden, Marni.\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x02\x08\x06マロン\nA-aber...\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x02\x08\x06モーヴ\nZögere nicht. Geh. Jetzt!\x0E\x04\x00\x00
MID_OP4_#018	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x08\x06セピア\nMarni, willkommen zurück. Aber was sollen\nwir nur mit dir machen, Mauvier?\x0E\x04\x02\x00
MID_OP4_#019	Ich bin bereit zu vergeben und zu vergessen,\nwenn du eine gute Erklärung hast. Wir sind\nschließlich eine Familie.\x0E\x04\x00\x00
MID_OP4_#020	\x0E\x03\x02\x08\x06モーヴ\nWas für ein Unsinn. Ich weiß, dass du mich\nbestrafen wirst. Aber Milady Veyle wird \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin treffen.\x0E\x04\x00\x00
MID_OP4_#021	\x0E\x03\x02\x08\x06セピア\nDu unverschämter, selbstgerechter...\x0E\x04\x00\x00
MID_OP4_#022	\x0E\x03\x01\x06\x04グリ\n\x0E\x03\x00\x0E\x08ヴェイル\x023\n\x0E\x03\x02\x0A\x08ヴェイル\nSchon gut. Ich dachte gerade, ich würde auch\ngerne selbst mit \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin sprechen.\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x16\x10ヴェイル_黒_悪\x021\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x0A\x08リュール\nVeyle?! Was ist mit dir geschehen?\x0E\x04\x00\x00
MID_OP5_#002	\x0E\x03\x02\x12\x10ヴェイル_黒_悪\nHehehe! Schön, dich wiederzusehen.\x0E\x04\x00\x00
MID_OP5_#003	\x0E\x03\x02\x08\x06モーヴ\nWas habt ihr Milady Veyle angetan?\x0E\x04\x00\x00
MID_OP5_#004	\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\nIch habe dir bereits von Lord Sombrons\nmagischem Helm erzählt. Mein magischer\nSpruch zeigt nun seine wahre Wirkung.\x0E\x04\x00\x00
MID_OP5_#005	\x0E\x03\x02\x0A\x08リュール\nVeyle, weißt du, wer ich bin?!\x0E\x04\x00\x00
MID_OP5_#006	\x0E\x03\x02\x12\x10ヴェイル_黒_悪\nDu bist mein lieber, lange vermisster Bruder.\nWelch ein glückliches Wiedersehen.\x0E\x04\x02\x00
MID_OP5_#006_F	\x0E\x03\x02\x12\x10ヴェイル_黒_悪\nDu bist meine liebe, lange vermisste Schwester.\nWelch ein glückliches Wiedersehen.\x0E\x04\x02\x00
MID_OP5_#007	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP5_#008	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x02\x08\x06マロン\nWas-- Das ist es, was du mit ihr machen\nwolltest? Kann die andere Milady Veyle wieder\nzurückkommen?\x0E\x04\x00\x00
MID_OP5_#009	\x0E\x03\x02\x08\x06セピア\nNiemals. Zumindest solange sie den Helm\nträgt und dieser intakt bleibt.\x0E\x04\x02\x00
MID_OP5_#010	Ihre andere Persönlichkeit ist tot.\x0E\x04\x00\x00
MID_OP5_#011	\x0E\x03\x02\x08\x06マロン\nT-tot?\x0E\x04\x00\x00
MID_OP5_#012	\x0E\x03\x02\x08\x06セピア\nOh, bitte. Du solltest erfreut sein. Du musst\nnicht mehr mit dem Fehlgriff sprechen.\x0E\x04\x00\x00
MID_OP5_#013	\x0E\x03\x02\x08\x06マロン\nZephia, du wusstest über Veyles Vergangenheit\nBescheid. Du hast damals schon gelebt...\x0E\x04\x00\x00
MID_OP5_#014	\x0E\x03\x02\x08\x06セピア\nWas?\x0E\x04\x00\x00
MID_OP5_#015	\x0E\x03\x02\x08\x06マロン\nIch meine, ich wusste nichts davon... als ich\neuch bei all den schrecklichen Dingen geholfen\nhabe.\x0E\x04\x02\x00
MID_OP5_#016	Milady Veyle war so lange ganz allein. Und sie\nhat sich so gefreut, ihre Familie wiederzusehen.\x0E\x04\x02\x00
MID_OP5_#017	Sie konnte sich nie daran erfreuen. Und nun\nwird sie es niemals können. Es ist alles so\nschrecklich.\x0E\x04\x00\x00
MID_OP5_#018	\x0E\x03\x02\x08\x06セピア\nWas soll das denn, Marni?\x0E\x04\x00\x00
MID_OP5_#019	\x0E\x03\x02\x08\x06マロン\nZephia, ich habe es geliebt, wenn du mich\ngelobt hast.\x0E\x04\x02\x00
MID_OP5_#020	Ich habe es geliebt, wenn du uns als Familie\nbezeichnet hast. Ich habe es geliebt, dazuzu-\ngehören. Ich habe die Vier Bluthunde geliebt.\x0E\x04\x02\x00
MID_OP5_#021	Aber nun sind wir zu weit gegangen.\x0E\x04\x02\x00
MID_OP5_#022	Ich werde tun, was richtig ist. Lob hin oder her.\x0E\x04\x00\x00
MID_OP5_#023	\x0E\x03\x02\x08\x06セピア\nMarni?!\x0E\x04\x00\x00
MID_OP5_#024	\x0E\x03\x02\x08\x06マロン\nIch werde Milady Veyle befreien! Ich werde\nden Helm zerstören!\x0E\x04\x00\x00
MID_OP5_#025	\x0E\x03\x02\x08\x06セピア\nNein! Halt!\x0E\x04\x00\x00
MID_OP5C_#001	\x0E\x03\x02\x08\x06マロン\nHIYAAAH!
MID_OP5C_#002	...\x0E\x04\x00\x00
MID_OP5C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nMarni, das war armselig. Ein solcher Angriff kann\nVaters Geschenk nicht mal einen Kratzer zufügen.\x0E\x04\x00\x00
MID_OP5C_#004	\x0E\x03\x02\x08\x06マロン\nIch habe all meine Kraft hineingelegt,\nund es hat nichts ausgerichtet?\x0E\x04\x00\x00
MID_OP5C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nDu wolltest mich wohl befreien, du Närrin.\nAber wie sich herausstellt, hast du dabei versagt.\x0E\x04\x00\x00
MID_OP5C_#006	\x0E\x03\x02\x08\x06マロン\nNein...\x0E\x04\x00\x00
MID_OP5C_#007	\x0E\x03\x02\x08\x06セピア\nIch habe dir befohlen, das zu lassen,\noder etwa nicht?\x0E\x04\x02\x00
MID_OP5C_#008	Was für ein ungehorsames Mädchen.\x0E\x04\x00\x00
MID_OP5C_#009	\x0E\x03\x02\x08\x06マロン\nIch...\x0E\x04\x00\x00
MID_OP5C_#010	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP5C_#011	\x0E\x03\x02\x08\x06セピア\nDu bist ein sehr ungezogenes Kind.\nWenn du doch nur auf mich gehört hättest...\x0E\x04\x00\x00
MID_OP5C_#012	\x0E\x03\x02\x08\x06マロン\nZe... phi... a...\x0E\x04\x00\x00
MID_OP5C_#013	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nMarni!\x0E\x04\x00\x00
MID_OP5C_#014	\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x02\x08\x06マロン\nMauvier...\x0E\x04\x02\x00
MID_OP5C_#015	Es tut mir leid... Ich wollte sie retten, aber...\nletztendlich war ich wohl nicht stark genug.\x0E\x04\x02\x00
MID_OP5C_#016	Wenn sie... jemals wieder so wird wie früher...\nKannst du ihr etwas von mir sagen?\x0E\x04\x02\x00
MID_OP5C_#017	Bitte sag ihr, dass... sie sich...\ngut geschlagen hat, ja?\x0E\x04\x02\x00
