MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nYunaka, ich habe ein Gerücht vernommen,\nnachdem du gut im Imitieren anderer seist.\nIst das wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nIch verspreche dir, jeder wird sich gut\nunterhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nMeine Augen sind geschlossen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nMeine Hand ist hier. Vertraust du mir, dann\nnimm sie... und lass sie niemals wieder los.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nEure Zeilen... Warum habt Ihr...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nHaaach.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ユナカ\nWenn Ihr Euch sicher seid, dass es dies ist,\nwas Ihr wollt... So werde ich an Euch glauben.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nDanke, dass du meine Hand genommen hast.\nDu bist für diese Bühne bestimmt, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nHahaha, solange ich Euer Versprechen habe,\nkann ich ehrlich behaupten, dass ich mich\nviel besser fühle.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nBald wird jeder dich als die talentierte\nDarstellerin erkennen, die ich in dir sehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nDanke, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nNun, dann sollten wir sie nicht warten lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nDa sind eine Menge Leute, die darauf zählen,\ndass wir sie zum Lächeln bringen!\x0E\x04\x00\x00
