MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nEs ist seltsam... Auch wenn wir noch nicht lange\ngemeinsam kämpfen, so verstehen wir einander\ndoch schon gut.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06クロム\nIhr tut bereits mehr als notwendig. Lasst mich\nauch Euch unterstützen. Verlasst Euch im\nKampf gerne auf mich.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nClanne... Versuchst du etwa, dich vor mir zu\nverstecken? Man sieht dich nämlich sehr\ndeutlich...\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nWah! Verzeiht, Mylord Chrom. Ich habe mich\nbloß versteckt, weil ich Euch so bewundere!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nHabt Ihr Geschwister, Mylord Chrom? Wie sind\nsie denn so?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クロム\nMeine große Schwester war unglaublich\nmitfühlend, und meine kleine Schwester\nwar freundlich und fröhlich.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nHach, wenn ich nur so stark sein könnte wie Ihr.\nDann wäre ich \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin eine größere\nHilfe...\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クロム\nIch denke, du bist stark – so, wie du bist.\nUnd solange du dich forderst, wirst du auch\nweiterhin wachsen.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クロム\nAls ich anfing, war ich nicht stark. Dank\nmeiner Freunde und meinem Volk konnte\nich wachsen.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nDanke für die Ermutigung. Das nehme ich mir\nzu Herzen; ich werde daran arbeiten, so hart\nich kann!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nIch möchte es ganz offiziell aussprechen:\nEs ist schön, mit Euch zusammenzuarbeiten.\nIch bin Eure Quelle für alle \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin-Infos!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06クロム\nGanz meinerseits. Allerdings... ist das doch sehr\nspezifisch. Nun, sobald ich eine \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin-\nFrage habe, werde ich mich an dich wenden.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nIhr und Daraen seid zusammen ein Emblem,\nnicht wahr? Was tut Ihr, wenn Ihr nicht gerade\nkämpft?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06クロム\nNun, ich trainiere und gehe spazieren. Und\nDaraen liest meistens Romane oder\nZauberbücher.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nWas muss ich tun, um so ein starker Krieger\nwie Ihr zu werden, Mylord Chrom?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06クロム\nDu musst jeden Tag trainieren und natürlich\ngutes Essen zu dir nehmen. Und vor allem\nniemals aufgeben.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06クロム\nHalte durch, gegen alle Widrigkeiten. Kämpfe\nfür alles, was dir lieb und teuer ist. Diese\nEinstellung verleiht dir Kraft.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nIhr seid wirklich der Beste. Ein toller Ratschlag.\nIch will immer stärker werden, um meine\nFreunde zu beschützen.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIch wisst sicher genau, wie man regiert.\nWas sind denn so Eure geheimen Kniffe,\num großartig zu erscheinen?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06クロム\nIch bin nicht die beste Person, die man dazu\nfragen kann. Aber ich versuche immer, jene zu\nverstehen, mit denen ich zusammenarbeite.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMann, sogar Eure Muskeln sind großartig.\nIch sollte noch härter trainieren. Gleich morgen\nfrüh fange ich an!\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06クロム\nMorgendliches Training? Ihr seid aber motiviert.\nVielleicht sollte ich auch früher trainieren.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nAh, wieder beim morgendlichen Lauf, wie ich\nsehe. Ich werde mit Euren Anstrengungen\nniemals mithalten können.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch sehe es nicht als Anstrengung – ich liebe es\neinfach, zu trainieren. Ich genieße es\nwahrscheinlich mehr als jeder andere in Firene.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06クロム\nAch ja? Dann passen wir gut zusammen – denn\nich bin ein Meister darin, während des Trainings\nDinge kaputtzumachen.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIst... das etwas, worauf man stolz sein sollte?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nEs ist eine Ehre, an Eurer Seite zu kämpfen,\nEmblem der Bande. Ich muss jetzt noch\nwachsamer sein.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06クロム\nIch weiß den Enthusiasmus zu schätzen, aber\nbitte, es geht auch weniger formell. Wir sind\ndoch Freunde, nicht wahr?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nIhr habt mir den Heimweg gezeigt, als ich mich\nneulich wieder mal verlaufen hatte. Das war\nsehr hilfsbereit von Euch.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06クロム\nIch war einst der Anführer einer Gruppe namens\nHirten. Es liegt mir einfach, andere zu führen.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nIch frage mich: Warst du schon immer so stark?\nOder kommt das alles von deinem Training?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nDas kommt wohl nur von meiner Arbeit als\nkönigliche Leibwache. Dadurch kann ich selbst\ndiese Axt mit Leichtigkeit schwingen.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06クロム\nEiner meiner Hirten konnte ebenfalls tödlich\ngut mit der Axt umgehen. ...Wenn er nicht\ngerade vergessen hatte, sie mitzubringen.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nUnbewaffnet in die Schlacht ziehen? Wie\nfurchtbar! Wenn er noch lebt, sagt ihm, ich\nwürde ihn gerne mal kennenlernen.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nHe, Chrom, was soll ich nur tun? Ich war beim\nTraining etwas übereifrig und habe eine Mauer\neingerissen.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06クロム\nDa kann ich aus eigener Erfahrung sagen:\nDu schuldest jemandem eine Entschuldigung.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nDu siehst bedrückt aus, Etie. Ist alles in\nOrdnung? Ich bin hier, falls du reden möchtest.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nIch muss nach dem Kriegsrat nur ein bisschen\nDampf ablassen. Los, wir laufen hundert\nRunden und reden dabei!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nIhr seid früh wach. Ich glaube, sogar Prinz\nAlfred liegt noch im Bett.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06クロム\nIch konnte nicht schlafen, also wollte ich mich\nmüde trainieren. Warum bist du schon auf?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nIch dachte, es wäre schön, zur Abwechslung\nmal unter den Sternen zu laufen. Wollt Ihr\nmitmachen?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06クロム\nEin Lauf unter den Sternen klingt sehr schön.\nDu führst. Danach werde ich sicher gut schlafen\nkönnen.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nIhr wart wirklich fantastisch in der letzten\nSchlacht, Céline. Ruht Euch für die kommende\ngut aus.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDanke. Das Entscheidende war Eure Gegenwart.\nAchtet auch Ihr darauf, nicht zu übertreiben.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nWas ist das für ein süßer Duft? So delikat\nund leicht, er wärmt mein Herz...\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDas ist schwarzer Tee, der nur in Firene wächst.\nDie Sorte nennt sich Ylisse – genau wie Euer\nHeimatland.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIch möchte stärker werden, um mein Königreich\nzu beschützen. Ich werde dafür tun, was auch\nimmer notwendig ist.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06クロム\nMir geht es genauso. Und da unsere Ziele sich\ngleichen, bin ich froh, Euch meine Stärke zu\nleihen.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nSollte die Welt jemals frei von Konflikten sein,\nmöchte ich, dass wir alle gemeinsam eine\nTeeparty feiern.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06クロム\nIhr müsst den Tee von neulich servieren.\nBei seinem lieblichen Duft können wir dann\nüber die Zukunft sprechen.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nIhr und Daraen wohnt gemeinsam in diesem\nArmring, nicht wahr? Wie schön, wenn man\nimmer zusammen ist.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06クロム\nDaraen und ich teilen eine unzertrennliche\nVerbindung. Es ist nur folgerichtig, dass wir\ngemeinsam als Embleme dienen.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nAuch wenn Ihr und Daraen ein gemeinsames\nEmblem seid, kommt es doch sehr selten vor,\ndass Ihr Euch beide gemeinsam zeigt. Hmm...\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06クロム\nSchau nicht so enttäuscht. Ich werde es\neinrichten, dass wir zumindest manchmal\ngemeinsam hier sind.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nIch bin unter Männern aufgewachsen, aber ich\nhabe gehört, dass Ihr nur Schwestern um Euch\nhattet.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06クロム\nDas ist richtig. Ich habe mich oft gefragt, wie\nes wäre, einen Bruder zu haben.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nVielleicht finden wir einen Ersatzbruder für\nEuch. Es gibt bestimmt mehrere Verbündete,\ndie diese Rolle übernehmen könnten.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06クロム\nHa, das klingt spaßig. Bewirbst du dich auch\num diese Position?\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nDaraen und Ihr seid ein so schönes Paar.\nWie aus einem meiner Märchenbücher!\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06クロム\nOh? Das ist sehr freundlich von dir. Danke.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nWas isst du da, Chloé? Es riecht gut, aber\naussehen tut es...\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nEin Sandwich aus Fett, Kuhgedärmen und Blut.\nSo lecker. Und es macht schön satt!\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nSchaut mal, was ich auf dem Markt gekauft\nhabe: Fischeier-Milch und gebratenes\nVogelblut-Brot.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロム\nOh. Ja. Sehr... interessant. Das erinnert mich\ndaran, wie einer meiner Freunde mal etwas\nzu essen bereiten wollte.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nEs ist so köstlich, dass ich quietschen könnte.\nIch teile gerne. Wollt Ihr kosten?\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロム\nOft genug bedaure ich, nicht essen zu können.\nDoch heute bin ich aufrichtig froh, ein Emblem\nzu sein.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAls Blutsverwandter des Heldenkönigs Marth\nseid Ihr stets ein würdiger Gegner. Zum Duell!\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06クロム\nSehr wohl. Ich möchte gerne selbst erleben,\nwozu der Kronprinz einer mächtigen Nation\nfähig ist.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin der Nächste in der Thronfolge, doch ich\nhabe Momente der Unsicherheit. Geht es Euch\nauch manchmal so?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06クロム\nDie Trauer über den Verlust meiner Schwester\nüberwog meine Ängstlichkeit als Herrscher\nbei Weitem, aber ich verstehe, was Ihr meint.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIhr sprecht voller Frohsinn über Eure Ver-\ngangenheit. Haben Euch die Einschränkungen\ndes königlichen Blutes niemals belastet?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06クロム\nEine Weile lang schon. Doch meine Zeit bei den\nHirten half mir, die Augen zu öffnen.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06クロム\nFreiheit ist ein Geisteszustand. Im Zweifel hilft\nein Wechsel der Perspektive.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nEine interessante Sichtweise. Da mag was\ndran sein.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nEs ist mein Traum, ein richtig mächtiger Ritter\nzu werden. Eine echte Legende! Ich bin froh,\nmit Euch zusammenzuarbeiten!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06クロム\nHa! Du erinnerst mich an meinen Neffen.\nLass uns zusammenarbeiten, um deinen\nTraum zu verwirklichen.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nDein Kampfstil ist beeindruckend. Wo hast du\ndenn diese Techniken erlernt?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nIch habe zu Hause im Alpaka-Weiler jeden Tag\n10 Stunden lang trainiert, um ein Ritter zu\nwerden.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nIch habe einen richtig guten Lauf, seit Ihr\nmeinen Kampfstil gelobt habt. Nicht mehr lange,\nund ich bin ein legendärer Ritter.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nIch mag nur ein einfacher Bürger sein, aber ich\nhabe trotzdem von Euch und Prinz Diamant\ngenügend gelernt, um es zu schaffen!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06クロム\nEs lohnt sich, dich im Auge zu behalten.\nSelbst gegen altgediente Veteranen stehst du\ndeinen Mann, kein Zweifel.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06クロム\nIch leihe dir weiterhin meine Kraft, damit du\ndiese Einstellung nicht verlierst, bis du eine\nLegende geworden bist.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nDeine frühere Tätigkeit als Leibwächterin klingt\nähnlich wie meine Bemühungen, eine freiwillige\nMiliz aufzubauen.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nVerglichen mit Euren Hirten hat jemand wie ich\nnoch viel zu lernen. Ich habe eben gerne etwas\nzu tun.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nMögt Ihr mir von Eurer Welt erzählen?\nIch würde sie gerne als Grundlage für\nmeinen neuen Roman verwenden.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06クロム\nIch kann dir von der ehemaligen Erhabenen\nerzählen. Für mich war sie auch eine\nsanftmütige große Schwester.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIch habe erkannt, dass Ihr über die große Macht\nverfügt, jede Mauer einzureißen.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06クロム\nNicht absichtlich. Es passiert einfach so,\nwährend ich trainiere.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nDas Ergebnis bleibt das Gleiche. Könntet Ihr mir\nhelfen, nach Erz zu schürfen?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06クロム\nGerne. Holen wir auch Daraen dazu. Er weiß\ngenau, wie wir den Ertrag maximieren können.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nTrotz all Eurer Fähigkeiten seid Ihr viel zu\nunterwürfig. Hilft es Eurem Selbstvertrauen,\nwenn ich Euch Lobeshymnen singe?\x0E\x04\x00\x00
