MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nFertig... Es ist geschafft. Verflucht, was soll ich\nnun tun? Wie kann ich nun... weiterleben?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nOje. Es tut mir leid, das zu hören.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nDennoch fühle ich mich in letzter Zeit viel...\noptimistischer.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nEhrlich?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nMir wurde etwas... klar... als ich den Leuten\nmit ihren Problemen geholfen habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMir wurde klar, dass jeder von ihn auf seine\nArt wie ein... Vogel... ist, der noch lernen muss,\nwie man fliegt.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nMein Rat konzentrierte sich darauf, ihnen zu\nhelfen, sich selbst zu helfen. Und zu lernen,\ndas Nest zu... verlassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nGenau wie mein... Kleiner.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nEs so zu... betrachten... half mir während\ndes Schreibens.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nVerstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nIch bin dir... dankbar... Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nWieso sagst du das? Du hast mir doch einen\nGefallen getan!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nDu hast mich um Hilfe gebeten, genau...\nwissend... das es mir am Ende helfen würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\nHahaha, ich bin mir sicher, dass ich keine\nAhnung habe, wovon du redest.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nHa, du bist wundervoll. Wahrhaftig.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nNun denn. Ich werde dich nun verlassen. Es\nist an der Zeit, mir eine neue Betätigung zu...\nsuchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nIch weiß, es wird großartig werden, was immer\nes auch sein wird.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nIch danke dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nNoch eine Sache... bevor... ich gehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nOh? Was denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nLass uns diese Freundschaft fortführen.\nSie ist mir... wichtig... geworden.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nHahaha. Keine Sorge, Zelkov. Ich habe nicht\nvor, dir davonzufliegen.\x0E\x04\x00\x00
