MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08リュール\nIch habe unsere Teestunde heute wirklich\ngenossen. Danke für die Einladung, Céline.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nKummer ist ein Luxus, den sich jemand in\nmeiner Position nicht leisten kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nHmmm... Ihr mögt Euer Herz vielleicht verhärtet\nhaben, doch nichtsdestotrotz besitzt Ihr eines.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nIch weiß Eure Empathie zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nEs gibt nichts, das ich zum Schutze meines\nKönigreichs nicht tun würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nUm den Frieden zu wahren, würde ich ohne zu\nzögern meine Klinge ziehen. Mein ganzes Leben\nhabe ich mich darauf vorbereitet.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nGleichwohl...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nIch empfinde keinerlei Genugtuung in dem,\nwas getan werden muss.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nEin Zeichen von Schwäche, fürchte ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nDies ist keine Schwäche, sondern Güte.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nDieselbe Güte, die sich im Charakter der\nFirener widerspiegelt.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nIhr seid zu großzügig, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, hättet Ihr einen Moment Zeit?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAber natürlich, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08セリーヌ\nEs geht um ein Thema, über das wir neulich\nsprachen.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08セリーヌ\nIch sagte Euch ja bereits, dass ich nicht zögern\nwürde, meine Klinge zum Wohle meiner Nation\nzu ziehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08セリーヌ\nDass ich, um für mein Volk Frieden zu erlangen,\nsogar Krieg führen würde.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nJa, daran erinnere ich mich.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08セリーヌ\nDoch nun spüre ich, wie meine Entschlossenheit\nins Wanken gerät.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08セリーヌ\nIch frage mich, ob ich bei meinem Streben nach\nFrieden wirklich so gnadenlos handeln könnte.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nFür jemanden, der so gütig ist wie Ihr, Céline,\nist dies nur zu verständlich.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08セリーヌ\nDies ist keine Güte! Dies ist bloß eine Form\nder Feigheit.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08セリーヌ\nDie Art von Feigheit, die von der Furcht\ngenährt wird, was andere von mir denken.\nIch fürchte, dass Ihr mich hassen würdet.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08セリーヌ\nDeshalb bitte ich Euch, mich zu verachten.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08セリーヌ\nVerachtet mich dafür, dass ich meine Gefühle\nvor meine königlichen Pflichten stelle.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08セリーヌ\nZu wissen, Euch enttäuscht zu haben, würde\nmir gewiss dabei helfen, wieder gnadenlos für\nmein Volk zu kämpfen.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nIch möchte Euch das hier schenken, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08セリーヌ\nIst das... der Paktring?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nIhr könntet mich niemals enttäuschen.\nWas immer Ihr auch tun werdet, ich werde\nEuch stets unterstützen.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nGanz gleich, ob es nun für das Königreich\nFirene oder für Euch selbst ist. Was auch\nimmer Eure Motivation sein mag...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIch werde Euch zur Seite stehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08セリーヌ\nDann... könnt Ihr also nichts Abscheuliches in\nmeinem stählernen Herzen erblicken?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nNein. Denn ich weiß, dass Euer Herz mehr als\ndas zu bieten hat. Welche Entscheidungen Ihr\nauch glaubt, treffen zu müssen...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nWir werden uns gemeinsam den Konsequenzen\nstellen. Ihr braucht dies nicht länger allein tun.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08セリーヌ\nIch danke Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08セリーヌ\nMit Euch an meiner Seite, welchen Grund für\nFeigheit könnte es da noch geben?\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08セリーヌ\nEs ist Freude, die mich stattdessen erwartet.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08セリーヌ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Eure standhafte Unterstützung hat\nmich von einer schweren Last befreit. Ihr seid\n\x0E\x0A\x00L"ein wahrer Freund&eine wahre Freundin.\x0E\x04\x00\x00
