MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIch spüre die Wärme, die du deinem jüngeren\nBruder entgegenbringst. Wir zwei werden uns\nbestimmt gut verstehen.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nBitte verzeih. Als ich hörte, du seist jemandes\nkleiner Bruder, konnte ich nicht anders, als mir\ndich als niedlichen Fratz vorzustellen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nRafal? Ich fürchte fast, als große Schwester zu\nversagen. Verglichen mit Nel muss ich eine recht\njämmerliche Figur abgeben.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nVersagen? Was soll dieser Unsinn? Hattest du\ndich in deiner Welt nicht auch um ein jüngeres\nGeschwister gekümmert?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nSo könnte man sagen. Er hat mich damals\ngesucht - und mich gefunden. Der Grund dafür\nwar mir nie so wirklich klar.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nDas ist doch wohl offensichtlich. Du hast ihm\nviel bedeutet. Es sind nicht immer nur die\nälteren Geschwister, die sich Sorgen machen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nWie ich hörte, kannst du in die Zukunft blicken,\nMicaiah. Wie aufregend! Ich hoffe, wir werden\nuns von nun an häufiger unterhalten können.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nDas hoffe ich auch, Zelestia. Ich erkenne viel\nGüte und Mitgefühl in dir... und beides wird auf\newig ein großer Teil von dir sein.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVersteh mich bitte nicht falsch, aber für eine\nAnführerin, die ganze Armeen befehligt hat,\nhätte ich dich nun wirklich nicht gehalten.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nDa bist du nicht die Erste. Wobei mir diese\nPosition eher zufällig zuteilwurde.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDu hast dich also ganz plötzlich in dieser\nRolle wiedergefunden. Und die Person, die du\nbeschützen musstest – wie war sie so?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nDer König war äußerst sanftmütig und stellte\ndas Wohl seines Volkes über alles. Seine Nach-\ngiebigkeit jedoch bereitete mir große Sorgen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nZu viel Güte kann auch ihre Nachteile haben...\nIch bin mir sicher, dass man ihn in Zeiten des\nFriedens als weisen König verehrt hätte.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nIch danke dir, dass du mir mehr über dich\nerzählt hast. Vielleicht können wir uns nächstes\nMal über unsere Lieblingsessen austauschen.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIch weiß deine Unterstützung im letzten Gefecht\nwirklich zu schätzen, Gregory. Von nun an\nwerde ich dich wohl häufiger um Hilfe bitten.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nDas ist wirklich sehr nett von dir, aber gewöhne\ndich nicht zu sehr daran. Am Ende enttäusche\nich dich vielleicht.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nDein Befehl zum Rückzug war eine weise\nEntscheidung. Ich hoffe, ich werde eines Tages\nauch so scharfsichtig im Kampf sein.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nWenn du mir weiterhin so viel schmeichelst,\nglaube ich noch tatsächlich, dass ich immer\nstärker werde...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMan hat mir gesagt, dass du einst in deiner\nHeimatwelt zum Kämpfen gezwungen wurdest.\nWieso bist du nicht einfach fortgelaufen?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nSelbst, wenn ich gewollt hätte, hätte ich das\nnicht gekonnt. All die ausweglosen Schlachten\nhatten einen seltsamen Effekt auf mich...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nIch... veränderte mich. Das musste ich, um zu\nüberleben. Doch so sehr ich das Kämpfen auch\nhasste, ich hörte nicht auf damit.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nDu wirkst so sanftmütig, und doch bist du eine\nKämpferin. Solltest du jedoch eines Tages fort-\nlaufen wollen, werde ich dir das nicht verübeln.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nWie ich hörte, könnt Ihr in die Zukunft blicken.\nMit solch einer Gabe müsst Ihr ganz gewiss in\nkeiner Schlacht Angst haben!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nAch, wenn es doch nur so wäre... Leider kann\nich nur flüchtige Blicke auf die Zukunft werfen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nMadeline, ich mache mir Sorgen um dich...\nWie geht es deiner Verletzung? Lass mich\nnur kurz einen Blick darauf werfen.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nMir geht es gut... Oooh! Wie warm Eure Hände\ndoch sind. Obwohl ich sie nicht berühren kann,\nso spüre ich ihre Wärme am ganzen Körper.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nMeine Trainingserfolge in letzter Zeit ließen\netwas zu wünschen übrig. Wie schaffe ich es\nbloß, noch stärker zu werden?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nIch fürchte, dafür gibt es kein Geheimrezept.\nGib einfach weiterhin dein Bestes, und zwar\nTag für Tag.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nIch habe mit eigenen Augen gesehen, wie du\ndie, die du liebst, beschützt. Meiner Meinung\nnach bist du bereits eine großartige Ritterin.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nE-Eure Worte beschämen und erfreuen mich\ngleichermaßen. Lasst mich Euch versichern,\ndass ich weiter stets mein Bestes geben werde!\x0E\x04\x00\x00
