MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nVielen Dank, dass du mit mir trainiert hast,\nMadeline.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nWürde ich sagen. Danke, dass du wieder mit\nmir trainierst, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nMit Vergnügen. Ernsthaft, ich weiß jede Chance\nzu schätzen, die mir zu Bewegung verhilft.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Haaach.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nStimmt etwas nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nGanz im Gegenteil. Ich habe gerade daran\ngedacht, wie glücklich es mich macht, hier in\nEurer Welt zu sein.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Ich müsste lügen, wenn ich sagen würde, dass\nich keine Zweifel oder kein Bedauern verspüre.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Aber hier bei Euch zu sein, gibt mir das Gefühl,\ndass ich zu der Ritterin werde, die ich werden\nsollte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nEs freut mich, dass du das sagst.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Dennoch... Es tut mir immer noch leid, dass ich\ndich gebeten habe, deine Welt zu verlassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nBitte entschuldigt Euch nicht. Seit ich hier bin,\nhabe ich so viel an Erfahrung gewonnen und\nnun...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Huch!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nEin Käfer! Keine Sorge, Madeline. Ich kümmere\nmich um ihn.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nマデリーン\nNein... Ich schaffe das.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Ich schaffe das, ich schaffe das... Iiihii.\nAlso, husch! Husch!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nNa also! Das hast du gut gemacht.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nマデリーン\nPuuuh. Ich hatte Angst... so eine Angst...\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Aber nicht so wie letztes Mal, und das will\nschon was heißen.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Ich bin froh hier zu sein, froh, zu lernen, wie ich\nmeine Schwächen überwinde, mit Verbündeten\nan meiner Seite, die ich verehre und respektiere.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Ich bezweifle, dass ich so eine Entwicklung\nhätte durchmachen können, wenn ich nicht in\ndiese Welt gekommen wäre.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Das war es, was ich sagen wollte. Kurz\ngefasst: Danke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nIch danke dir dafür, dass du so eine gute\nRitterin bist. Und Trainingspartnerin.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nマデリーン\nHahaha. Ja. Ich werde stets danach streben,\nmich in beidem auszuzeichnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nDaran zweifle ich keine Sekunde lang.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nMadeline, du bist ja so spät noch auf.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nマデリーン\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, hallo. Ja... Ich konnte nicht schlafen.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nDas tut mir leid zu hören. Hast du etwas auf\ndem Herzen?\x0E\x04\x02\x00
MID_RELIANCE_S_#004	Ich will nicht neugierig erscheinen. Aber wenn\nmich etwas aufregt, hilft es mir, wenn ich es\nmir von der Seele rede.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nマデリーン\nJa, da habt Ihr vermutlich recht.\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Wisst Ihr... Ich kann nicht aufhören, an Mauvier\nzu denken. Also, den aus meiner Welt.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nAh... Ja.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nマデリーン\nEs ist nicht so, dass ich es bedauere, hier zu\nsein. Das tue ich nicht. Aber ich werde das Ge-\nfühl nicht los, ihn im Stich gelassen zu haben.\x0E\x04\x02\x00
MID_RELIANCE_S_#009	Ich wünschte, ich hätte den Stab für den Tele-\nport eher gesehen... Ich wünschte, ich wäre\nstärker gewesen.\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Vielleicht würde er dann noch leben – hier mit\nuns allen zusammen leben.\x0E\x04\x02\x00
MID_RELIANCE_S_#011	Ach. All diese Gedanken belasten mich des\nNachts, wenn ich zu schlafen versuche.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nMadeline...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nマデリーン\nVerzeiht. Beachtet mich gar nicht. Ich weiß,\ndass es unergiebig ist, über diese Dinge nach-\nzudenken.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nMag sein. Aber ich weiß, wie du dich fühlst.\nIch empfinde Reue für das, was meiner Mutter\npassiert ist.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Je mehr ich versuche, diese Gedanken zu\nunterdrücken, desto mächtiger kommen sie\nzu mir.\x0E\x04\x02\x00
MID_RELIANCE_S_#016	Aber das ist in Ordnung. Sollten deine Gedan-\nken dich plagen, kannst du gerne zu mir\nkommen, um dich auszusprechen.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nマデリーン\nIch schätze Eure Geste, aber das ist bei Weitem\nnicht so leicht, wie Euch zu einem Übungskampf\neinzuladen.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Ihr seid \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, und ich bin eine\nRitterin. Ich kann Euch nicht darum bitten,\nmeine Last mit mir zu tragen.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nVielleicht würdest du anders empfinden, wenn\ndu nicht nur eine Ritterin wärst... sondern meine\nRitterin.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nマデリーン\nVerzeihung?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nTut mir leid. Das kommt plötzlich, das weiß ich.\nAber ich habe das schon eine ganze Weile in\nBetracht gezogen.\x0E\x04\x02\x00
MID_RELIANCE_S_#022	Du bist gewissenhaft, mutig, verlässlich... Wer\nwäre besser geeignet, um meine rechte Hand\nzu werden?\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Und so könnte ich dich dann auch besser\nunterstützen. Daher bitte ich dich... Nimm\ndies an.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nマデリーン\nDer Paktring! Aber, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nIch weiß, dass Mauvier immer jemand\nbesonderes für dich sein wird. Das will ich\nauch gar nicht ändern.\x0E\x04\x02\x00
MID_RELIANCE_S_#026	Deine Loyalität ihm gegenüber ist beständig,\nund ich würde dich niemals bitten, sie aufzu-\ngeben.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Ich gebe dir diesen Ring, um dir zu zeigen, dass\ndu mir ebenso wichtig bist, wie er dir.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nマデリーン\nOh...\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Ich finde gar keinen Anfang, um auszudrücken,\nwie glücklich mich all dies macht.\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Aber... kann ich dieses Angebot wirklich\nannehmen?\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nDas kannst nur du dir beantworten.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0C\nマデリーン\nOh... schnief... Ihr habt recht...\x0E\x04\x02\x00
MID_RELIANCE_S_#033	Mauvier sagte, dass er sich wünsche, ich würde\nglücklich werden.\x0E\x04\x02\x00
MID_RELIANCE_S_#034	Sollte er nun über mich wachen, bin ich sicher,\ner wird meine Entscheidung akzeptieren - wie\nauch immer sie auch ausfallen mag.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	Und deshalb... \x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x02\x00
MID_RELIANCE_S_#036	Ja, ich nehme diesen Ring an und werde Euch\nals Eure Ritterin dienen!\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nDanke, Madeline. Gemeinsam können wir der\nZukunft ohne Furcht entgegensehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0C\nマデリーン\nJa. Und ich verspreche eine Ritterin zu werden,\ndie diese Ehre verdient.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nマデリーン\nUnd dass ich Euch beschützen werde, damit\nwir beide stärker werden und ein glückliches\nLeben führen können.\x0E\x04\x00\x00
