MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNa, wenn das nicht Mylord Rafal ist.\nWas für ein Zufall, in dem großen, weiten\nSomniel ausgerechnet auf Euch zu stoßen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nDein Enthusiasmus ist verstörend. Und deine\nLobeshymnen der Freundschaft sind vollständig\nunangebracht.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nWer sagt denn, dass ich Euer Freund sein will?\nVielleicht hat mich \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin gebeten,\nEuer Kindermädchen zu sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nDu? Mein Kindermädchen?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\nIch meine, warum nicht? Ihr mögt ja mächtig\nsein, aber Ihr habt die Angewohnheit, Euch\ndas zu Kopf steigen zu lassen.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Vielleicht hilft es ja, wenn Ihr einen rational-\nintellektuellen Typ wie mich an Eurer Seite\nhabt, um das auszugleichen?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nWenn ich jemals die Dienste eines\nrückgratlosen, winselnden Feiglings\nbrauchen sollte, werde ich gern-- Argh!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nPasst auf!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nラファール\nWas zum...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nAuf dem Schlachtfeld müsst Ihr immer mit\neinem Hinterhalt rechnen, Mylord Rafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nラファール\nWie können es diese Verzerrten wagen, einen\nPfeil in meine Richtung zu senden?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nJa, ja, schockierend. Doch da ich gerade Euer\nLeben gerettet habe, denke ich durchaus, dass\nIhr mich als Kindermädchen braucht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nTut nicht so herablassend. Ich bin mehr als\nfähig, diesen Kampf ohne Eure Aufsicht zu\nbestreiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nNatürlich seid Ihr das. Habe nie etwas anderes\nbehauptet.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nラファール\nWas ist? Wenn es dazu beiträgt, dir dieses\nelende Grinsen aus dem Gesicht zu wischen,\ndann spuck es schon aus!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\nNichts. Gar nichts. Ich habe nur gerade daran\ngedacht, wie stark Ihr doch seid.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nラファール\nOh ja, und dass du mir das ja nicht vergisst.\nEs wird meine Macht sein, die diesen Kampf\nentscheidet!\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Und das wird umso besser klappen, je schneller\ndu schweigst und mir aus dem Weg gehst.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\nSo verlockend es auch klingt, einfach daneben\nzu stehen und jeden Konflikt zu vermeiden...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Aber wenn ich nicht auf Euch aufpasse, und Ihr\nwerdet getötet, dann könnte ich \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin\nnie wieder in die Augen sehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nラファール\nHm. Wenn du darauf bestehst, dann sei es so.\nAber werde nicht vorlaut, und halte mit –\nansonsten wirst du zurückgelassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nJa sicher. Was immer Ihr sagt, einstiger Meister.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nAnfangs hatte ich noch meine Zweifel, aber ich\ndenke, wir geben ein ziemlich gutes Team ab.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nラファール\nDu hast gute Arbeit geleistet.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nWas? Ein Kompliment? Habt Ihr gerade wirklich\ngesagt, ich habe gute Arbeit geleistet?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nラファール\nZu gute. Was ist dein Ziel, wenn du neben mir\nkämpfst? Was versuchst du damit zu erreichen?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Ist dir gar nicht mehr bewusst, wie ich dich\nzum Narren gehalten habe? Wie viele Leben\ndeswegen verloren gingen?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nDoch, natürlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nDu hegst doch sicherlich einen Groll gegen\nmich. Oder mindestens Furcht – davor, dass ich\nmich wieder gegen dich wenden könnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nOh, glaubt mir, ich habe Euch verachtet und\ngehasst. Ehrlich gesagt tue ich das immer noch.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Aber diese Wut... gilt nicht allein Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nラファール\nWas soll das denn heißen?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nNun, ich wusste nicht, dass Ihr ein Geheimnis\nhegtet. Ich ahnte ja nicht mal, wie sehr Ihr\ngelitten habt.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Ich bin wütender auf mich selbst. Weil ich\nnutzlos war. Euch nicht helfen konnte.\nEuch nicht... retten konnte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nAch was.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nDeswegen versuche ich so angestrengt, Euch\nin dieser Welt zu verstehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\nDu glaubst ernsthaft, meinen Verstand fassen\nzu können?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nWer weiß. Doch selbst wenn ich dabei versage\nund Ihr uns wieder betrügt – ich werde nicht\ndarin scheitern, Euch ein Ende zu setzen.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Also ganz egal, wie gütig oder grausam Ihr Euch\nmir gegenüber gebt, ich werde Euch nicht von\nder Seite weichen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\nSo offenherzig. Warum bitte sollte ich meinen\npotenziellen Möchtegernmörder an meiner Seite\ndulden?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nWeil \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin will, dass ich Euer\nKindermädchen bin? Das ist doch Grund genug.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nAuch gut. Dann diene mir eben mit dem\nzückbereiten Dolch des Meuchelmörders,\nwenn dir das so viel Freude macht.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Solange du dir darüber klar bist, dass der\neinzige Rücken, in den der Dolch sich bohren\nwird, dein eigener ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nグレゴリー\nHa ha ha.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nAmüsierst du dich wirklich so sehr über deine\neigene Schwäche?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nOh, ich denke nur gerade, dass wir uns keine\ngroßen Sorgen machen müssen – basierend\nauf dem, was ich bisher gesehen habe.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Wie Ihr Euch verpflichtet fühlt. Wie Ihr versucht,\nmich fortzustoßen. Wie Ihr unfähig seid,\nehrliche Dankbarkeit zu empfinden.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Ihr wollt es verbergen, aber ich durchschaue\nEuch. Und ich bezweifle, dass Ihr uns erneut\nverraten werdet. Wahrscheinlich. Nein, definitiv.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nラファール\nDu kannst dich mit welchen Illusionen auch\nimmer trösten. Mir ist das alles gleich.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\nTatsächlich? Warum werden dann Eure Ohren\nso rot?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nラファール\nBitte was?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nHa ha ha. Ich glaube, so leicht durchschaubar\nmag ich Euch noch lieber.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Mich täuscht Ihr nicht mit Eurer Maske. Nicht,\nnachdem ich endlich Euer wahres Gesicht\ngesehen habe.\x0E\x04\x00\x00
