MID_WU_C_1_IN_#001	Ich war überrascht...
MID_WU_B_1_HELLO_#001	Ihr seid wach.
MID_WU_B_1_HELLO_#002	Welche Kämpfe auch immer\nEuch heute erwarten mögen...
MID_WU_B_1_HELLO_#003	Ich hoffe, Ihr passt auf Euch auf.
MID_WU_B_1_HELLO_#004	Das habt Ihr mir versprochen.
MID_WU_B_2_IN_#001	Also wirklich. Ihr gedenkt wohl,\nden ganzen Tag zu verschlafen.
MID_WU_B_2_SOON_#001	Blitzschnell aufgewacht.
MID_WU_B_2_SOON_#002	Ihr seid Euch also bewusst,\ndass Ihr verschlafen habt. Gut.
MID_WU_B_2_SOON_#003	Manchen mag das missfallen, aber\nich werde Euch dafür nicht schelten.
MID_WU_B_2_WAKEUP_#001	Eure anderen Verbündeten mögen\nEuch sachte wecken...
MID_WU_B_2_WAKEUP_#002	Aber ich werde Euch nicht verhätscheln.
MID_WU_B_2_WAKEUP_#003	Hoch mit Euch!
MID_WU_B_2_WAKEUP_#004	Eure Feinde sind schließlich auch nicht untätig.
MID_WU_B_2_HELLO_#001	Das wurde auch Zeit.
MID_WU_B_2_HELLO_#002	Nein, ich bin nicht wütend.
MID_WU_B_2_HELLO_#003	Wenn ich so auf Euch wirke...
MID_WU_B_2_HELLO_#004	ist das nur Euer schlechtes Gewissen,\nweil Ihr verschlafen habt.
MID_WU_A_1_IN_#001	Ich frage mich, ob \x0E\x0A\x00>\x1Amein Wyrmgott meine Wyrmgöttin...
MID_WU_A_1_IN_#002	wirklich jemals Hilfe beim\nAufwachen benötigt hat.
MID_WU_A_1_SOON_#001	Ihr habt mich gehört.
MID_WU_A_1_SOON_#002	\x0E\x0A\x00T*Die andere Wyrmgöttin&Der andere Wyrmgott...
MID_WU_A_1_SOON_#003	hat niemals für irgendetwas um Hilfe gebeten.
MID_WU_A_1_SOON_#004	Aber ich will mich nicht beklagen.\nTatsächlich bin ich Euch gerne nützlich.
MID_WU_A_1_WAKEUP_#001	Ich mag von Zeit zu Zeit an \x0E\x0A\x00\x10\x06sie\x06ihn denken...
MID_WU_A_1_WAKEUP_#002	doch es ist nicht länger \x0E\x0A\x00>\x1Ejene Wyrmgöttin\x1Cjener Wyrmgott...
MID_WU_A_1_WAKEUP_#003	\x0E\x0A\x00\x10\x06die\x06den ich heute zu beschützen trachte.
MID_WU_A_1_WAKEUP_#004	Bitte, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, haltet\nEuch von der Gefahr fern.
MID_WU_A_1_HELLO_#001	Das habt Ihr wohl alles mitgehört.
MID_WU_A_1_HELLO_#002	Es sollte Euch nicht überraschen,\ndass ich für Eure Sicherheit bete.
MID_WU_A_1_HELLO_#003	Wie bereits erwähnt...
MID_WU_A_1_HELLO_#004	wünscht niemand von uns,\nden anderen zu verlieren.
MID_WU_A_2_IN_#001	Wenn das so weitergeht...
MID_WU_A_2_IN_#002	werde ich Euch \x0E\x0A\x008\x18Schnarchgott\x1CSchnarchgöttin nennen müssen.
MID_WU_A_2_SOON_#001	Hahaha.
MID_WU_A_2_SOON_#002	Wie erwartet...
MID_WU_A_2_SOON_#003	genügte die Nennung Eures neuen\nEhrentitels, um Euch zu wecken.
MID_WU_A_2_SOON_#004	Guten Morgen, \x0E\x0A\x008\x18Schnarchgott\x1CSchnarchgöttin.
MID_WU_A_2_WAKEUP_#001	Offen gesagt bin ich erstaunt.
MID_WU_A_2_WAKEUP_#002	Ihr habt stur weitergeschlafen,\nwährend ich das sagte.
MID_WU_A_2_WAKEUP_#003	Ich werde mir wohl einen albernen\nNamen für Euch ausdenken müssen...
MID_WU_A_2_WAKEUP_#004	bis Ihr es begreift.
MID_WU_A_2_HELLO_#001	Endlich wach.
MID_WU_A_2_HELLO_#002	Hm?
MID_WU_A_2_HELLO_#003	Ihr habt geträumt, jemand würde Euch\neinen seltsamen Titel verleihen?
MID_WU_A_2_HELLO_#004	Ich verstehe nicht ganz.
MID_WU_A_2_HELLO_#005	Ihr redet einfach nur Unsinn.
MID_WU_S_1_IN_#001	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.
MID_WU_S_1_IN_#002	Ich mag Euch zwar lieben...
MID_WU_S_1_IN_#003	aber ich werde Euch nicht verschonen.
MID_WU_S_1_SOON_#001	Guten Morgen.
MID_WU_S_1_SOON_#002	Erfreulich, dass Ihr schnell erwacht seid.
MID_WU_S_1_SOON_#003	Das verschafft uns Zeit.
MID_WU_S_1_SOON_#004	Verbringen wir den Morgen miteinander.\nAllein. In Ordnung?
MID_WU_S_1_SOON_#005	Nur wir beide, \x0E\x0A\x00&\x12Geliebter\x10Geliebte.
MID_WU_S_1_WAKEUP_#001	Ihr seid so stur wie eh und je.
MID_WU_S_1_WAKEUP_#002	Doch wenn ich ehrlich bin...
MID_WU_S_1_WAKEUP_#003	will ich Euch gar nicht stören.
MID_WU_S_1_WAKEUP_#004	Lieber würde ich mich zu Euch legen\nund in friedlichem Schlummer versinken.
MID_WU_S_1_WAKEUP_#005	Allein, die Welt braucht uns mehr denn je.
MID_WU_S_1_WAKEUP_#006	Daher...
MID_WU_S_1_WAKEUP_#007	muss ich Euch bitten, aufzuwachen.
MID_WU_S_1_WAKEUP_#008	Nicht nur für die Welt...
MID_WU_S_1_WAKEUP_#009	sondern für mich – jene, die Euch\nmehr als alles andere liebt.
MID_WU_S_1_HELLO_#001	Hallo, \x0E\x0A\x00&\x12Geliebter\x10Geliebte.
MID_WU_S_1_HELLO_#002	Lasst uns für die Welt heute\ntun, was wir können.
MID_WU_S_1_HELLO_#003	Und dann...
MID_WU_S_1_HELLO_#004	wenn Ihr nach Hause kommt...
MID_WU_S_1_HELLO_#005	wohlbehalten...
MID_WU_S_1_HELLO_#006	werde ich Euch in einen\nfriedlichen Schlaf singen.
MID_WU_S_2_IN_#001	Ich bin heute ein wenig früh dran.
MID_WU_S_2_IN_#002	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche?
MID_WU_S_2_IN_#003	Ah. \x0E\x0A\x00\x0E\x04Er\x06Sie schläft noch.
MID_WU_S_2_SOON_#001	Verzeiht.
MID_WU_S_2_SOON_#002	Ich wollte Euch nicht wecken.
MID_WU_S_2_SOON_#003	Aber...
MID_WU_S_2_SOON_#004	Ich bin froh.
MID_WU_S_2_SOON_#005	Ihr habt meine Präsenz gespürt.
MID_WU_S_2_SOON_#006	Wie wäre es...
MID_WU_S_2_SOON_#007	wenn wir den Morgen miteinander verbringen?
MID_WU_S_2_WAKEUP_#001	Manchmal macht es mich besorgt...
MID_WU_S_2_WAKEUP_#002	Euch beim Schlafen zuzusehen.
MID_WU_S_2_WAKEUP_#003	Ihr seht \x0E\x0A\x00X,der anderen Wyrmgöttin(dem anderen Wyrmgott so ähnlich.
MID_WU_S_2_WAKEUP_#004	\x0E\x0A\x00$\x10Der, die\x10Dem, den ich einst kannte.
MID_WU_S_2_WAKEUP_#005	Diese letzte, friedliche Stille ist mir für\nimmer im Gedächtnis eingebrannt.
MID_WU_S_2_WAKEUP_#006	Und was immer ich auch tue...
MID_WU_S_2_WAKEUP_#007	dieses Gefühl lässt sich nicht abschütteln.
MID_WU_S_2_WAKEUP_#008	Ich werde niemals aufhören, an Euch zu denken.
MID_WU_S_2_WAKEUP_#009	Daher bitte ich Euch...\nWeicht mir niemals von der Seite.
MID_WU_S_2_WAKEUP_#010	Ich kann den Gedanken, von Euch\ngetrennt zu sein, nicht ertragen.
MID_WU_S_2_HELLO_#001	Endlich wach.
MID_WU_S_2_HELLO_#002	Ich genieße diese Zeit mit Euch.
MID_WU_S_2_HELLO_#003	Selbst, wenn wir sie jeden Tag haben...
MID_WU_S_2_HELLO_#004	werde ich doch unseres Zusammenseins\nniemals müde.
MID_WU_S_2_HELLO_#005	Tatsächlich kann ich mir mein Leben\nnicht mehr ohne Euch vorstellen.
