MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch habe Euch etwas zu essen besorgt,\nMilady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nHihihi.\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Zelestia scheint mir ein klein wenig übereifrig\nzu sein. Wie überaus... unerwartet.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSeid Ihr etwa müde, Milady Veyle? Ihr seht nicht\ngut aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nFindest du? Ich fühle mich eigentlich ganz wohl.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nWurdet Ihr in der Schlacht zuvor verletzt? Tut\nEuch vielleicht etwas weh?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin nicht verletzt. Sieh her, ich bin\nputzmunter. Nur meine Nase ist ein kleines\nbisschen... HATSCHI!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nOh nein, Euch ist bestimmt kalt. Wir müssen\ndafür sorgen, dass Euch warm wird, bevor Ihr\nEuch noch erkältet.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Hmm... Keine Decke hier. Aber macht nichts!\nDann umarme ich Euch einfach ganz fest!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nWie bitte?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cセレスティア\nMagiedrachen haben von Natur aus eine hohe\nKörpertemperatur. Keine Sorge, das wird Euch\nsicher guttun.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nI-Ich möchte nicht... Halt! Es reicht...\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Komm mir nicht näher!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nHuch!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nAh... B-bitte verzeih.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nNein, ich bin es, die um Verzeihung bitten sollte.\nEs war unhöflich, mich so direkt zu verhalten.\nDabei wollte ich doch nur für Euch da sein.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Ich möchte mich aufrichtig entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nDas ist nicht der Grund. Du siehst nur\njemandem ähnlich, den ich einst kannte.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Ich will es dir gern etwas näher erläutern,\nsofern du Zeit zum Zuhören hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cセレスティア\nAber sicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nVor langer Zeit hatte ich eine Getreue. Sie war\nwie du ein Magiedrache.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Und so wie du war auch sie stets freundlich\nund hatte immer ein offenes Ohr für mich.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Ich hatte die Hoffnung, dass sie und ich gute\nFreunde werden könnten, denn ich mochte sie\nwirklich gern.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Doch dann zwang uns das Schicksal dazu,\nauf unterschiedlichen Seiten gegeneinander zu\nkämpfen. Und so endete unsere Freundschaft.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Mir ist bewusst, dass du nicht sie bist. Aber du\nsiehst ihr so sehr ähnlich, dass ich nicht anders\nkann, als mich an sie zu erinnern.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nDas verstehe ich. Ich danke Euch, dass Ihr\netwas so Persönliches mit mir geteilt habt.\x0E\x04\x02\x00
MID_RELIANCE_B_#024	Ich... Ich werde versuchen, in Zukunft nicht\nganz so direkt zu sein.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Falls Euch danach ist, würdet Ihr mir vielleicht\nnoch etwas mehr darüber erzählen?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08ヴェイル\nGern. Bitte verzeih mir mein Verhalten, Zelestia.\nWo du doch so gut zu mir warst.\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Ich danke dir...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEurem Haar sollte etwas mehr Beachtung\ngeschenkt werden, Milady Veyle. Kommt,\nlasst mich Euch frisieren.\x0E\x04\x02\x00
MID_RELIANCE_A_#002	Nur keine Sorge! Ich habe geübt!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nDann lasse ich dich gerne gewähren. Danke.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, ist Euch etwa kalt? Lasst mich Euch schnell\neine Decke holen, bevor ich mich um Euer Haar\nkümmere.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nMagiedrachen verfügen über eine hohe\nKörpertemperatur, nicht wahr? Du könntest\nmeine Hände mit den deinen wärmen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, seid Ihr Euch sicher? Ich möchte Euch keine\nAngst machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nDu bist meine Freundin. Wovor sollte ich Angst\nhaben?\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Doch verrate mir eines: Wieso bist du immer so\nnett zu mir?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nNun ja, das ist eine recht lange Geschichte.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nUnd wenn schon. Dieses Mal bin ich diejenige,\ndie zuhört.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nIn meiner Welt wurden die Vier Winde von\neinem Mann namens Mauvier ins Leben gerufen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier? Also war er auch in deiner Welt eine\nhöchst bewundernswerte Person.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nAbsolut. Er war bis zuletzt mein Held und ein\ntreuer Freund. Jemand, zu dem ich aufblickte.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Mir war bekannt, dass er einer Herrin diente,\ndie er „Milady Veyle“ nannte.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nAch?!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nJa, sie trug denselben Namen wie Ihr.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Mauvier hatte geschworen, sie um jeden Preis\nzu beschützen. Doch diesen Schwur konnte er\nleider nicht halten.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Er erzählte mir, dass sie in einem sinnlosen\nKampf starb. Und wie sehr er es bedauerte,\ndass er sie nicht beschützen konnte.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Aus diesem Grund hat es mich auch so\nüberrascht, Euch in dieser Welt zu treffen.\nZu wissen, dass Ihr am Leben seid...\x0E\x04\x02\x00
MID_RELIANCE_A_#020	So wie Mauvier sich einst Eurem Schutze\nverschrieben hatte, so will von nun an ich\nEure Beschützerin sein.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Dies ist der Grund, warum ich so bestrebt bin,\nEuch zu umsorgen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nDu bist so lieb zu mir, obwohl ich dir gegen-\nüber so abweisend war...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nNein. Ihr seid sehr nett. Selbst jetzt, wo Ihr\ngeduldig meiner Geschichte lauscht.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Mauvier hat immer davon gesprochen, wie nett\nseine Milady Veyle war. Genauso nett wie Ihr.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nIch bin froh, dass du mir diese Geschichte\nerzählt hast.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Welch Wunder, dass wir zwei uns hier begegnet\nsind. Obwohl wir aus unterschiedlichen Welten\nstammen, fühlen wir uns doch verbunden.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nSo ist es. Irgendeine Macht muss uns beide\nwohl zusammengeführt haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nZelestia, um die Wahrheit zu sagen... Ich möchte\nsehr gern deine Freundin sein.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Würdest du heute vielleicht noch ein bisschen\nlänger bleiben?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nDas würde ich sehr gern! Ich verweile gern an\nEurer Seite, und das nicht nur „ein bisschen\nlänger“, sondern solange Ihr wollt.\x0E\x04\x00\x00
