MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\nHuch! Prinz Fogado!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nNicht, dass mich Eure verdrießliche Einstellung\nstören würde. Sie ist eigentlich sogar einer der\nGründe, warum ich Euch mag.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nIhr findet mich sympathisch?! Aber das ist\nunmöglich! Solch eine Freundlichkeit verdiene\nich nicht!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nDas ist schlecht. Wenn Ihr weitersprecht,\nkönnte ich mich in einer gefährlichen Situation\nbefinden.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nAu. Was ist denn an mir so gefährlich?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nDas! Euer sanfter Blick und annehmendes\nLächeln! Bitte, seht mich nicht an!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nEuer reines Herz lässt mich wie im Rampenlicht\nstehen. Euer Licht zeigt, wie unnütz ich bin!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nIch... ich muss gehen!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nEs tut mir leid! Es tut mir so leid!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nHahaha, Junge, dieser Kerl weiß wirklich, wie\nman einen Abgang hinlegt.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHey, Prinz Alcryst! Kurze Frage.\nKönnt Ihr mir etwas über Eure Kindheit\nerzählen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nHm? Wieso interessiert Euch das?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nNun, ich habe an unsere etwas abrupt\nbeendete Unterhaltung neulich gedacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nIhr wisst schon, dass wir einen ähnlichen\nHintergrund, aber verschiedene\nPersönlichkeiten haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nUnd da dachte ich, dass unsere Unterschiede\nmit unserer Erziehung erklärt werden könnten.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nIch verstehe. Ich werde Euch einen Überblick\ngeben, aber seid gewarnt – es wird nicht\nsonderlich interessant.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nDas ist absolut in Ordnung. Vertraut mir.\nMein Ohr gehört ganz Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nIch wurde als zweiter Prinz von Brodia geboren.\nZwischen meinem Bruder und mir liegt ein\nbedeutender Altersunterschied.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nSo weit ich mich auch zurückerinnere, mein\nBruder wurde stets von anderen für seine\nTalente und Fähigkeiten gepriesen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\n„Man kann sich keinen besseren Erben für\nden Thron Brodias wünschen,“ sagten sie.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nAber wenn es um meine Person ging, so hörte\nich meistens „Diamant hätte das besser\ngemacht.“\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nAutsch. Ihr habt Euch also stets so gefühlt,\nals würdet Ihr die zweite Geige spielen. Das\nist hart.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nEs ist meine Schuld. Ich bin ein hoffnungsloser\nFall.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nSeid Ihr jemals wütend geworden und habt laut\n„Vergesst IHN! Seht MICH an!“ gerufen?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\nNein, niemals. So einen Gedanken würde ich mir\nniemals erlauben.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nMein Bruder ist perfekt. Das ist die simple\nWahrheit. Es ist nicht seine Schuld, dass ich\nmich mit ihm nicht vergleichen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nZur gleichen Zeit ist mir bewusst, dass diese\nWahrheiten das Rückgrat meiner trübseligen\nPersönlichkeit bilden.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nAlso anstatt ärgerlich über ihn zu sein,\nakzeptiert Ihr einfach, dass Ihr weniger\ngeachtet seid.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nWisst Ihr, was Ihr seid? Ein warmherzige\nPerson. Vielleicht ist das der Grund, warum ich\nEuch so sehr mag.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOh... Gah...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nIhr... Ihr sagt, Ihr mögt mich? Ihr seid so eine\ninspirierende Person, Prinz Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nIch darf das Risiko nicht eingehen, Euch mit\nmir hinabzuziehen!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nIch muss mich erneut verabschieden!\nEs tut mir leid! Es tut mir leiiiid!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nUuund weg ist er. Tja, zu schade. Man sieht sich,\nPrinz Alcryst!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHallo, Prinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nHuch! Prinz Fogado!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nHahaha, ich bin gespannt, wann Ihr mich nicht\nmehr auf diese Weise begrüßen werdet.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nEs tut mir leid. Euer Lächeln strahlt so hell...\nMein erster Impuls ist immer, zu fliehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nIch muss Euch fragen... Wie seid Ihr zu solch\neinem Leuchtfeuer der guten Laune geworden?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nIhr möchtet etwas über meine Kindheit\nerfahren? Ich kann Euch eine kurze\nZusammenfassung geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nNicht, dass irgendetwas daran bemerkenswert\ngewesen wäre.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nAls erster Prinz von Solm habe ich eine\nformelle Erziehung genossen.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nAber es gab nicht viele Regeln, die mich\neinschränkten. Ich durfte mich frei bewegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nAndauernd schlich ich mich aus dem Schloss\nund ging einfach in den Ort. Um Spaß zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nUnglaublich. Ich habe davon gehört, dass das\nVolk von Solm seine Freiheit feiert...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nAber ich hatte keine Ahnung, dass dies auch\nfür die Angehörigen der Königsfamilie gilt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nIch beginne langsam zu verstehen, dass diese\nLebensweise den Prinzen formte, den ich heute\nvor mir sehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nEine warmherzige, herausragende Person, die\nso leicht neue Freundschaften schließt, wie sie\nden neuen Tag begrüßt.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nDanke, Prinz Alcryst. Ich weiß das zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nAh... Und wieder könnte ich in Eurem\nstrahlenden Blick zu Staub zerfallen!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nWartet! Bevor Ihr wieder weglauft, lasst mich\nEuch etwas sagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nDas wird jetzt hart, denn Ihr tut Euch schwer,\nKomplimente anzunehmen!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nOh nein. Es tut mir so leid.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nNein, bitte nicht. Könntet Ihr mir vielleicht nur\ndieses eine Mal glauben, wenn ich Euch sage,\ndass ich Euch mag?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nIch würde sogar so weit gehen, mein Kamerad\nin Sachen „kleiner Bruder“, Euch Freund zu\nnennen.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nOh... Oh, Prinz Fogado...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nIch tue es. Ich glaube Euch.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nDanke, dass Ihr jemanden wie mich einen\nFreund nennt.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nIch mag Euch auch, Prinz Fogado.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nフォガート\nNa, wenigstens habt Ihr es endlich gesagt!\nIhr mööögt mich! Ihr mööögt mich!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nAh! Aaah! Ich weiß nicht, was über mich\ngekommen ist!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nZu denken, dass ich Euch dies vergelten\nkönnte... Ich hatte ja gar kein Recht dazu.\nEs tut mir so leid.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nフォガート\nWofür entschuldigt Ihr Euch? Nun wissen wir,\ndass wir beide uns mögen. Wir sind im Grunde\nbeste Freunde.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nスタルーク\nBeste Freunde? Ich hatte noch nie einen\nbesten Freund.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nスタルーク\nIch muss zugeben, dass macht mich ein biss--\nnein, es macht mich SEHR glücklich. Ich danke\nEuch, Prinz Fogado.\x0E\x04\x00\x00
