MID_FRIENDLIST_Vandre_TextD	Startklasse: Rittmeister\nGeburtstag: 26. November\nBasisinfo: 32. Behüter des\nDrachen. Wacht über\n\x0E\x06\x03\x00, \x0E\x0A\x00\x10\x06der\x06die auf der\nschwebenden Insel namens\nSomniel schläft.
MID_FRIENDLIST_Fram_TextC	Mag: \x0E\x0A\x008\x18Den Wyrmgott\x1CDie Wyrmgöttin, Blu-\nmen, Mode, Sport, Zucker-\nrüben, andere anzufeuern.\n\nMag nicht: Putzen, Lernen,\nSpukgeschichten, schwierige\nBücher, Belehrungen, von\nganz allein zu stolpern.
MID_FRIENDLIST_Fram_TextB	Hobbys: \x0E\x0A\x008\x18Den Wyrmgott\x1CDie Wyrmgöttin\nansehen.\nTalente: Flickflacks,\nZuckerrüben beurteilen.\nHintergrund: Entfernt mit\nVander verwandt. Ihren Titel\nverdiente sie sich durch ihre\nHingabe \x0E\x0A\x008\x18zum Wyrmgott\x1Czur Wyrmgöttin.
MID_FRIENDLIST_Fram_TextA	Größe: 160 cm\nRingumfang: 47 mm\nCharakter: Munter und leb-\nhaft. Aufmerksame Behüterin,\naber zerstreut. Gründete mit\nClanne den Verein der Wyrm-\n\x0E\x0A\x008\x18gottverehrer\x1Cgöttinverehrer. Macht die\nbesten Flickflacks von allen.
MID_FRIENDLIST_Fram_TextS	Das Leben mit Framme:\nSie freut sich immer, \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin zu sehen, und\nfeuert \x0E\x0A\x00\x10\x06ihn\x06sie zur richtigen Zeit\nan. Verwahrt den Paktring in\neiner Schatulle und möchte\nihn tragen, wenn sie\nverantwortungsvoller ist.
MID_FRIENDLIST_Alfred_TextD	Startklasse: Adliger\nGeburtstag: 8. August\nBasisinfo: Kronprinz von\nFirene. Erreichte Schloss\nLythos in der Nacht des\nAngriffs mit seinen Getreuen\nBoucheron und Etie.
MID_FRIENDLIST_Alfred_TextC	Mag: Training, Sport, Musik,\nBlumen, Muskeln, Sonnen-\naufgänge, vierblättrigen Klee,\nanderer Leute Glück.\n\nMag nicht: Feine Handarbeit,\nNähen, scharfes Essen,\nSchlaflosigkeit, Reue.
MID_FRIENDLIST_Alfred_TextB	Hobbys: Sport, Plaudern.\nTalente: Früh aufstehen,\nBlumenkränze flechten.\nHintergrund: War als Kind\nkrank und will dies durch\nTraining ausgleichen. Sein\nverstorbener Vater lehrte ihn\nden Umgang mit der Lanze.
MID_FRIENDLIST_Alfred_TextA	Größe: 177 cm\nRingumfang: 52 mm\nCharakter: Großzügig und\ngütig, hilft oft ohne vorher\nnachzudenken. Liebt kleine\nFreuden, hasst das Alleinsein.\nNiemand in der Armee hat\neinen blumigeren Duft.
MID_FRIENDLIST_Alfred_TextS	Das Leben mit Alfred:\nUnterhält \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin mit\nseinen Berichten über kleine\nFreuden und achtet sehr auf\nseine Gesundheit, um mehr\nZeit mit \x0E\x0A\x00\x10\x06ihm\x06ihr zu haben.\nVerwahrt den Paktring in einer\nbestickten Tasche.
MID_FRIENDLIST_Boucheron_TextD	Startklasse: Axtkämpfer\nGeburtstag: 11. Mai\nBasisinfo: Königlicher Ritter\nvon Firene. Erreichte Schloss\nLythos in der Nacht des\nAngriffs mit Prinz Alfred und\nseiner Mitgetreuen Etie.
MID_FRIENDLIST_Boucheron_TextC	Mag: Lesen, Angeln, Natur,\nbeschilderte Wanderwege,\nSpaziergänge, Geschichten\nmit gutem Ende.\nMag nicht: Feine Handarbeit,\nSpukgeschichten, unbeschil-\nderte Wanderwege, Geschich-\nten mit traurigem Ende.
MID_FRIENDLIST_Boucheron_TextB	Hobbys: Im Freien Lesen.\nTalente: Handarbeiten.\nHintergrund: Zweiter Sohn\neines Firener Grafen aus\neinem Ort, der bekannt für\nsein Wasser ist. Hat einen\nälteren Bruder, kennt Prinz\nAlfred seit frühster Kindheit.
MID_FRIENDLIST_Boucheron_TextA	Größe: 190 cm\nRingumfang: 63 mm\nCharakter: Mitfühlend, sensi-\nbel, weint schnell. Reiste als\nKind oft in Kutschen und hat\ndaher einen schwachen\nOrientierungssinn. Tolerante-\nste Person der ganzen Armee.
MID_FRIENDLIST_Boucheron_TextS	Das Leben mit Boucheron:\nHat für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin stets\nein offenes Ohr und leistet\n\x0E\x0A\x00\x10\x06ihm\x06ihr Beistand. Trägt den\nPaktring nur zu besonderen\nGelegenheiten, da er bei\nseinem Anblick immer sofort\nin Tränen ausbricht.
MID_FRIENDLIST_Etie_TextD	Startklasse: Schütze\nGeburtstag: 1. Oktober\nBasisinfo: Königliche Ritterin\nvon Firene. Erreichte Schloss\nLythos in der Nacht des\nAngriffs mit Prinz Alfred\nund ihrem Mitgetreuen\nBoucheron.
MID_FRIENDLIST_Etie_TextC	Mag: Training, Blumen, Tee-\nzeremonien, Fleisch, Muskel-\nstimulanzien mit exotischem\nGeschmack.\n\nMag nicht: Feine Handarbeit,\nPutzen, Nähen, alles nicht\nmit roher Kraft Lösbare.
MID_FRIENDLIST_Etie_TextB	Hobbys: Jeglicher Sport.\nTalente: Blumen kultivieren.\nHintergrund: Tochter eines\nFirener Marquis. Hat zwei\nältere Geschwister und ist\nseit ihrer Kindheit mit Céline\nbefreundet, die ihr Interesse\nan Leibesübungen weckte.
MID_FRIENDLIST_Etie_TextA	Größe: 154 cm\nRingumfang: 53 mm\nCharakter: Wirkt hochnäsig,\nist aber bloß selbstbewusst\nund energiegeladen. Liebt es,\nzu trainieren und sich neues\nTrainingswissen anzueignen.\nBeste Läuferin der Armee.
MID_FRIENDLIST_Etie_TextS	Das Leben mit Etie:\nAchtet auf die Gesundheit \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin. Übernimmt für\n\x0E\x0A\x00\x10\x06ihn\x06sie knifflige Aufgaben wie das\nÖffnen klemmender Einmach-\ngläser und geht gern mit \x0E\x0A\x00\x10\x06ihm\x06ihr\nlaufen. Verwahrt den Paktring\nin einer blumenförmigen Kiste.
MID_FRIENDLIST_Celine_TextD	Startklasse: Adlige\nGeburtstag: 18. Dezember\nBasisinfo: Prinzessin von\nFirene, jüngere Schwester\nAlfreds. Trat in Floramühlstadt\nmit ihren Getreuen der Armee\n\x0E\x0A\x00\x10\x06des\x06der \x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin bei. Trug den\nRing der gütigen Prinzessin.
MID_FRIENDLIST_Celine_TextC	Mag: Teepartys, Lesen,\nMode, schwarzen Tee, Vögel,\nBlumen, das Glück ihrer\nVerbündeten.\nMag nicht: Scharfes Essen,\nKrieg, Waffen, unbändige\nFreude, erzwungenen\nOptimismus.
MID_FRIENDLIST_Celine_TextB	Hobbys: Teepartys geben.\nTalente: Teesorten erkennen.\nHintergrund: War als kleines\nKind eine Heulsuse. Zwang\nsich nach dem Tod ihres\nVaters, des Königs, stark zu\nsein, um ihre Mutter und\nihren Bruder zu unterstützen.
MID_FRIENDLIST_Celine_TextA	Größe: 155 cm\nRingumfang: 45 mm\nCharakter: Gütig und gewitzt.\nEignet sich mühelos neues\nWissen an und scheut keinen\nKampf. Macht sich Sorgen\num Alfred und hat die wohl\nschärfste Zunge in der Armee.
MID_FRIENDLIST_Celine_TextS	Das Leben mit Céline:\nTrinkt täglich Tee mit \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, steht \x0E\x0A\x00\x10\x06ihm\x06ihr auch in\ntragischsten Kampfmomenten\nzur Seite. Verwahrt den Pakt-\nring auf einem rosenförmigen\nPodest, aber trägt ihn stets,\nwenn sie zusammen sind.
MID_FRIENDLIST_Louis_TextD	Startklasse: Lanzenritter\nGeburtstag: 4. November\nBasisinfo: Königlicher Ritter\nvon Firene. Deckte in Flora-\nmühlstadt mit seiner Mitge-\ntreuen Chloé Célines Flucht\nund trat danach der Armee\n\x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin bei.
MID_FRIENDLIST_Louis_TextC	Mag: Teepartys, Kochen,\nBlumen, Tagträumen, Leute\nbeobachten, Trauben.\n\nMag nicht: Handwerken,\nscharfes Essen, Meeres-\ntrauben, scharfsinnige und\nschwer einschätzbare Leute.
MID_FRIENDLIST_Louis_TextB	Hobbys: Leute beobachten.\nTalente: Sich einmischen,\nTee kochen.\nHintergrund: Bürgerlicher aus\neinem Traubenanbaugebiet in\nFirene. Wurde dennoch könig-\nlicher Ritter, um für seine drei\njüngeren Brüder zu sorgen.
MID_FRIENDLIST_Louis_TextA	Größe: 178 cm\nRingumfang: 60 mm\nCharakter: Tapferer Ritter und\nzugleich höflicher Diener. Be-\nobachtet gerne seine Freunde\nund freut sich, wenn diese gut\nmiteinander auskommen. Gilt\nin der Armee als Wetterfrosch.
MID_FRIENDLIST_Louis_TextS	Das Leben mit Louis:\nLouis ist netter denn je und\nbeobachtet nur noch selten\nFreunde, um besser auf \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin achtzugeben.\nPoliert den Paktring stets und\nmöchte irgendwann ein ver-\ngleichbares Stück anfertigen.
MID_FRIENDLIST_Chloe_TextD	Startklasse: Lanzenflieger\nGeburtstag: 27. April\nBasisinfo: Königliche Ritterin\nvon Firene. Kämpfte in Flora-\nmühlstadt an der Seite des\nGetreuen Louis, um Céline zur\nFlucht zu verhelfen, und stieß\nzur Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin.
MID_FRIENDLIST_Chloe_TextC	Mag: Märchen, Imbissbuden-\ngerichte, Tagträumen, Tiere,\nstarke Aromen, Blicke aus der\nVogelperspektive.\nMag nicht: Kochen, Putzen,\nSonnenbrände, fades Essen,\nkleine Portionen, sich wie eine\nAdlige benehmen zu müssen.
MID_FRIENDLIST_Chloe_TextB	Hobbys: Freizeitflüge,\nImbissbuden besuchen.\nTalente: Weitwurf.\nHintergrund: Junge Adlige aus\neiner Küstenstadt. Erzogen,\n„eine gute Partie zu machen“,\nwurde jedoch nach ihrem\nTreffen mit Céline zur Ritterin.
MID_FRIENDLIST_Chloe_TextA	Größe: 167 cm\nRingumfang: 51 mm\nCharakter: Wirkt gelassen,\nmag Märchen, schöne Land-\nschaften und neue Imbiss-\nbudengerichte. Hat einen sehr\nstarken Magen und den besten\nWurfarm in der ganzen Armee.
MID_FRIENDLIST_Chloe_TextS	Das Leben mit Chloé:\nHält noch immer Ausschau\nnach schönen Landschaften,\nteilt aber noch viel lieber\nImbissbudenessen mit \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Verwahrt ihren\nPaktring in einer mit Pegasus-\nfedern verzierten Schatulle.
MID_FRIENDLIST_Diamand_TextD	Startklasse: Lord\nGeburtstag: 6. April\nBasisinfo: Kronprinz von\nBrodia. Seine Getreuen sind\nAmber und Jade. Traf die\nGruppe \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin auf\nihrer Suche nach Brodias\nEmblem-Ring am Schlosstor.
MID_FRIENDLIST_Diamand_TextC	Mag: Waffen, Training,\nAngeln, Fleisch, Lernen,\nFamilie, Alleinsein.\n\nMag nicht: Partys, niedliche\nDinge, Feuermagie, starke\nGerüche, überhöhte\nErwartungen.
MID_FRIENDLIST_Diamand_TextB	Hobbys: Lustige Romane.\nTalente: Verbündete moti-\nvieren, schnelles Lesen.\nHintergrund: Erstgeborener\nPrinz, wurde für seine Rolle\nals König erzogen und früh\nim Kampf unterrichtet. Strebt\nnach einer Ära des Friedens.
MID_FRIENDLIST_Diamand_TextA	Größe: 188 cm\nRingumfang: 64 mm\nCharakter: Stark. Aufrichtig.\nLiebt Selbstoptimierung. Von\nallen als Brodias künftiger\nKönig anerkannt. Lobt seine\nSoldaten, hat das lauteste\nLachen in der ganzen Armee.
MID_FRIENDLIST_Diamand_TextS	Das Leben mit Diamant:\nLässt im Somniel und auf dem\nSchlachtfeld \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin\nnie aus den Augen und mag,\ndass \x0E\x0A\x00\x0E\x04er\x06sie seinen brodianischen\nRing trägt. Verwahrt den\nPaktring in einer Seiden-\ntasche unter seiner Kleidung.
MID_FRIENDLIST_Umber_TextD	Startklasse: Lanzenkavalier\nGeburtstag: 3. Februar\nBasisinfo: Königlicher Soldat\nvon Brodia im Dienste von\nDiamant. Verließ den Posten,\num beim Angriff Elusias \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin und seinem\nPrinzen zu Hilfe zu eilen.
MID_FRIENDLIST_Umber_TextC	Mag: Alpakas, Tiere, Milch-\nprodukte, Süßkartoffeln,\nKochen, lässige Dinge,\nLegenden jeglicher Art.\nMag nicht: Nähen, Putzen,\nImbissbudengerichte,\nkomplizierte Bücher, Lügen,\nMangel an Abenteuern.
MID_FRIENDLIST_Umber_TextB	Hobbys: Legenden nachjagen.\nTalente: Tierpflege, spricht\nfließend alpakisch.\nHintergrund: Verließ die\nAlpakafarm der Eltern, um\nan einem Kampfturnier in\nBrodia teilzunehmen. Gilt als\n„Wunder des Alpaka-Weilers“.
MID_FRIENDLIST_Umber_TextA	Größe: 185 cm\nRingumfang: 58 mm\nCharakter: Reines Herz, voller\nLeidenschaft. Liebt Legenden\naus aller Welt, selbst die frag-\nwürdigsten. Seine Aktionen\nführen oftmals zu peinlichen\nUnfällen. Talentierter Pfeifer.
MID_FRIENDLIST_Umber_TextS	Das Leben mit Amber:\nUnterstützt \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin,\nwo er kann, hat für \x0E\x0A\x00\x10\x06ihn\x06sie stets\nein Lächeln parat und spricht\nmit \x0E\x0A\x00\x10\x06ihm\x06ihr auf alpakisch. Den\nPaktring verwahrt er als „le-\ngendären Schatz“ in einer\nhandgefertigten Holzkiste.
MID_FRIENDLIST_Jade_TextD	Startklasse: Axtritter\nGeburtstag: 7. Dezember\nBasisinfo: Königliche Soldatin\nvon Brodia im Dienste von\nDiamant. Kämpfte während\ndes Grenzdienstes an der\nSeite Diamants und \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin gegen Elusia.
MID_FRIENDLIST_Jade_TextC	Mag: Kreatives Schreiben,\nTagträumen, Spaziergänge,\nLesen, Tiere, Mineralien,\nPositivität, fröhliche Leute.\n\nMag nicht: Partys, Mode,\nein gezwungenes Lächeln,\nSchreibblockaden.
MID_FRIENDLIST_Jade_TextB	Hobbys: Romane schreiben.\nTalente: Begutachten von\nEdelsteinen, Meditation.\nHintergrund: Wuchs in einer\nBergbaustadt auf und trug als\nWache den Namen „eiserne\nMauer“. Wurde durch ein\nTurnier Diamants Getreue.
MID_FRIENDLIST_Jade_TextA	Größe: 170 cm\nRingumfang: 52 mm\nCharakter: Ruhig und dienst-\nbeflissen. Wirkt skrupellos\nund kalt im Kampf, ist jedoch\nrecht fröhlich. Diamant mag\nihre Klamaukgeschichten. Hat\ndie lebhaftesten Träume.
MID_FRIENDLIST_Jade_TextS	Das Leben mit Jade:\nLächelt stets in der Nähe\n\x0E\x0A\x00\x10\x06des\x06der \x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin und arbeitet\nan einem Buch über \x0E\x0A\x00\x16\neinen\x08eine\nWyrm\x0E\x0A\x00\x18\x08gott\x0Cgöttin und \x0E\x0A\x00\x16\nseine\x08ihre loyale\nRitterin. Verwahrt den Pakt-\nring in einer Metallkiste auf,\num ihn zu schützen.
MID_FRIENDLIST_Staluke_TextD	Startklasse: Lord\nGeburtstag: 15. Oktober\nBasisinfo: Prinz von Brodia.\nSeine Getreuen sind Lapis\nund Citrinne. Hielt die Gruppe\n\x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin für Banditen\nund schoss auf sie. Bat gleich\nanschließend um Verzeihung.
MID_FRIENDLIST_Staluke_TextC	Mag: Lesen, Lernen, lange\nSpaziergänge, Fische, Angeln,\nandere Leute (außer Feinde).\n\nMag nicht: Partys, Mode,\nSonnenbrände, Lob,\nSchmeicheleien, sich selbst.
MID_FRIENDLIST_Staluke_TextB	Hobbys: Trübsal blasen.\nTalente: In anderen das\nBeste sehen.\nHintergrund: Zweiter Prinz\nseines Königreichs. Wuchs\nim Schatten seines Bruders\nauf. Talentiert, aber mit\nwenig Selbstwertgefühl.
MID_FRIENDLIST_Staluke_TextA	Größe: 172 cm\nRingumfang: 57 mm\nCharakter: Pessimistisch und\näußerst selbstkritisch. Hält\nandere für talentierter, obwohl\ndiese ihn als fähigen Prinzen\nbetrachten. Hat die seidigsten\nHaare in der Armee.
MID_FRIENDLIST_Staluke_TextS	Das Leben mit Alcryst:\nLächelt \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin bei\njeder Begegnung schüchtern\nan und winkt, wirkt aber viel\nselbstsicherer an \x0E\x0A\x00\x1A\x0Cseiner\nihrer Seite.\nHält den Paktring für zu kost-\nbar, um ihn zu tragen, trägt\nihn jedoch beim Schlafen.
MID_FRIENDLIST_Lapis_TextD	Startklasse: Schwertkämpfer\nGeburtstag: 25. Mai\nBasisinfo: Königliche Soldatin\nvon Brodia. Traf gemeinsam\nmit Alcryst und Citrinne auf\n\x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin und hielt \x0E\x0A\x00\x10\x06ihn\x06sie\nund \x0E\x0A\x00\x16\nseine\x08ihre Gruppe fälschlicher-\nweise für Banditen.
MID_FRIENDLIST_Lapis_TextC	Mag: Süßkartoffeln, Nähen,\nHandwerken, Training, Tiere,\nverwertbares Holz, wildes\nGras.\n\nMag nicht: Mode, Luxusgüter,\nelegante Orte, Aristokratie.
MID_FRIENDLIST_Lapis_TextB	Hobbys: Jagen, Gärtnern.\nTalente: Praxisorientiertes\nArbeiten, Dinge herstellen.\nHintergrund: Wuchs auf einem\nKartoffelhof auf und trainierte\neisern für ein Turnier, um eine\nkönigliche Getreue zu werden\nund ihrer Familie zu helfen.
MID_FRIENDLIST_Lapis_TextA	Größe: 160 cm\nRingumfang: 47 mm\nCharakter: Großherzig und\ngutmütig. Wirkt zierlich, ist\njedoch unglaublich stark.\nKann alles Mögliche aus Müll\nbasteln. Beste „Stein, Schere,\nPapier“-Spielerin der Armee.
MID_FRIENDLIST_Lapis_TextS	Das Leben mit Lapis:\nTeilt zahlreiche Hobbys mit\n\x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin wie Hand-\nwerken oder die Pflege von\nPflanzen. Fühlt sich unwohl\nunter Aristokraten. Verwahrt\nden Paktring in einer selbst-\ngefertigten Steinschatulle auf.
MID_FRIENDLIST_Citrinica_TextD	Startklasse: Magier\nGeburtstag: 9. November\nBasisinfo: Königliche Soldatin\nvon Brodia. Traf gemeinsam\nmit Alcryst und Lapis auf\n\x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin und hielt \x0E\x0A\x00\x10\x06ihn\x06sie\nund \x0E\x0A\x00\x16\nseine\x08ihre Gruppe fälschlicher-\nweise für Banditen.
MID_FRIENDLIST_Citrinica_TextC	Mag: Teepartys, Luxusgüter,\nMärchen, Lernen, Blumen,\nEntspannen, Freunde lächeln\nsehen, Galas und Bälle.\n\nMag nicht: Kochen, Nähen,\nHandwerken, ihre eigenen\nSchwächen (trotz Training).
MID_FRIENDLIST_Citrinica_TextB	Hobbys: Geschenke machen.\nTalente: Verhandlungen, Neu-\nes entdecken, hart arbeiten.\nHintergrund: Tochter eines\nGroßherzogs, Cousine von\nAlcryst und Diamant. Getreue\naufgrund ihres Stands, hegt\nZweifel an ihren Fähigkeiten.
MID_FRIENDLIST_Citrinica_TextA	Größe: 163 cm\nRingumfang: 48 mm\nCharakter: Mitfühlend und\numsichtig, aber mit finsterem\nBlick. Wuchs reich auf, macht\nmit ihrem Vermögen anderen\ngern eine Freude. Besitzt in\nder Armee das meiste Land.
MID_FRIENDLIST_Citrinica_TextS	Das Leben mit Citrinne:\nErfreut \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin mit\nlieben Worten anstatt mit ver-\nschwenderischen Geschenken\nund möchte mit \x0E\x0A\x00\x10\x06ihm\x06ihr gerne\neinmal auf einen Ball.\nBewahrt den Paktring auf\neinem Podest auf.
MID_FRIENDLIST_Ivy_TextD	Startklasse: Bändigerin\nGeburtstag: 17. November\nBasisinfo: Kronprinzessin von\nElusia. Trat mit den Getreuen\nZelkov und Kagetsu \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin zunächst feindlich\nentgegen, schloss sich \x0E\x0A\x00\x10\x06ihm\x06ihr\naber im Schattenmoor an.
MID_FRIENDLIST_Ivy_TextC	Mag: \x0E\x0A\x008\x18Den Wyrmgott\x1CDie Wyrmgöttin, Lesen,\nLernen, sanfte Brisen, Kräuter,\nruhige Orte, Teepartys.\nMag nicht: Geister, Spukge-\nschichten, Käfer, Partys, laute\nGeräusche, starke Gerüche,\nSonnenbrände, aufdringliche\nLeute.
MID_FRIENDLIST_Ivy_TextB	Hobbys: Nichts Bestimmtes.\nTalente: Gefühle verbergen.\nHintergrund: Älteste Tochter\nder rechtmäßigen Ehefrau von\nKönig Hyacinth, schon früh in\nRänkespiele des Hofes ver-\nstrickt. Absolventin v. Elusias\nAkademie und Thronfolgerin.
MID_FRIENDLIST_Ivy_TextA	Größe: 172 cm\nRingumfang: 48 mm\nCharakter: Ruhig und zurück-\nhaltend. Ist stets auf der Hut,\naber kümmert sich um jene,\ndenen sie vertraut. Betet \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin an. Hat von allen\ndie größte Angst vor Geistern.
MID_FRIENDLIST_Ivy_TextS	Das Leben mit Ivy:\nMacht aus ihrer Zuneigung\n\x0E\x0A\x008\x18zum Wyrmgott\x1Czur Wyrmgöttin keinen Hehl\nund schätzt ihre gemeinsame\nZeit sehr. Verwahrt den Pakt-\nring in einer Goldschatulle\nund betrachtet ihn nur, wenn\nsie allein in ihrem Zimmer ist.
MID_FRIENDLIST_Zelkova_TextD	Startklasse: Dieb\nGeburtstag: 2. August\nBasisinfo: Er und Kagetsu\nsind Getreue von Ivy, der\nPrinzessin von Elusia. Einst\nein Feind \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin,\nschloss sich \x0E\x0A\x00\x10\x06ihm\x06ihr später aber\nim Schattenmoor an.
MID_FRIENDLIST_Zelkova_TextC	Mag: Handwerken, Lesen,\nbeschäftigt sein, Nähen, feine\nHandarbeit, Kochen, Friedhöfe,\nKinder beschützen.\n\nMag nicht: Starke Gerüche,\nPartys, Müßiggang, Märchen,\nLangeweile, Verzweiflung.
MID_FRIENDLIST_Zelkova_TextB	Hobbys: Alles.\nTalente: Medizin, Rätsel.\nHintergrund: Entstammt einer\nreichen Familie aus einer\nWaldsiedlung in Elusia. Seine\nEltern u. sein jüngerer Bruder\nwurden von Banditen getötet.\nEr rächte sie als Assassine.
MID_FRIENDLIST_Zelkova_TextA	Größe: 185 cm\nRingumfang: 55 mm\nCharakter: Ein pedantisches\nMultitalent. Spricht auf sehr...\nsonderbare... Art und erledigt\nDinge voller Leidenschaft.\nSehr fürsorglich. Benötigt von\nallen am wenigsten Schlaf.
