MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nOh, zum Kuckuck! Gesteh's dir ein, Jean.\nDu hast dich verlaufen...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nMag mir gar nich' ausmalen, was mit dem armen\nKind geschehen wär, wenn ich an dem Tag nich'\naus dem Wald rausgefunden hätte...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nUnd das heißt: Du hast dem verletzten Kind\ngenauso viel geholfen wie ich, Clanne! Also...\nDanke dafür!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nAch, ich hab doch gar nicht viel getan! Ich hab\ndir ja bloß den Weg zurück gezeigt.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nAber das hat große Wellen nach sich gezogen!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nDas Kind stammte aus 'ner ärmlichen Familie.\nIch glaub nich', dass die sich 'nen richtigen\nArztbesuch hätten leisten können.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nWär ich also nich' mit meinen Kräutern da\ngewesen, wär die Wunde vielleicht septisch\ngeworden.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nDu meine Güte.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ジャン\nZugegeben, als ich mich verlaufen hab, hatte ich\nkurz 'n paar Tränen in den Augen, aber ich hab\nmir alles in allem nich' viel dabei gedacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nWenn ein Arzt sich verspätet... kann das den\nUnterschied zwischen Leben und Tod aus-\nmachen. Jede Sekunde zählt.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nIch muss echt vorsichtiger sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nJean, du hast zwar recht, aber trotzdem...\nSei nicht zu streng mit dir selbst.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nJeder hat mal einen Tag, an dem irgendwas\nnicht so läuft, wie es sollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nAber wenn man sich dann fragt: „Wie genau\nkam es eigentlich dazu?“, dann kann man es\nnächstes Mal besser machen!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nWobei ich als Behüter \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin\nirgendwie ständig dieselben Fehler mache...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nFehler? Du? Kann ich mir gar nich' vorstellen.\nDu machst auf mich immer so 'nen\nselbstsicheren Eindruck!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nOh, da irrst du dich. Ich bin nach wie vor bloß\nein Lehrling.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nUnd die meisten unserer Gefährten sind älter als\nich. Da bin ich glatt froh, jemanden zu haben,\nder eher in meiner Altersklasse ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ジャン\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クラン\nOh nein, habe ich was Falsches gesagt?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ジャン\nNee, überhaupt nich'! Ich bin froh, dass du das\nso siehst! Hab immer befürchtet, ich wär den\nLeuten bloß 'n Klotz am Bein...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ジャン\nDarum ist's schön zu hören, dass sich jemand\nfreut, mich dabeizuhaben!\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06クラン\nIch glaube, deine Befürchtungen sind völlig\nübertrieben, was das betrifft.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06ジャン\nWart's nur ab, Clanne. Irgendwann werd ich so\nverlässlich wie du sein!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06クラン\nAu!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nClanne! Alles in Ordnung?!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nGeht schon. Ich bin nur hingefallen und habe\nmir was aufgeschürft.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nSelbst 'ne kleine Wunde kann sich infizieren,\nwenn man sie nich' behandelt.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\nLass mich mal sehen, dann behandle ich dich\nhier und jetzt.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nNa gut.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nEs blutet ein wenig. Lass mich mal machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nAutsch, das brennt!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nKeine Sorge, bin schon fertig. War auch gar\nnich' so schlimm, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nHahaha, danke.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nMusst dich nich' bedanken. Is' das Mindeste,\nwas ich für dich tun kann, um mich bei dir zu\nrevanchieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nBei mir? Aber wofür denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nDu hast mir letztes Mal was gesagt, das is'\nirgendwie hängengeblieben.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\nDabei ging's darum, dass man aus seinen\nFehlern lernt, ums beim nächsten Mal besser\nzu machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nStimmt, darüber hatten wir gesprochen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nDein Ratschlag fühlte sich so... aufrichtig an.\nWie etwas, das ich von meiner eigenen Familie\nhören würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nDanke, Jean...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nDu weißt, ich komm von 'ner Insel in Firene.\nHier ist's zwar auch ganz hübsch, aber es fühlt\nsich halt nich' wie zu Haus an.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nDoch was du mir gesagt hast, hat geholfen,\ndass sich dieses Gefühl 'n bisschen ändert.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nHm.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nWenn du deine Familie so sehr vermisst, Jean,\nkannst du mich ruhig als älteren Bruder\nansehen!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nIch mache bestimmt immer mal wieder Fehler\nund habe selbst noch viel zu lernen, aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nDas macht doch nix! Wenn jemand wie du\nmein großer Bruder wär, hätt ich nix mehr\nzu befürchten!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nHahaha! Ich helfe gern.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ジャン\nEssen sollte übrigens bald fertig sein. Wie geht's\ndenn deiner Schürfwunde?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nSchon viel besser, danke. Deine Behandlung hat\ndefinitiv geholfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ジャン\nVielleicht solltest du dich trotzdem erst mal auf\nmich stützen. Ist das nicht genau das, wofür\neine Familie da ist?\x0E\x04\x00\x00
