MSID_Hp_5	KP +5
MSID_H_Def_4	Verleiht Ver. +4.
MSID_Def_5	Verteidigung +5
MSID_H_Def_5	Verleiht Ver. +5.
MSID_Mag_2	Magie +2
MSID_H_Mag_2	Verleiht Mag. +2.
MSID_Mag_3	Magie +3
MSID_H_Mag_3	Verleiht Mag. +3.
MSID_Mag_4	Magie +4
MSID_H_Mag_4	Verleiht Mag. +4.
MSID_Mag_5	Magie +5
MSID_H_Mag_5	Verleiht Mag. +5.
MSID_Res_2	Resistenz +2
MSID_H_Res_2	Verleiht Res. +2.
MSID_Res_3	Resistenz +3
MSID_H_Res_3	Verleiht Res. +3.
MSID_Res_4	Resistenz +4
MSID_H_Res_4	Verleiht Res. +4.
MSID_Res_5	Resistenz +5
MSID_H_Res_5	Verleiht Res. +5.
MSID_Phy_3	Figur +3
MSID_H_Phy_3	Verleiht Fig. +3
MSID_Phy_4	Figur +4
MSID_H_Phy_4	Verleiht Fig. +4
MSID_Phy_5	Figur +5
MSID_H_Phy_5	Verleiht Fig. +5
MSID_Mov_1	Bewegung +1
MSID_H_Mov_1	Verleiht Bew. +1.
MSID_Avo_10	Ausweichen +10
MSID_H_Avo_10	Verleiht Aw. +10.
MSID_Avo_15	Ausweichen +15
MSID_H_Avo_15	Verleiht Aw. +15.
MSID_Avo_20	Ausweichen +20
MSID_H_Avo_20	Verleiht Aw. +20.
MSID_Avo_25	Ausweichen +25
MSID_H_Avo_25	Verleiht Aw. +25.
MSID_Avo_30	Ausweichen +30
MSID_H_Avo_30	Verleiht Aw. +30.
MSID_Hit_10	Treffer +10
MSID_H_Hit_10	Verleiht Trf. +10.
MSID_Hit_15	Treffer +15
MSID_H_Hit_15	Verleiht Trf. +15.
MSID_Hit_20	Treffer +20
MSID_H_Hit_20	Verleiht Trf. +20.
MSID_Hit_25	Treffer +25
MSID_H_Hit_25	Verleiht Trf. +25.
MSID_Hit_30	Treffer +30
MSID_H_Hit_30	Verleiht Trf. +30.
MSID_CriAvo_10	Krit. Ausw. +10
MSID_H_CriAvo_10	Verleiht Krit. Aw. +10.
MSID_CriAvo_15	Krit. Ausw. +15
MSID_H_CriAvo_15	Verleiht Krit. Aw. +15.
MSID_CriAvo_20	Krit. Ausw. +20
MSID_H_CriAvo_20	Verleiht Krit. Aw. +20.
MSID_CriAvo_25	Krit. Ausw. +25
MSID_H_CriAvo_25	Verleiht Krit. Aw. +25.
MSID_CriAvo_30	Krit. Ausw. +30
MSID_H_CriAvo_30	Verleiht Krit. Aw. +30.
MSID_SwordArts_Soft_1	Schwertagilität 1
MSID_H_SwordArts_Soft_1	Die Einheit erhält Aw. +10 und\nerleidet Krit. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Soft_2	Schwertagilität 2
MSID_H_SwordArts_Soft_2	Die Einheit erhält Aw. +15 und\nerleidet Krit. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Soft_3	Schwertagilität 3
MSID_H_SwordArts_Soft_3	Die Einheit erhält Aw. +20 und\nerleidet Krit. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Soft_4	Schwertagilität 4
MSID_H_SwordArts_Soft_4	Die Einheit erhält Aw. +25 und\nerleidet Krit. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Soft_5	Schwertagilität 5
MSID_H_SwordArts_Soft_5	Die Einheit erhält Aw. +30 und\nerleidet Krit. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Hard_1	Schwertkraft 1
MSID_H_SwordArts_Hard_1	Die Einheit erhält Agr. +2 und\nerleidet Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Hard_2	Schwertkraft 2
MSID_H_SwordArts_Hard_2	Die Einheit erhält Agr. +4 und\nerleidet Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Hard_3	Schwertkraft 3
MSID_H_SwordArts_Hard_3	Die Einheit erhält Agr. +6 und\nerleidet Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Hard_4	Schwertkraft 4
MSID_H_SwordArts_Hard_4	Die Einheit erhält Agr. +8 und\nerleidet Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Hard_5	Schwertkraft 5
MSID_H_SwordArts_Hard_5	Die Einheit erhält Agr. +10 und\nerleidet Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Mind_1	Schwertfokus 1
MSID_H_SwordArts_Mind_1	Die Einheit erhält Trf. +10 und\nerleidet Krit. Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Mind_2	Schwertfokus 2
MSID_H_SwordArts_Mind_2	Die Einheit erhält Trf. +15 und\nerleidet Krit. Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Mind_3	Schwertfokus 3
MSID_H_SwordArts_Mind_3	Die Einheit erhält Trf. +20 und\nerleidet Krit. Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Mind_4	Schwertfokus 4
MSID_H_SwordArts_Mind_4	Die Einheit erhält Trf. +25 und\nerleidet Krit. Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_SwordArts_Mind_5	Schwertfokus 5
MSID_H_SwordArts_Mind_5	Die Einheit erhält Trf. +30 und\nerleidet Krit. Aw. -10, wenn sie ein\nSchwert verwendet.
MSID_LanceArts_Soft_1	Lanzenagilität 1
MSID_H_LanceArts_Soft_1	Die Einheit erhält Aw. +10 und\nerleidet Krit. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Soft_2	Lanzenagilität 2
MSID_H_LanceArts_Soft_2	Die Einheit erhält Aw. +15 und\nerleidet Krit. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Soft_3	Lanzenagilität 3
MSID_H_LanceArts_Soft_3	Die Einheit erhält Aw. +20 und\nerleidet Krit. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Soft_4	Lanzenagilität 4
MSID_H_LanceArts_Soft_4	Die Einheit erhält Aw. +25 und\nerleidet Krit. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Soft_5	Lanzenagilität 5
MSID_H_LanceArts_Soft_5	Die Einheit erhält Aw. +30 und\nerleidet Krit. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Hard_1	Lanzenkraft 1
MSID_H_LanceArts_Hard_1	Die Einheit erhält Agr. +2 und\nerleidet Aw. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Hard_2	Lanzenkraft 2
MSID_H_LanceArts_Hard_2	Die Einheit erhält Agr. +4 und\nerleidet Aw. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Hard_3	Lanzenkraft 3
MSID_H_LanceArts_Hard_3	Die Einheit erhält Agr. +6 und\nerleidet Aw. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Hard_4	Lanzenkraft 4
MSID_H_LanceArts_Hard_4	Die Einheit erhält Agr. +8 und\nerleidet Aw. -10, wenn sie eine\nLanze verwendet.
MSID_LanceArts_Hard_5	Lanzenkraft 5
MSID_H_LanceArts_Hard_5	Die Einheit erhält Agr. +10 und\nerleidet Aw. -10, wenn sie eine\nLanze verwendet.
MSID_AxeArts_Hard_1	Axtkraft 1
MSID_H_AxeArts_Hard_1	Die Einheit erhält Agr. +2 und\nerleidet Aw. -10, wenn sie eine Axt\nverwendet.
MSID_AxeArts_Hard_2	Axtkraft 2
MSID_H_AxeArts_Hard_2	Die Einheit erhält Agr. +4 und\nerleidet Aw. -10, wenn sie eine Axt\nverwendet.
MSID_AxeArts_Hard_3	Axtkraft 3
MSID_H_AxeArts_Hard_3	Die Einheit erhält Agr. +6 und\nerleidet Aw. -10, wenn sie eine Axt\nverwendet.
MSID_AxeArts_Hard_4	Axtkraft 4
MSID_H_AxeArts_Hard_4	Die Einheit erhält Agr. +8 und\nerleidet Aw. -10, wenn sie eine Axt\nverwendet.
MSID_AxeArts_Hard_5	Axtkraft 5
MSID_H_AxeArts_Hard_5	Die Einheit erhält Agr. +10 und\nerleidet Aw. -10, wenn sie eine Axt\nverwendet.
MSID_BowArts_Soft_1	Bogenagilität 1
MSID_H_BowArts_Soft_1	Die Einheit erhält Aw. +10 und\nerleidet Krit. -10, wenn sie einen\nBogen verwendet.
MSID_BowArts_Soft_2	Bogenagilität 2
MSID_H_BowArts_Soft_2	Die Einheit erhält Aw. +15 und\nerleidet Krit. -10, wenn sie einen\nBogen verwendet.
MSID_BowArts_Soft_3	Bogenagilität 3
MSID_H_BowArts_Soft_3	Die Einheit erhält Aw. +20 und\nerleidet Krit. -10, wenn sie einen\nBogen verwendet.
MSID_BowArts_Soft_4	Bogenagilität 4
MSID_H_BowArts_Soft_4	Die Einheit erhält Aw. +25 und\nerleidet Krit. -10, wenn sie einen\nBogen verwendet.
MSID_BowArts_Soft_5	Bogenagilität 5
MSID_H_BowArts_Soft_5	Die Einheit erhält Aw. +30 und\nerleidet Krit. -10, wenn sie einen\nBogen verwendet.
MSID_BowArts_Mind_1	Bogenfokus 1
MSID_H_BowArts_Mind_1	Die Einheit erhält Trf. +10 und\nerleidet Krit. Aw. -10, wenn sie\neinen Bogen verwendet.
MSID_BowArts_Mind_2	Bogenfokus 2
MSID_H_BowArts_Mind_2	Die Einheit erhält Trf. +15 und\nerleidet Krit. Aw. -10, wenn sie\neinen Bogen verwendet.
MSID_BowArts_Mind_3	Bogenfokus 3
MSID_H_BowArts_Mind_3	Die Einheit erhält Trf. +20 und\nerleidet Krit. Aw. -10, wenn sie\neinen Bogen verwendet.
MSID_BowArts_Mind_4	Bogenfokus 4
MSID_H_BowArts_Mind_4	Die Einheit erhält Trf. +25 und\nerleidet Krit. Aw. -10, wenn sie\neinen Bogen verwendet.
MSID_BowArts_Mind_5	Bogenfokus 5
MSID_H_BowArts_Mind_5	Die Einheit erhält Trf. +30 und\nerleidet Krit. Aw. -10, wenn sie\neinen Bogen verwendet.
MSID_MartialArts_Mind_1	Nahkampffokus 1
MSID_H_MartialArts_Mind_1	Die Einheit erhält Trf. +10 und\nerleidet Krit. Aw. -10, wenn sie eine\nNahkampftechnik anwendet.
MSID_MartialArts_Mind_2	Nahkampffokus 2
MSID_H_MartialArts_Mind_2	Die Einheit erhält Trf. +15 und\nerleidet Krit. Aw. -10, wenn sie eine\nNahkampftechnik anwendet.
MSID_MartialArts_Mind_3	Nahkampffokus 3
MSID_H_MartialArts_Mind_3	Die Einheit erhält Trf. +20 und\nerleidet Krit. Aw. -10, wenn sie eine\nNahkampftechnik anwendet.
MSID_MartialArts_Mind_4	Nahkampffokus 4
MSID_H_MartialArts_Mind_4	Die Einheit erhält Trf. +25 und\nerleidet Krit. Aw. -10, wenn sie eine\nNahkampftechnik anwendet.
MSID_MartialArts_Mind_5	Nahkampffokus 5
MSID_H_MartialArts_Mind_5	Die Einheit erhält Trf. +30 und\nerleidet Krit. Aw. -10, wenn sie eine\nNahkampftechnik anwendet.
MSID_KnifeArts_1	Messerpräzision 1
MSID_H_KnifeArts_1	Die Einheit erhält Trf./Aw. +3,\nwenn sie ein Messer verwendet.
MSID_KnifeArts_2	Messerpräzision 2
MSID_H_KnifeArts_2	Die Einheit erhält Trf./Aw. +5,\nwenn sie ein Messer verwendet.
MSID_KnifeArts_3	Messerpräzision 3
MSID_H_KnifeArts_3	Die Einheit erhält Trf./Aw. +7,\nwenn sie ein Messer verwendet.
MSID_KnifeArts_4	Messerpräzision 4
MSID_H_KnifeArts_4	Die Einheit erhält Trf./Aw. +10,\nwenn sie ein Messer verwendet.
MSID_KnifeArts_5	Messerpräzision 5
MSID_H_KnifeArts_5	Die Einheit erhält Trf./Aw. +15,\nwenn sie ein Messer verwendet.
MSID_MagicArts_1	Buchpräzision 1
MSID_H_MagicArts_1	Die Einheit erhält Trf./Aw. +3,\nwenn sie ein Buch verwendet.
MSID_MagicArts_2	Buchpräzision 2
MSID_H_MagicArts_2	Die Einheit erhält Trf./Aw. +5,\nwenn sie ein Buch verwendet.
MSID_MagicArts_3	Buchpräzision 3
MSID_H_MagicArts_3	Die Einheit erhält Trf./Aw. +7,\nwenn sie ein Buch verwendet.
MSID_MagicArts_4	Buchpräzision 4
MSID_H_MagicArts_4	Die Einheit erhält Trf./Aw. +10,\nwenn sie ein Buch verwendet.
MSID_MagicArts_5	Buchpräzision 5
MSID_H_MagicArts_5	Die Einheit erhält Trf./Aw. +15,\nwenn sie ein Buch verwendet.
MSID_RodArts_1	Stabkunst 1
MSID_H_RodArts_1	Verleiht der Einheit Trf. +10, wenn\nsie einen Stab verwendet. Stäbe\nstellen 3 zusätzliche KP wieder her.
MSID_RodArts_2	Stabkunst 2
MSID_H_RodArts_2	Verleiht der Einheit Trf. +15, wenn\nsie einen Stab verwendet. Stäbe\nstellen 5 zusätzliche KP wieder her.
MSID_RodArts_3	Stabkunst 3
MSID_H_RodArts_3	Verleiht der Einheit Trf. +20, wenn\nsie einen Stab verwendet. Stäbe\nstellen 7 zusätzliche KP wieder her.
MSID_RodArts_4	Stabkunst 4
MSID_H_RodArts_4	Verleiht der Einheit Trf. +25, wenn\nsie einen Stab verwendet. Stäbe\nstellen 10 zusätzliche KP wieder her.
MSID_RodArts_5	Stabkunst 5
MSID_H_RodArts_5	Verleiht der Einheit Trf. +30, wenn\nsie einen Stab verwendet. Stäbe\nstellen 15 zusätzliche KP wieder her.
MSID_Outclass_1	Aufmerksamkeit
MSID_H_Outclass_1	Initiiert die Einheit den Kampf, erhält\nsie Aw. +15 im Kampf.\nAw. erhöht sich bei hohem\nGes.-Wert.
MSID_Outclass_2	Aufmerksamkeit+
MSID_H_Outclass_2	Initiiert die Einheit den Kampf, erhält\nsie Aw. +30 im Kampf.\nAw. erhöht sich bei hohem\nGes.-Wert.
MSID_Fortitude_1	Unbeugsamkeit
MSID_H_Fortitude_1	Sind die KP zu Beginn der Spieler-\nphase ≦ 20 %, werden 20 % der\nmaximalen KP der Einheit wiederher-\ngestellt.
MSID_Fortitude_2	Unbeugsamkeit+
MSID_H_Fortitude_2	Sind die KP zu Beginn der Spieler-\nphase ≦ 30 %, werden 30 % der\nmaximalen KP der Einheit wiederher-\ngestellt.
MSID_Fortitude_3	Unbeugsamkeit++
MSID_H_Fortitude_3	Sind die KP zu Beginn der Spieler-\nphase ≦ 40 %, werden 40 % der\nmaximalen KP der Einheit wiederher-\ngestellt.
MSID_MarthEngage	Göttliche Schnelle
MSID_H_MarthEngage	Die Einheit führt im Kampf einen\nzusätzlichen Folgeangriff mit\nSchaden = 50 % aus.
MSID_H_MarthEngage_Covert	Die Einheit führt im Kampf einen\nzusätzlichen Folgeangriff mit\nSchaden = 50 % aus.\nVerstohlene: Trifft der zusätzliche\nFolgeangriff, wird Gegner vergiftet.
MSID_H_MarthEngage_Dragon	Die Einheit führt im Kampf einen\nzusätzlichen Folgeangriff mit\nSchaden = 50 % aus.\nDrache: Einheit erhält KP in Höhe\nd. Schadens durch den Folgeangriff.
MSID_BreakPursuit	Verteidigungsbruch
MSID_H_BreakPursuit	Wenn die Einheit den Gegner bricht,\nführt sie einen Folgeangriff mit\nSchaden = 50 % aus.
MSID_MarthEngageAtk	Sternenlord-Blitz
MSID_H_MarthEngageAtk	Die Einheit führt 7 Angriffe in Folge\nmit dem Schwert aus, die je 30 %\nSchaden zufügen. Nur bei benach-\nbarten Gegnern.
MSID_H_MarthEngageAtk_Dragon	Die Einheit führt 7 Angriffe in Folge\nmit dem Schwert aus, die je 30 %\nSchaden zufügen. Nur bei benach-\nbarten Gegnern.\nDrache: +2 Angriffe.
MSID_H_MarthEngageAtk_Coop	Die Einheit führt 7 Angriffe in Folge\nmit dem Schwert aus, die je 30 %\nSchaden zufügen. Nur bei benach-\nbarten Gegnern.\nAssistent: +1 Angriffe.
MSID_H_MarthEngageAtk_Magic	Die Einheit führt 7 Angriffe in Folge\nmit dem Schwert aus, die je 30 %\nSchaden zufügen. Nur bei benach-\nbarten Gegnern. – Mystische:\nSchaden basiert auf Mag.-Wert
MSID_H_MarthEngageAtk_CMD	Greift mit Schauer aus Hieben an.
MSID_Remove_1	Kanter
MSID_H_Remove_1	Die Einheit kann sich nach ihrer\nAktion 2 Felder weit bewegen.
MSID_Remove_2	Kanter+
MSID_H_Remove_2	Die Einheit kann sich nach ihrer\nAktion 3 Felder weit bewegen.
MSID_Approach_1	Kraftimpuls
MSID_H_Approach_1	Verleiht Angr. +1 im ersten Angriff\ndes Kampfes für jedes Feld, über\ndas sich die Einheit vor dem\nAngriff bewegt hat (max. +10).
MSID_Approach_2	Kraftimpuls+
MSID_H_Approach_2	Verleiht Angr. +1 im ersten Angriff\ndes Kampfes für jedes Feld, über\ndas sich die Einheit vor dem\nAngriff bewegt hat.
MSID_Rush	Wilder Ritt
MSID_H_Rush	Verleiht Immunität gegen Einfrieren.
MSID_SigludEngage	Galopp
MSID_H_SigludEngage	Verleiht Bew. +5.
MSID_H_SigludEngage_Dragon	Verleiht Bew. +5.\nDrache: Verleiht zusätzlich Bew. +1.
MSID_H_SigludEngage_Horse	Verleiht Bew. +5.\nBerittene: Verleiht zusätzlich\nBew. +2.
MSID_H_SigludEngage_Covert	Verleiht Bew. +5.\nVerstohlene: Für die Einheit fallen\nauf jedem Gelände keine weiteren\nBewegungskosten an.
MSID_SigludEngageAtk	Überreiten
MSID_H_SigludEngageAtk	Die Einheit kann alle benachbarten\nGegner in einer Reihe angreifen und\nsich auf ihre gegenüberliegende Seite\nbegeben. Nur Schwert/Lanze.
MSID_H_SigludEngageAtk_Dragon	Die Einheit kann alle benachbarten\nGegner in einer Reihe angreifen und\nsich auf ihre gegenüberliegende Seite\nbegeben. Nur Schwert/Lanze.\nDrache: Fügt Schaden +20 % zu.
MSID_H_SigludEngageAtk_Heavy	Die Einheit kann alle benachbarten\nGegner in einer Reihe angreifen und\nsich auf ihre gegenüberliegende Seite\nbegeben. Nur Schwert/Lanze. Gepan-\nzerte: 10 % Chance, Ziel zu brechen.
MSID_H_SigludEngageAtk_Magic	Die Einheit kann alle benachbarten\nGegner in einer Reihe angreifen und\nsich auf ihre gegenüberliegende Seite\nbegeben. Nur Schwert/Lanze.\nMystische: Schaden +25 % von Mag.
MSID_H_SigludEngageAtk_Prana	Die Einheit kann alle benachbarten\nGegner in einer Reihe angreifen und\nsich auf ihre gegenüberliegende Seite\nbegeben. Nur Schwert/Lanze. Qi-\nAdept: 20 % Chance, Ziel zu brechen.
MSID_H_SigludEngageAtk_CMD	Ein Angriff in Bewegung.
MSID_M011_SigludEngage_DarkSide	Dunkler Galopp
MSID_H_M011_SigludEngage_DarkSide	Verleiht Bew. +3.
MSID_EvilCounter_1	Heilige Haltung
MSID_H_EvilCounter_1	Wird die Einheit von einem\nVerzerrten angegriffen, fügt sie dem\nGegner 10 % des erlittenen\nSchadens zu.
MSID_EvilCounter_2	Heilige Haltung+
MSID_H_EvilCounter_2	Wird die Einheit von einem\nVerzerrten angegriffen, fügt sie dem\nGegner 30 % des erlittenen\nSchadens zu.
MSID_EvilCounter_3	Heilige Haltung++
MSID_H_EvilCounter_3	Wird die Einheit von einem\nVerzerrten angegriffen, fügt sie dem\nGegner 50 % des erlittenen\nSchadens zu.
MSID_BlackMagic_1	Resonanz
MSID_H_BlackMagic_1	Ist die Einheit mit einem Buch ausge-\nrüstet und hat mindestens 2 KP, ver-\nliert sie zu Beginn des Kampfes 1 KP\nund fügt +2 Schaden im Kampf zu.
MSID_BlackMagic_2	Resonanz+
MSID_H_BlackMagic_2	Ist die Einheit mit einem Buch ausge-\nrüstet und hat mindestens 2 KP, ver-\nliert sie zu Beginn des Kampfes 1 KP\nund fügt +3 Schaden im Kampf zu.
MSID_FavoriteFood	Leibspeise
MSID_H_FavoriteFood	Isst die Einheit eine Ration,\nfüllt sich ihre Bündnisleiste\nvollständig.
MSID_CelicaEngage	Echo
MSID_H_CelicaEngage	Erlaubt einen Angriff mit Magie, der\n50 % Schaden zufügt. Erlaubt einen\nzweiten Angriff, der erneut 50 %\nSchaden zufügt.
MSID_H_CelicaEngage_Dragon	Erlaubt einen Angriff mit Magie, der\n50 % Schaden zufügt. Erlaubt einen\nzweiten Angriff, der erneut 50 %\nSchaden zufügt.\nDrache: Reichweite +1.
MSID_H_CelicaEngage_Magic	Erlaubt einen Angriff mit Magie, der\n50 % Schaden zufügt. Erlaubt einen\nzweiten Angriff, der erneut 50 %\nSchaden zufügt.\nMystische: Fügt Schaden +10 % zu.
MSID_H_CelicaEngage_CMD	Zwei separate Angriffe.
MSID_CelicaEngageAtk	Teleport-Ragna
MSID_H_CelicaEngageAtk	Erlaubt der Einheit, sich 10 Felder\nweit zu teleportieren und eine starke\nmagische Attacke auszuführen.
MSID_H_CelicaEngageAtk_Dragon	Erlaubt der Einheit, sich 10 Felder\nweit zu teleportieren und eine starke\nmagische Attacke auszuführen.\nDrache: Angriffsreichweite +1.
MSID_H_CelicaEngageAtk_Horse	Erlaubt der Einheit, sich 10 Felder\nweit zu teleportieren und eine starke\nmagische Attacke auszuführen.\nBerittene: Teleportdistanz +2.
MSID_H_CelicaEngageAtk_Fly	Erlaubt der Einheit, sich 10 Felder\nweit zu teleportieren und eine starke\nmagische Attacke auszuführen.\nFlieger: Teleportdistanz +5.
MSID_H_CelicaEngageAtk_Magic	Erlaubt der Einheit, sich 10 Felder\nweit zu teleportieren und eine starke\nmagische Attacke auszuführen.\nMystische: Fügen Schaden +20 % zu.
MSID_H_CelicaEngageAtk_CMD	Weiter Teleport, dann Angriff.
MSID_M011_CelicaEngageAtk_DarkSide	Dunkler Teleport
MSID_CelicaEngageAtk_DarkSide	Ragna-Teleport
MSID_H_CelicaEngageAtk_DarkSide	Die Einheit führt eine kraftvolle\nmagische Attacke aus und tele-\nportiert sich danach an eine andere\nStelle der Karte.
MSID_H_CelicaEngageAtk_DarkSide_CMD	Angriff, danach Teleport.
MSID_H_M011_CelicaEngageAtk_DarkSide	Die Einheit teleportiert sich über\n5 Felder hinweg und führt eine\nkraftvolle magische Attacke aus.
MSID_EvilCounter_3_DarkSide	Heillose Haltung
MSID_H_EvilCounter_3_DarkSide	Greift ein Gegner, der kein Verzerrter\nist, die Einheit an, fügt die Einheit\ndem Gegner 50 % des erlittenen\nSchadens zu.
MSID_EquipRod_1	Geistliche
MSID_H_EquipRod_1	Die Einheit kann Stäbe bis Level C\nverwenden.
MSID_EquipRod_2	Geistliche+
MSID_H_EquipRod_2	Die Einheit kann Stäbe bis Level B\nverwenden.
MSID_EquipRod_3	Geistliche++
MSID_H_EquipRod_3	Die Einheit kann Stäbe bis Level A\nverwenden.
MSID_Silenceproof	Schweigebann
MSID_H_Silenceproof	Verleiht Immunität gegenüber\nSchweigen.
MSID_HealingResonance	Heilendes Licht
MSID_H_HealingResonance	Heilt die Einheit einen Verbündeten\nmittels Stab, erhält sie KP = 50 %\nder wiederhergestellten Menge.
MSID_MicaiahEngage	Weitung
MSID_H_MicaiahEngage	Erhöht die Reichweite des Stabes\num 5 und den Bereich des Effekts\num +1.
MSID_H_MicaiahEngage_Dragon	Erhöht die Reichweite des Stabes\num 5 und den Bereich des Effekts\num +1.\nDrache: Zusätzliche Reichweite +1.
MSID_H_MicaiahEngage_Prana	Erhöht die Reichweite des Stabes\num 5 und den Bereich des Effekts\num +1.\nQi-Adept: Stäbe stellen +20 % KP\nwieder her.
MSID_MicaiahEngageAtk	Großes Opfer
MSID_H_MicaiahEngageAtk	Heilt alle KP aller verb. Einh., auch\nder nicht vom Spieler kontrollierten.\nNach Einsatz: KP der Einheit = 1.
MSID_H_MicaiahEngageAtk_Dragon	Heilt alle KP aller verb. Einh., auch\nder nicht vom Spieler kontrollierten.\nNach Einsatz: KP der Einheit = 1.\nDrache: KP der Einheit = 30 % der\naktuellen KP.
MSID_H_MicaiahEngageAtk_Heavy	Heilt alle KP aller verb. Einh., auch\nder nicht vom Spieler kontrollierten.\nNach Einsatz: KP der Einheit = 1.\nGepanzerte: Verleiht allen Geheilten\nin ihrem nächsten Kampf Ver. +1.
MSID_H_MicaiahEngageAtk_Prana	Heilt alle KP aller verb. Einh., auch\nder nicht vom Spieler kontrollierten.\nNach Einsatz: KP der Einheit = 1.\nQi-Adept: Heilt auch Statusver-\nänderungen.
MSID_H_MicaiahEngageAtk_CMD	KP geben = alle Verb. heilen.
MSID_M011_MicaiahEngage_DarkSide	Dunkle Weitung
MSID_H_M011_MicaiahEngage_DarkSide	Erhöht die Reichweite des Stabes\num 3 und den Bereich des Effekts\num +1.
MSID_HoldOut_1	Durchhalten
MSID_H_HoldOut_1	Sind die KP der Einheit zu Beginn\ndes Kampfes ≧ 30 %, überlebt sie\nimmer mit mindestens 1 KP.
MSID_HoldOut_2	Durchhalten+
MSID_H_HoldOut_2	Sind die KP der Einheit zu Beginn\ndes Kampfes ≧ 20 %, überlebt sie\nimmer mit mindestens 1 KP.
MSID_HoldOut_3	Durchhalten++
MSID_H_HoldOut_3	Sind die KP der Einheit zu Beginn\ndes Kampfes ≧ 10 %, überlebt sie\nimmer mit mindestens 1 KP.
MSID_HoldOut_4	Durchhalten+++
MSID_H_HoldOut_4	Hat die Einheit zu Beginn des\nKampfes KP ≧ 2, überlebt sie\nimmer mit mindestens 1 KP.
