MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nGegrillt und essbereit. Dieses Fleisch ist so\nlecker, da feiern die Geschmacksknospen eine\nZungenparty.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nWenn wir das schaffen, fühlt sich das Volk in\nder ganzen Region wieder viel sicherer.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nHahaha! So ungern ich es zugebe, aber dieser\nPlan gefällt mir besser.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nIhr färbt offenbar auf mich ab.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nKommt schon! Stellen wir sicher, dass diese\nMistkerle nie wieder ein Picknick ruinieren\nkönnen!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nIch bin dabei!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Ihr wisst ja, dass wir in Solm Freiheit\nmehr als alles andere schätzen, richtig?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nJa.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nミスティラ\nDas gilt auch für mich. Ich liebe es, tun zu\nkönnen, was ich will und wann ich es will.\nEs ist nur...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nミスティラ\nFühlt Ihr Euch manchmal von Euren engsten\nFreundschaften wie angekettet?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nWas meint Ihr damit?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nミスティラ\nWenn wir uns mit anderen Leuten anfreunden –\nIhr wisst schon, feste Bande knüpfen – dann\nmacht uns das stärker.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nミスティラ\nIch meine, unsere engsten Verbündeten helfen\nuns, Dinge zu erreichen, die wir allein nie\nvollbringen würden.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nミスティラ\nDas ist was richtig Mächtiges, schon klar. Aber\ndiese Bande – diese Freundschaften – können\nsich auch wie Verpflichtungen anfühlen.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nIch verstehe, was Ihr meint, und Ihr habt nicht\nunrecht.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nManchmal, wenn man jemanden sehr schätzt,\nmuss man deren Bedürfnisse vor die eigenen\nstellen.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nDas kommt in engen Beziehungen nun mal vor.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nミスティラ\nBedeutet echte Freiheit also, auf enge\nBeziehungen zu verzichten? Was meint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nIch meine, Ihr solltet das hier nehmen.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nミスティラ\nIst das... der Paktring?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nJa, und ich möchte, dass Ihr ihn nehmt, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nミスティラ\nIch? Aber warum denn das?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nWeil er uns einander näher bringt und Euch\ndabei doch niemals die Freiheit raubt.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nIch schätze Euch sehr, Timerra, und ich will\nnicht, dass Ihr verliert, was Euch am\nwichtigsten ist.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nミスティラ\nGlaubt Ihr wirklich, dass wir beide eine so feste\nBindung und gleichzeitig unsere Freiheit haben\nkönnen?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nJa. Da bin ich sicher.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nミスティラ\nDas ist so... wunderschön. Ich glaube, dann\nhabe ich meine Antwort.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nミスティラ\nIch... Ich akzeptiere den Ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nIch verspreche Euch, auch wenn unsere Herzen\nstets verbunden sind, dass Ihr frei bleibt.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nミスティラ\nDas klingt sehr schön, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nミスティラ\nDas wird unser Band sein, für ewig. Wo immer\nwir auch sind, wohin auch immer wir gehen, wir\nwerden stets zusammen sein.\x0E\x04\x00\x00
