MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAh. Habe ich dich endlich... gefunden... Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe ein Problem, das nur mit deinen...\nbesonderen... Fähigkeiten gelöst werden kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nWas? I-ich habe doch gar keine besonderen\nFähigkeiten, die bei kriminellen Aktivitäten\nhelfen könnten...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nWie war das? Du sprichst zu leise. Wenn dich\njemand hören soll, muss deine Stimme die Stille\ndurchschneiden wie ein... Dolch.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nAndernfalls wird mich womöglich der Gedanke\nbefallen, dass dir die nötige... Überzeugung...\nfehlt, um mir zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nNein, nein, nein! Alles gut, total gut! Hahaha!\nIch werde Euch gerne helfen!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クラン\nHört nur bitte auf, mich mit diesem gruseligen\nBlick anzustarren!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nWunderbar. Ich danke dir. Du solltest\nallerdings... niemandem... von unserer\nUnterhaltung erzählen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x08\x06クラン\nOjeee... \x0E\x0A\x00B\x1ABeim Wyrmgott$Bei der Wyrmgöttin... Was für\nfurchtbare Vergehen wird er mir wohl\naufzwingen?!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nWas, wenn er mich zum Komplizen bei einem\nVerbrechen macht? Nein, das kann ich nicht!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nEs ist so weit, Clanne. Du sollst mir nun\nbeibringen, wie man... Gewürzgurken...\nzubereitet.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nWas?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nGewürzgurken... Clanne. Du musst mich lehren.\nMir beibringen, wie man sie zubereitet.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nVielerorts flüsterte man mir zu, du würdest\nhervorragende... Gewürzgurken... herstellen.\nWurde ich etwa in die Irre geführt?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\nOh nein, das stimmt tatsächlich. Ich mache\nrichtig gerne Gewürzgurken.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nBei meiner Fähigkeit, die Ihr in Anspruch\nnehmen wolltet, ging es also bloß um die\nHerstellung von Gewürzgurken?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nDa bin ich aber erleichtert! Ich dachte wirklich,\nIhr würdet etwas... na ja, viel Düstreres von mir\nverlangen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nIch versichere dir, es steckt nichts Ruchloses\nhinter meinem Bestreben, mehr über die\nZubereitung von... Gewürzgurken... zu lernen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nDoch nun genug dieser... Alberei... wenn es dir\nnichts ausmacht. Es geht um eine ernste\nAngelegenheit.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nSeit Kurzem zählt die Kochkunst zu einem\nmeiner neuen... Zeitvertreibe.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nOh, wirklich? Das ist doch wundervoll!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe bereits zahlreiche Speisen gemeistert,\ndoch eine gewisse Soße, die auf gehackten...\nGewürzgurken... basiert, will mir nicht gelingen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIch befürchte, meine Technik benötigt etwas...\nFeinschliff.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nKönntet Ihr nicht einfach, na ja, Gewürzgurken\nauf dem Markt kaufen?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nUm mich quasi auf den Lorbeeren anderer\nauszuruhen? Auf keinen Fall. Diese...\nGewürzgurken... müssen von mir stammen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nAh... Und da komme ich ins Spiel.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nNa gut, kein Problem. Wenn es um die\nZubereitung von Gewürzgurken geht, bringe ich\nEuch gerne bei, was immer Ihr wissen wollt!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nDas ist... hervorragend.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nWenn ich Euch wirklich unterrichten soll, passt\nIhr aber auch gut auf, ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nGewiss. Schließlich steht das Schicksal meiner...\nSoße... auf dem Spiel.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nHmpf...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nZelkov? Was ist los? Ihr schaut wieder so finster\ndrein.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nOh, oh... Ist die Soße etwa nichts geworden?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nIch... Ich schätze nicht... Das tut mir leid. Ich\nwünschte, ich hätte Euch eine größere Hilfe sein\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nKoste sie.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nWas? Aber ich dachte, sie ist nichts ge--\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nDu sollst... kosten.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nNa gut...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nTja, ähm, dann wollen wir doch mal sehen. Ah...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クラン\nMoment mal, was?! Die ist ja total lecker!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nDie Gewürzgurken verfügen über eine perfekte\nBalance zwischen Süß und Sauer. Diese Soße\nist unglaublich!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n...Ja.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nWarum seht Ihr denn dann so aufgebracht aus?\nDie Soße ist Euch doch gelungen, oder nicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nDas ist sie. Die... Soße... ist perfekt. Doch nun\ngibt es ein noch viel größeres Problem.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDenn ich kenne kein Gericht, das dieser Soße...\nwürdig... wäre.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nOooh. Deshalb der Furcht einflößende\nGesichtsausdruck!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nIch war überzeugt davon, diese Soße würde\nmein absoluter... Triumph... werden. Erst jetzt\nsehe ich ein, wie abgrundtief töricht ich war.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nAlso ich finde ja, meine Gewürzgurken passen\nzu allem, aber besonders gut vermutlich zu\nrotem Fleisch.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nZu... Fleisch... sagst du?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nWaaah! Schon wieder dieses gruselige Gesicht!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nDu bist ein Gelehrter, Clanne! Ein... Genie... der\nkulinarischen Künste. Abermals stehe ich tief in\ndeiner Schuld.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nSofern es existiert, werde ich ein Gericht mit\nFleisch zubereiten, das dieser Soße... würdig ist.\nUnd dann werden wir gemeinsam davon kosten.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nJ-ja, ähm... Klar, warum nicht. Ich gewöhne\nmich eh langsam an diesen Gesichtsausdruck.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\nIch werde Euch auf Eurer Reise der Kochkunst\nbegleiten. Bestimmt gelingen uns dabei viele...\nköstliche... Speisen!\x0E\x04\x00\x00
