MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPrinz Alfred, wartet!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nAls ich noch klein war, bin ich auf einer Wölfin\ndurch den ganzen Palast von Solm geritten.\nWas für ein Chaos.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nBeeindruckend. Ich kann mir eine solche\nZügellosigkeit in meiner Familie gar nicht\nvorstellen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nWirklich? Die meisten Mitglieder meiner Familie\nsind auf irgendeine Art und Weise wild.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nOh, da fällt mir was ein. Soll ich Euch\nWolfsreitunterricht geben?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch hatte SO sehr gehofft, dass Ihr fragen\nwürdet.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nFantastisch! Dann werde ich Euch alles\nbeibringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nEs macht Euch ja sicher nichts aus, ab und zu\nangeknabbert und abgeworfen zu werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie? Öfter als einmal?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nJa sicher, weitaus öfter. Und wenn die Wölfin\nsich da erst einmal hineingesteigert hat, kann\nich sie nicht mehr zurückrufen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nAber du kannst sie selbst aufhalten.\nVorausgesetzt, du hast die nötigen Muskeln\ndafür.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nNun...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nErfahrene Reiter können ihre Wölfe unter\nKontrolle halten, nur bei Anfängern sieht das\nganz anders aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nAber ich will Euch keine Angst machen.\nDie meisten bestehen das Training ohne\nsignifikanten Gliedmaßenverlust.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch beginne gerade, meine Entscheidung zu\nhinterfragen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nVielleicht werde ich damit noch etwas warten.\nIch sollte mich nicht in zusätzliche Gefahr\nbegeben, solange der Krieg wütet.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nJa, ja. Manchmal braucht es besonders viel Mut,\num zu erkennen, wann man aufgeben muss.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nZeigt mir doch lieber, wie man zelten geht.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs ist bestimmt spannend zu sehen, wie Ihr den\nElementen in Solm widersteht. Zumindest ein\nbisschen wäre gut.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nOh, mit Vergnügen. Das klingt spaßig!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nミスティラ\nIch bringe Euch alles bei, was ich weiß. Wie man\ndas Zelt aufbaut, auf welche Tiere man achten\nmuss...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nOh, ja! Und am Wichtigsten – Singen!\nNichts geht über ein schönes Lagerfeuerlied.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nSuper. Sobald ich ein Zelt aufgetrieben habe,\nlegen wir los!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪ Ich war mit Alfred schön gemeinsam\nzelten... ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\n♪ Das Essen und die Lieder waren die besten\naller Welten! ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\n♪ So viele Sterne am Himmel in der Nacht...\nWie hat mich dieser Ausflug doch glücklich\ngemacht! ♪\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha, sehr schön! Jeder kann hören, wie\nIhr Euch fühlt!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nDanke. Die meisten Zuhörer halten aber nichts\nvon meinem Gesang.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas? Euer Gesang ist fantastisch. Da geht mir\ndas Herz in der Brust auf.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nHahaha, genau so geht es mir auch!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nDanke, Prinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nOh! Uns geht gerade das Feuer aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nGestattet mir... Schauen wir mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nGute Arbeit. Ihr habt es geschafft.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nWofür braucht Ihr mich eigentlich noch?\nIhr seid doch ein Naturtalent.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nDann hatte ich wohl eine gute Lehrerin.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nHahaha! Oh, schmeichelt mir bitte noch etwas\nmehr, das mag ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nNochmals danke. Ich habe in Eurer Gegenwart\nso viel gelernt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs hilft mir sehr dabei, zu verstehen, woher\nEuer Volk stammt und welche Perspektive es\nhat.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nAh! Ihr wolltet die solmer Kultur aus erster\nHand erfahren, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa. Ich dachte mir, wenn ich lebe wie die\nSolmer, erkenne ich auch die Denkweise der\nSolmer.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nM-hm. Dann erzählt mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nHeißt das, Ihr plant eine Invasion?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nÜberhaupt nicht!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch schwöre, dass ich all dies lernen möchte, um\nunsere Nationen enger zusammenwachsen zu\nlassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nDas weiß ich. Trotzdem wollte ich Euch ein\nbisschen ins Schwitzen bringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nIch denke aber nicht, dass unsere Arbeit hier\nbereits beendet ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie kommt Ihr darauf?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nWeil jetzt ich an der Reihe bin, mehr über das\nKönigreich Firene zu lernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nミスティラ\nDamit Solm und Firene enger zusammen-\nwachsen können, müssen sie sich gegenseitig\nbesser verstehen, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nIn der Tat.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nDann, um unser beider Nationen willen, erzählt\nmir von Eurem Heimatland.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nMit Vergnügen, Prinzessin Timerra. Wo soll ich\nbeginnen...\x0E\x04\x00\x00
