MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Genau der Drache, den ich\ngerade brauche. Ich hätte da ein Anliegen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nKneift mich. Ich meine, ist das gerade wirklich\npassiert?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nHabe ich gerade wirklich mit \x0E\x0A\x00\x10\x06dem\x06der echten\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin eine Party gefeiert?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nEs hat mich gefreut, dass sich alle so gut\namüsiert haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nIhr habt ihnen einen Grund gegeben, an der\nHoffnung festzuhalten. Dafür kann ich Euch\nnicht genug danken.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nIch sollte dir danken. Die Musik und die\nausgelassene Stimmung haben wirklich\nauf mich abgefärbt.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nUnd jetzt fühle sogar ich mich irgendwie\nhoffnungsvoller als zuvor.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nUnd, was habe ich Euch gesagt? Kein einziges\nenttäuschtes Gesicht war da.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nDas ist wahr. Es ist mir jetzt fast peinlich, dass\nich deine Einladung zunächst ausgeschlagen\nhatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nIch schulde es diesen Leuten, stark zu bleiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nEines Tages werdet Ihr der Welt den Frieden\nbringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nUnd ich werde dabei helfen, so gut ich kann,\nund sei es auch noch so wenig. Gemeinsam\nschaffen wir eine bessere Zukunft für alle.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nOh, fast hätte ich es vergessen. Ich wollte dir\nnoch eine Frage stellen.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nAber gern. Welche denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nAn einer Stelle haben alle angefangen zu...\nheulen. Was war das denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nOh, äh... ähm... Das... ähm...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nSo zeigen die Mitglieder meiner Gemeinde ihre\nLeidenschaft. Ein wenig ungewöhnlich, ich\nweiß.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nBitte löscht es einfach aus Eurem Gedächtnis.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nSicher doch! ARUUU!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, bitte!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nHahaha! Oh, das war lustig. Jetzt verstehe ich\nden Reiz daran!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nARUUU! Hey, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08パンドロ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ich wünschte, Ihr würdet das Geheul\nunterlassen. Das ist unter Eurer Würde.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nNa gut. Wenn du meinst.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nAlso, was steht an?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08パンドロ\nNun, ich würde gerne mit Euch über etwas\nsprechen.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08パンドロ\nIch sage es ganz offen... Ich habe Gefühle für\nEuch entwickelt, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nWas? Wo kommt das denn plötzlich her?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08パンドロ\nSo plötzlich kommt das gar nicht. Diese Gefühle\nhege ich schon lange Zeit.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08パンドロ\nIch weiß, es muss wie ein Sakrileg erscheinen,\ndass ein Kleriker so viel für eine heilige Person\nwie Euch empfindet...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08パンドロ\nDoch als Geistlicher erscheint es mir nicht\nangebracht, dieses Geheimnis zu verbergen.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08パンドロ\nUnd es ist schon gut, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich weiß,\ndass Ihr Euch nicht einem einfachen Kleriker\nwie mir versprechen könnt.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08パンドロ\nMir war nur wichtig, dass Ihr hört, was ich zu\nsagen hatte, so eitel es von mir auch gewesen\nsein mag. Ich sollte jetzt gehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nBitte warte.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08パンドロ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nWer sagt denn, dass \x0E\x0A\x00:\x18ein Wyrmgott\x1Eeine Wyrmgöttin und ein\nKleriker sich nicht einander versprechen\nkönnen? Sag es mir!\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08パンドロ\nNun, also... ähm...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nBitte, Pandreo. Du hast mir geholfen, etwas\nWichtiges zu verstehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nDurch dich habe ich erfahren, was ich den\nLeuten bedeute und welche Rolle ich wirklich\nspiele.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nDank dir fühle ich mich verbunden.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nDu bist mir sehr wichtig. Und doch sagst du,\ndass ich nicht so empfinden soll?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08パンドロ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08パンドロ\nNein. Niemand kann Euch vorschreiben, was Ihr\nfühlen oder nicht fühlen soll. Niemand.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nDann nimm bitte dies. Den Paktring. Ich will,\ndass du ihn trägst. Ich will, dass du an meiner\nSeite bleibst.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08パンドロ\nWenn es das ist, was Ihr von mir wollt...\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nJa, Pandreo. Das will ich.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08パンドロ\nHabt Ihr das gespürt? Alles ist gerade ein wenig\nheller geworden.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nVielleicht war es meine Mutter. Vielleicht zeigt\nsie uns damit, wie glücklich wir sie machen.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08パンドロ\nKönigin Lumera? Das hoffe ich.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nWenn zwei füreinander so stark empfinden wie\nwir, kann man es ihnen nicht verbieten oder\nversagen.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nWir beide werden von nun an Hand in Hand\nvorangehen.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08パンドロ\nJa.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08パンドロ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, ich liebe Euch. Und was immer vor\nuns liegen mag, ich werde Eure Hand niemals\nloslassen.\x0E\x04\x00\x00
