MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nKann ich kurz mit dir sprechen?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nDenn ich bin nicht derjenige, an den sie ge-\nrichtet ist. Deine Worte haben für mich keinerlei\nBedeutung.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Ich mag vielleicht dasselbe Gesicht wie dein\neinstiger Verbündeter tragen, doch sind wir\nzwei völlig unterschiedliche Personen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nDu hast recht. Verzeih mein törichtes Verhalten.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Du ähnelst ihm nur so sehr, dass es mir schwer-\nfällt nicht zu denken, er sei wieder zurück.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nIch muss gestehen zu, dass auch in mir ähnliche\nGedanken aufkamen, als wir uns zum ersten Mal\nbegegnet sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nDein Name lautet ebenfalls Mauvier, richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06モーヴ\nJa.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nIch nehme an, du weißt es bereits, aber ich\nheiße Zelestia.\x0E\x04\x02\x00
MID_RELIANCE_C_#024	Ich würde mich sehr freuen, wenn wir beide\nFreunde werden... Falls es dir nichts ausmacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06モーヴ\nAlso gut, Zelestia. Ich sehe unserer Zusammen-\narbeit mit Freude entgegen.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nIch auch, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMachst du auch gerade Pause? Stört es dich,\nwenn ich dir dabei Gesellschaft leiste?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nNur zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nDanke schön.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nDu starrst mich an.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nEntschuldigung. Es ist einfach nur herrlich,\nauf diese Weise gemeinsam Zeit miteinander\nzu verbringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nDas ist es.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nNur keine Sorge. Ich werde dich auch bestimmt\nnicht mehr mit dem Mauvier, den ich kannte,\nverwechseln.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Es ist einfach nur... sehr schön, etwas Zeit mit\neinem neuen Freund zu verbringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nIch verstehe. Nun, falls mir die zugegebener-\nmaßen etwas neugierige Frage gestattet ist: Was\nkannst du mir über mein Gegenstück erzählen?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nDer Mauvier, den ich kannte, war der Gründer\nder Vier Winde.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Er war oft ein ziemlicher Pedant, aber auch\nfreundlich und stark. Ein bemerkenswerter\nstellvertretender Kommandant.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nAlso hatte er eine gewisse Autorität inne?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nDas hatte er. Als Gründer hätte er sich leicht\nselbst zum Anführer erklären können, doch er\nwollte, dass ich diese Rolle einnehme.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Auch wenn es hin und wieder Momente gab, in\ndenen er die Zügel in die Hand nahm, um mich\nzum Beispiel an meine Mahlzeiten zu erinnern.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Manchmal schimpfte er sogar richtig mit mir!\n„Setz dich hin und iss anständig!“\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nEs scheint mir, ihr zwei hattet eine recht gute\nBeziehung.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Ach, könnte ich doch nur dasselbe behaupten.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nOh?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nSei's drum. Ich danke dir für deine Offenheit.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nKennst du mein Gegenstück aus dieser Welt\ndenn gut?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06モーヴ\nNicht sonderlich, nein. Doch zumindest kenne\nich sie.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nIch würde mich freuen, irgendwann ein wenig\nmehr über sie zu erfahren.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06モーヴ\nWenn du darauf bestehst...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nErinnerst du dich noch an meinen Wunsch?\nIch wollte mehr über mein Gegenstück aus\ndieser Welt erfahren.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nDiesem Wunsch muss ich wohl nachkommen.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nDu wirkst angespannt. Ist dir dieses Thema\nvielleicht unangenehm?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nNein, aber sei dir darüber bewusst, dass vieles,\ndas ich dir erzählen werde, nur auf Hörensagen\nberuht.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nNatürlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nIn dieser Welt gehörten Zephia und ich einer\nGruppe an, die sich die Vier Bluthunde nannte.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Der Zweck dieser Gruppe war, den Willen von\nSombron zu erfüllen. Und dein Gegenstück war\nihre Anführerin.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cセレスティア\nWarst du in dieser Welt etwa auch der\nstellvertretende Kommandant?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nDiese Rolle hatte ein anderer Mann inne.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Zephia, die Anführerin der Vier Bluthunde,\nbehauptete stets, wir seien wie eine Familie.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nSie behauptete?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nIhr Handeln spiegelte nicht ihre Worte wider.\nSie war barsch, destruktiv... doch vor allem\neines, und zwar einsam.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Ihre Drachenimpulse sollen selbst für einen\nMagiedrachen ungewöhnlich ausgeprägt\ngewesen sein.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Man munkelt, ein unkontrollierter Ausbruch\nihrer Magie hätte ihr Heimatdorf vernichtet.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Einige gehen sogar so weit zu behaupten,\ndass, wäre Sombron nicht der Dämonendrache\ngewesen, sie diese Rolle übernommen hätte.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nNein, das kann unmöglich...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nWas ich jedoch weiß, ist, dass sie unerbittlich\num Sombrons Zuneigung buhlte und dabei alle\nanderen von sich stieß.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Zwischen den Mitgliedern der Vier Bluthunde\nherrschte stets ein gewisser Abstand. Nicht,\ndass ich mich je darüber beschwert hätte...\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Doch vielleicht gerieten die Dinge bloß\ndeshalb aus dem Ruder, weil wir nie wirklich\neine richtige Familie waren.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nIch verstehe...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nKeine besonders erquickliche Geschichte,\nich weiß.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nMauvier, ich... ich denke nicht, dass wir beide\nFreunde werden sollten.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nWie es scheint, habe ich dich gekränkt.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nNicht im Geringsten. Es würde mir viel eher\ngefallen, wenn wir zu einer Art Familie werden.\nSo wie wir in meiner Welt.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nDas würde es? Wieso?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nVielleicht, um dieses Mal dich davor zu be-\nwahren, den falschen Weg einzuschlagen.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Wir mögen einander fremd sein, doch starke\nBande zu knüpfen kann dabei helfen, seinen\nPlatz zu finden.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nDies kommt wahrhaftig plötzlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cセレスティア\nDas Herz sucht sich immer diejenigen aus, die\nam meisten Hilfe bedürfen. Aber meine Worte\nergeben keinen Sinn für dich, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06モーヴ\nWomöglich tun sie das nicht, nein.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Doch wenn wir wirklich nach einer familiären\nBindung streben, werde ich mich bemühen,\nmein Bestes zu geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cセレスティア\nTihihi... Ich danke dir, Mauvier.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	Versprechen wir, uns ab sofort gegenseitig zu\nunterstützen. Ich freue mich schon darauf, mein\nneues Familienmitglied besser kennenzulernen.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06モーヴ\nAuch ich freue mich darauf, Zelestia.\x0E\x04\x00\x00
