MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHast du eine Sekunde Zeit, Amber?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nTja... Jetzt, da Ihr sie erwähnt habt, kann ich\ndiese Legende nicht weiter ignorieren. Ich muss\nmehr über sie erfahren!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nIch muss der Sache auf den Grund gehen und\ndas Geheimnis dieser muskelstimulierenden\nMedizin ergründen – koste es, was es wolle!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nWirklich? Du bist klasse, Amber!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nKein Ding. Ich steh total auf diesen ganzen\nSagen- und Legendenkram.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nIch werd mich gleich mal umhören!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nHey, Muskelpaket! Ja, du mit den dicken Armen!\nWie kommt's, dass du so ein Schrank bist?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0A\x08アンバー\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEndlich kommt Bewegung in die Sache.\nWenn einer etwas über diese Legende\nherausfinden kann, dann Amber!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nSelbst die schärfste Lanze wird sich biegen und\nkrümmen... Tausend Pfeile werden abprallen...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nEine einzige dieser Pillen wird Eure Muskeln in\nStahl und Euren Körper in ein wahres Bollwerk\nverwandeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nDies ist die Kraft der legendären muskelstimu-\nlierenden Medizin... Suprotein!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nSuprotein?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nJup.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nOhne deine Entdeckung anzweifeln zu wollen,\naber... dieser Name macht die Sache nicht\nunbedingt glaubwürdiger.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nOho! Aber gerade das zeichnet Legenden\ndoch aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nSkurrile Namen. Vage Hinweise. Dem eigenen\nBauchgefühl vertrauen und sich ins Ungewisse\nstürzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nSo verwandeln sich Legenden in epische\nAbenteuer!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nWas wollt Ihr nun tun, Prinz Alfred?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nSeid Ihr bereit, Euren Träumen zu folgen\nund Euch auf das Abenteuer Eures Lebens\nzu begeben?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nEin Abenteuer, das sich lohnen wird – solange\nIhr nur daran glaubt. Und? Glaubt Ihr daran,\nPrinz Alfred?!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd ob ich das tue! Du hast viel zu viel\nHerzblut in deine Suche investiert, als dass\nich nun an dir zweifeln könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlso schön, wo finden wir nun dieses\nSuprotein?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nNun gut, ich habe alle nötigen Informationen,\num uns gleich auf den Weg zu machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\nMal sehen... Von hier aus wird es ungefähr ein\nJahr dauern, bis wir den Ort erreichen, an dem\nsich die Medizin befindet.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nWarum denn so lange?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nDie Medizin in Form einer Pille kann nur\nauf dieser einen ganz besonderen Bergspitze\ngefunden werden, hoch über den Wolken.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nKlingt nicht gerade nach einem Sonntags-\nausflug. Und ich denke auch nicht, dass ich\nmich momentan so lange rarmachen sollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch sage es nur ungern, aber ich fürchte, ich\nmuss meine Suche nach mehr Muskeln noch\nein Weilchen aufschieben.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nOh. Schätze, Ihr habt recht. Bevor ich die Sache\nso übermäßig aufbausche, hätte ich erst mal\nnachdenken sollen, was? Tut mir leid...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nWas redest du denn da? Du hast mir soeben\ndas wohl beste Geschenk von allen gemacht!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アンバー\nHab ich das?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nEtwas, worauf ich hinarbeiten kann.\nEinen Traum.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08アンバー\nUi! Schön gesagt, Prinz Alfred!\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha, gut, dass wir zwei uns verstehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nGuten Morgen, Prinz Alfred!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMorgen, Amber!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nIhr seid wieder früh auf heute.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nFür etwas Training ist es nie zu früh.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nIhr seid unglaublich, Prinz Alfred. Es vergeht\nkein Tag, an dem ihr nicht trainiert, stimmt's?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nKeine Ahnung, wie Ihr das schafft.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nGanz einfach – Trainieren macht Spaß.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nMir geht's ähnlich wie dir bei deiner Jagd nach\nLegenden. Die gibst du ja auch nicht auf, wenn\nes mal etwas mühsamer wird, oder?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nHm. Stimmt auch wieder.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nAbgesehen davon kann ich es mir nicht leisten,\naußer Form zu geraten.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アンバー\nAch, richtig! Wir stecken ja mitten im Krieg.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nGenau! Aber ich freue mich auch schon auf\ndie Zeit danach.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nWas genau meint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nNa hör mal! Du hast doch nicht etwa schon\nden Traum vergessen?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nHö?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nDer Traum eines jeden Gewichthebers, der auf\ndem Gipfel eines fernen Berges ruht.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nUm stark genug für die Reise dorthin zu sein,\nsollte ich mein Training lieber nicht schleifen\nlassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nWartet... Ihr meint doch nicht etwa die Legende\nüber das Suprotein? Ich dachte, die hättet Ihr\nlängst aufgegeben!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nNö, nur aufgeschoben. Ein gewaltiger\nUnterschied. Vielleicht werde ich mich ja\nnach dem Krieg auf ihre Spur begeben.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nGrund genug durchzuhalten. Ich kann doch\nnicht in der Schlacht fallen, ohne mir vorher\ndiesen Schatz geschnappt zu haben, stimmt's?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nAber... Prinz Alfred...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nIhr nehmt all das auf Euch, ohne auch nur die\nkleinste Spur eines Beweises zu haben, dass\ndieses Suprotein wirklich existiert?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas spielt keine Rolle. Bei einem Traum geht\nes nicht um Fakten, sondern darum, woran man\nglaubt.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nJA! Genauso sehe ich das auch!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nEs gibt eben nichts Besseres, als Legenden\nhinterherzujagen!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha, ich will einfach nur ein bisschen Spaß\nim Leben haben. Das ist alles.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nIch doch auch! Genau dieselbe Art von Spaß!\nDarf ich mit Euch trainieren?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nIch glaube auch ans Suprotein... Also lasst mich\ndieser Legende ebenfalls auf die Spur gehen!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nGerne! Nichts würde mich glücklicher machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nAuch wenn wir beide aus unterschiedlichen\nKönigreichen stammen, können wir dennoch\ndenselben Traum teilen.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08アンバー\nPrinz Alfred, wenn Ihr weiterhin so tolle\nSachen sagt, platzt mir noch die Birne!\x0E\x04\x00\x00
