MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh nein... Was soll ich nur tun?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nSicher. Wenn wir uns das nächste Mal unter-\nhalten, werde ich dir alles darüber erzählen,\nwo ich aufgewachsen bin.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nIch werde uns auch ein Mittagessen zubereiten.\nIch kenne genau das Richtige für so eine\nGelegenheit.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWunderbar. Normalerweise bereite ich immer\ndas Essen zu, aber das wird eine nette Ab-\nwechslung sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch freue mich schon darauf, mehr Zeit mit dir\nzu verbringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x08\x06ラピス\nHallo, Goldmary! Ich habe Mittagessen dabei.\nHoffentlich hast du ordentlich Appetit mitge-\nbracht!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMmmh, das sieht ja köstlich aus. Was ist das?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nDas sind Süßkartoffelknödel, hergestellt aus den\nSüßkartoffeln meines Dorfes. Greif zu, iss auf!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDavon habe ich noch nie etwas gehört. Ich\nhoffe, sie schmecken so gut, wie sie aussehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMmm... Meine Güüüte!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDie sind wunderbar! Ich hatte nicht erwartet,\ndass sie so süß sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nDas kommt von den Süßkartoffeln. Ich habe\nkeinen Zucker verwendet.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch hoffe, du hast nichts dagegen, wenn ich mir\nauch noch den Rest nehme.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nGreif zu! Ich bin sicher, meine Eltern würden\nsich freuen, wenn sie wüssten, dass du ihre\nSüßkartoffeln so magst.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSind sie Bauern?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nMhm-hmm. Das Land ist aber nicht sehr\nfruchtbar, daher sind sie arm.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nÜberall streifen Bären herum, daher jagen wir\nsie und essen ihr Fleisch.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDas erklärt, warum du so viel weißt über den\nUmgang mit ihnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nIch habe viel beim Umgang mit diesen Bären\ngelernt. Vor allem habe ich gelernt, wie man\nkämpft.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nDann nahm ich am Kampfturnier in Brodia\nteil. Das war meine Fahrkarte raus aus der\nArmut.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nIndem ich das Turnier gewann, wurde ich zu\neiner Getreuen von Prinz Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nDaher könnte man sagen, dass ich den Bären\nmeinen Erfolg verdanke.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nNiemand in dem Turnier konnte ihnen\nschließlich das Wasser reichen!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHa! Sie haben die Latte hoch gehängt.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nUnd nun könnte man auch sagen, dass ich all\nden Bären meine Freundschaft mit dir zu\nverdanken habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJa, stimmt. Und darüber bin ich froh.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bin nicht sehr oft offen gegenüber anderen,\naber bei dir habe ich das Gefühl, ich kann ganz\nich selbst sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWenn du das auch möchtest, dann würde es\nmich freuen, wenn wir mehr Zeit miteinander\nverbringen würden.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nDas würde mir gefallen!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGroßartig! Dann können wir über all die Aspekte\neines Dorflebens reden, von dem die Leute aus\nden großen Städten eh keine Ahnung haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nHahaha, klingt nach einem Plan!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nEs ist schön, eine Freundin vom Land zu haben.\nAuch wenn das Land in einem anderen Land ist.\x0E\x04\x00\x00
