MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nHui, sieht ganz schön geschwollen aus.\nIs' bestimmt so 'ne Art Insektenstich.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nUnd ich kann mir gut vorstellen, wie traurig\nes dich machen muss, ständig auf die kahle\nStelle zu blicken, wo sie mal gewachsen ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\nDie Samen hier sind vielleicht kein vollwertiger\nErsatz, aber... immerhin füllen sie die Lücke.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nWie aufmerksam. Ich werde ihnen ein\nliebevolles, behütetes Zuhause geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nIs' doch das Mindeste, das ich tun kann,\num mich für deine Hilfe zu bedanken.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nTja, also wenn's weiter nix gibt, dann...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nJean, warte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nGibt es noch weitere Blumen mit medizinischem\nNutzen, die ich für dich pflanzen könnte?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nManchmal stimmt es mich traurig, wenn meine\nhübschen Blumen einfach so gepflückt werden.\nNicht aber, wenn sie den Leuten helfen können.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nIch will meinen Beitrag leisten, so gut ich kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nSehr lieb von dir, Bunet. Deine Hilfe bedeutet\nmir echt viel.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nIch werd dir dabei natürlich auch 'n bisschen\nunter die Arme greifen. Ich werd dir nich'\nalles allein überlassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nWunderbar. Meine Blumen werden einen\nweiteren Gärtner sicher zu schätzen wissen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nHahaha, bestimmt! Also immer nur weiter so,\nund lass dich nich' wieder stechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nDas musst du mir nicht zweimal sagen. Ich\nkonnte mit den verlockenden Kräutern an mir\nkaum ein Auge zutun.\x0E\x04\x00\x00
