MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, hallo, Prinzessin Céline. Ihr seht heute\nwieder einmal glänzend aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nDas tut es. Eine hervorragende Idee, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nIch nehme dich beim Wort, wenn die Zeit\ngekommen ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nUnd ich werde mit Vergnügen bereit sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nHihihi. Hm-hm.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nGute Güte, Prinzessin. Ist mein Gesicht so\nkomisch, dass Ihr bereits bei dem bloßen\nAnblick lachen müsst?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nVergib mir, Chloé. Doch ich habe nicht über\ndich gelacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nVielmehr hat mich die Erinnerung an unser\nerstes Treffen so amüsiert.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nOh ja, wie könnte ich das jemals vergessen?\nMeine erste Begegnung mit der Prinzessin...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nIhr wart am Hafen, das Gesicht\ntränenüberströmt. Zuckersüß.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セリーヌ\nTränenüberströmt würde ich jetzt nicht sagen!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nDas Schiff, das mich transportieren sollte,\nkonnte nicht ablegen, und ich griff nach jedem\nStrohhalm. Das ist alles.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nUnd dann trat ich auf den Plan!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nIch sagte Euch, dass ich Euch einen Ritt auf\nmeinem Pegasus anbieten könne, wenn Ihr\nirgendwohin wollt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nUnd schon brachen wir zu der Teeplantage auf.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nIch war schon früher inkognito aus dem Schloss\ngeschlichen, aber diesmal war es ganz anders.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nIch war noch nie zuvor auf einem Pegasus\ngeritten. Ich erinnere mich an meine Aufregung,\nals sei es erst gestern gewesen!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セリーヌ\nDas erste von vielen großen Abenteuern!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nDieser Tag wird mir für immer in Erinnerung\nbleiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nAls ich dann erfuhr, dass Ihr die Prinzessin seid,\nwäre ich vor Schreck fast aus den Socken\ngekippt.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nIch meine, wie viele Leute freunden sich mit\neinem Mädchen an, das sich dann als\nköniglicher Adel entpuppt?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, das tut mir leid. Ich hoffe, das war kein\nallzu großer Schock für deine Nerven.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nOh, es war eine Ehre. Als wäre ich in einem\nechten Märchen gelandet!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nMan könnte sogar sagen, dass ich an diesem\nTag ein neues Leben begonnen habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セリーヌ\nWirklich? Das musst du mir erklären.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nOh, sehr gerne. Aber nicht heute.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nNicht? Ich habe Zeit, falls das deine Sorge sein\nsollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nHmmm-hm! Oh, Prinzessin Céline. Die besten\nMärchen enden so, dass das Publikum noch\nmehr hören will.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nDer Tag, an dem wir uns begegneten, war ein\nschicksalhafter für mich.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nSeither hielt ich Ausschau nach Dingen, die im\nwirklichen Leben einfach nicht passieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nWas meinst du denn damit?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nBis ich Euch traf, führte ich ein Leben wie jedes\nandere auch.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nIch stellte mir Sachen vor, die nur in\nHeldensagen geschahen, aber ich wusste, das\nwar bloß Spinnerei.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nDoch als ich Euch traf, erkannte ich, dass ich\nmich plötzlich selbst in einem Märchen befand.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クロエ\nUnd wenn es einen Tag lang wahr sein konnte,\nwarum dann nicht für immer?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nAn Tapferkeit mangelt es dir sicher nicht, um\neine Märchenheldin zu sein, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nOh, Prinzessin. Ihr müsst mir nicht schmeicheln.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, das war keine Schmeichelei. Nur die\nWahrheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nDoch du sagtest, dass unser Treffen ein neues\nLeben für dich ermöglicht habe?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nJa.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nAn diesem Tag entschied ich mich, alles zu tun,\num Eure Ritterin werden zu können.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nWarum das?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nIch war davon überzeugt, dass ich nur als\nRitterin mein eigenes Leben würde leben\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nIm Gegensatz zu einem, das von meinen Eltern\nvorherbestimmt ist, oder durch meine Geburt.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nDieser Tag war der Wendepunkt, an dem ich\nmein Training begann.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nIch weiß noch genau, wie erschrocken ich war,\nals ich hörte, du solltest meine Getreue werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nHmm-hm, ich wette, das wart Ihr.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nStellt Euch nur vor, wie meine Familie das\naufgenommen hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nEs ist keine Übertreibung, wenn ich sage, dass\ndas Treffen mit Euch mein Leben verändert hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nOh, Chloé...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nDas Gleiche könnte ich von dir sagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nDu bist mir eine wertvolle Freundin und eine\nabsolut verlässliche Getreue.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nEs ist eine Freude, dich bei mir zu haben.\nVielen Dank für deine Unterstützung, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nIch freue mich darauf, den Rest dieses\nMärchens zu erleben, das wir gemeinsam\nerschaffen werden.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06クロエ\nIch auch, Prinzessin Céline.\x0E\x04\x00\x00
