MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHallo, Jean.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x01\x08\x06ジャン\n\x0E\x03\x02\x0A\x08ジェーデ\nWeg ist er.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ジェーデ\nIch frage mich, was er mit „Leute wie du“ wohl\ngemeint hat.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nJade... Das von neulich tut mir wirklich leid.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nAls du gesagt hast, du hättest in meiner Nähe\nSchwierigkeiten?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nKeine Sorge, Jean. Du musst dich nicht\nentschuldigen, aber ich würde gerne eine\nErklärung hören.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nWieso empfindest du es als schwierig in der\nNähe von „Leuten wie mir“? Was bedeutet das?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nNun...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nDie Leute sagen... Du bist auf dem Schlachtfeld\ngnadenlos und grausam.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nIch nehme an, das ist nicht... immer unwahr.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ジャン\nDann stimmt's, dass du niemals zögerst und\ndirekt in die Schlacht stürmst?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nAh. Schuldig im Sinne der Anklage.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nIch danke dir. Das war alles, was ich hören\nmusste. Nun verstehe ich es.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nJa?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nDu hast ein recht friedliches Leben geführt,\nbevor du in unsere Reihen getreten bist, nicht\nwahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nIch kann verstehen, warum die Soldaten mit\neiner blutigen Vergangenheit und noch\nblutigeren Waffen dich ängstigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nÄhm, warte, nein. Das ist nich' das, was ich--\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nEs ist in Ordnung, Jean. Ich verurteile dich\nnicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nIch verstehe das wirklich. Ich werde dir etwas\nRaum lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nEntschuldige, dass ich dir Unbehagen bereitet\nhabe.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x01\x0A\x08ジェーデ\n\x0E\x03\x02\x08\x06ジャン\nJade, warte!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nJade!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nJa, Jean?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ジャン\nDu hast das alles falsch verstanden! Ich habe\nkeine Angst vor dir!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nAber du hast doch gesagt, dass es schwierig für\ndich sei in meiner Nähe.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\nIch weiß, aber ich habe doch nich' alles gesagt.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nIch weiß, dass du nich' in die Schlachten\nstürmst, weil du blutdürstig bist. Du willst uns\nbeschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nAber wie dem auch sei, du bist immer in der\nvordersten Linie.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\nUnd wenn dann die Schlacht vorbei ist, dann\nkommst du mit mehr Verletzungen nach Haus\nals alle andren. Hab ich recht?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nIch mach mir um dich Sorgen. Ich mach mir\nmanchmal so viel Sorgen, dass ich es nich'\naushalten kann.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nOh, Jean...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\nLeute, die in die Schlachten stürmen, so wie du,\nleben meist nich' lang.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nDeswegen ist es in deiner Nähe schwierig für\nmich. Der Gedanke, dass du eines Tages nich'\nmehr da bist...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\nAber... ich glaub, ich bin drüber hinweg.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nWie schwer du auch verletzt sein magst, ich\nkann dich immer heilen.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nDu kämpfst so hart, um mich zu beschützen, da\nkann ich meinen Teil tun und dich am Leben\nhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nDas ist sehr edel von dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nEs tut mir wirklich leid, wie ich mich bis jetzt\nverhalten hab!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nVon nun an...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nVon nun an kämpfen wir Seite an Seite – als\nVerbündete und als Freunde.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ジャン\nJa. Das stimmt haargenau, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nIch bin wirklich froh, dass wir das geklärt haben.\x0E\x04\x00\x00
