MID_WU_C_1_IN_#001	Morgen!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Aber... danke, dass du gefragt hast.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin hat schon Potenzial...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Hallo!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Ich hab mir da was überlegt.\nIch brauche neue Ideen für Produkte,\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	und wir beide sind ein gutes Team.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	Würdest du mir noch mal zur Hand gehen?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Zu Hause im Dorf des Winters\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	gibt es jeden Tag Feste, und somit\neine ständige Nachfrage nach neuen Produkten!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Dein Ideenreichtum würde uns da\nein Vermögen einbringen!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Hey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\nKomm, wir ziehen nach Elusia um!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Ich hab da so einen Plan...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Wir werden in Gold schwimmen!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	Nein? Och, warum denn nicht?\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Ich hab eine Überraschung für dich, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Einen Trank, der deine Stimme\nalbern und quietschig klingen lässt!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Hallo!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Hier, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Schön austrinken!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Na, komm schon. Vertraust du mir nicht?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	Er wirkt nur vorübergehend, versprochen!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	So einfach schläfst du mir nicht weiter.\nErzittere! Hier kommt die Quietschstimme!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Ich bin Lady Anna, die Quietschekönigin!\nSchwöre mir sofort die Treue!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Hehehe, das ist der Knaller!\nIch hoffe, meine Stimme bleibt so!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Menno. Der Effekt ist abgeklungen.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Und du hast die ganze Nummer\nwirklich verschlafen?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Dann muss ich wohl\nnoch so einen Trank auftreiben.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Die Halsketten für den Tag der Liebenden\nsehen schon richtig gut aus!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Die Ketten waren ja deine Idee,\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	da dachte ich, du solltest das wissen.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	An meiner Handwerkskunst arbeite ich noch,\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	aber ich werde jeden Tag ein bisschen besser!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Wir tun hier wirklich ein gutes Werk.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Dank uns\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	werden ganz viele Leute\neinen tollen Tag der Liebenden verbringen!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	Ohne dich hätte ich das alles\nnie hinbekommen.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Danke noch mal...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	für die Idee mit den Halsketten.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Der Name ist allerdings fest. Tut mir leid!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	Das ist und bleibt\nder „Schmuck \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin“.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Aufgestanden!\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	Drei Goldstücke, wenn du sofort aufwachst!\nZack, zack, zack!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Hehe, ich wusste, dass du darauf anspringst.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	\x0E\x0A\x00^*Mein Geschäftspartner0Meine Geschäftspartnerin begreift eben\nden Wert eines Goldstücks!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Deshalb sind wir ja auch so ein gutes Team.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Du schläfst immer noch? Na gut.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Dann warte ich eben noch ein bisschen.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Ich kann noch immer nicht glauben,\ndass du mir den Paktring gegeben hast.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	So ein seltenes, wertvolles Geschenk...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Aber deshalb mag ich dich auch so.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Du hast keine Scheu, offen zu zeigen,\nwie wichtig dir gute Geschäftsbeziehungen sind.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	Deshalb bist du so \x0E\x0A\x00p4ein guter Geschäftspartner8eine gute Geschäftspartnerin,\nund \x0E\x0A\x00H ein guter Freund$eine gute Freundin obendrein.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Guten Morgen.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Na? Bereit, Kohle zu scheffeln?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Wenn du und ich zusammenarbeiten,\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	kommt das Gold von ganz allein.\nWirst schon sehen!\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Der Tag der Liebenden ist vorbei!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Schnell, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\nWir brauchen eine neue Verkaufsidee!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Oh, du bist schon auf den Beinen. Gut!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Das ist genau die Energie,\ndie wir jetzt brauchen.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Und jetzt heißt es: nachdenken.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	Wenn wir die Köpfe zusammenstecken, kommt\ngarantiert eine extrem lukrative Idee dabei raus.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Der Tag der Liebenden lief super für uns,\naber wir dürfen jetzt nicht nachlassen.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Wenn wir langfristig profitieren wollen,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	müssen wir überlegen,\nwie wir diesen Erfolg wiederholen können.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Unsere Ware soll nur so von den Regalen fliegen!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Die Kunden sollen sich richtig drum reißen!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Das wollen wir. Das ist der Weg zum Reichtum.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Guten Morgen. Oh! Du hast von den irrwitzigen\nReichtümern geträumt, die wir anhäufen werden?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Mit mir als Geschäftspartnerin\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	ist das nur eine Frage der Zeit.\x0E\x04\x00\x00
